time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/n_updates,train/entropy_loss,train/loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/clip_range,train/explained_variance
2,825,2048,1,200.0,-1480.0,,,,,,,,,,
6,671,4096,2,200.0,-1315.5,-0.004790445286926115,13349.837741088868,10,-2.4837498635053636,6066.2802734375,0.0029936328,0.0003,0.002001953125,0.2,0.0018056631088256836
9,620,6144,3,200.0,-1286.0,-0.005927503367274767,10989.86432800293,20,-2.4787240140140057,6083.28857421875,0.005804709,0.0003,0.0052734375,0.2,3.5762786865234375e-07
13,587,8192,4,200.0,-1303.0,-0.004749378451379016,11028.060345458984,30,-2.4739714965224264,4562.01513671875,0.0041879397,0.0003,0.000244140625,0.2,-4.887580871582031e-06
17,576,10240,5,200.0,-1297.2549019607843,-0.00945262223831378,10979.067819213868,40,-2.4625333063304424,5406.4990234375,0.010446289,0.0003,0.02646484375,0.2,-3.933906555175781e-06
2,772,2048,1,200.0,-472.0,-0.004239322435751092,9993.193222045898,50,-2.4440946251153948,4720.435546875,0.005142146,0.0003,0.0021484375,0.2,-6.556510925292969e-06
6,638,4096,2,200.0,-417.0,-0.009711676454026019,3350.198589324951,10,-2.480459260195494,1401.7420654296875,0.008483179,0.0003,0.031787109375,0.2,0.0017575621604919434
10,587,6144,3,200.0,-415.6666666666667,-0.007603708204987925,3594.8081020355226,20,-2.4703609362244605,1238.6783447265625,0.0094218915,0.0003,0.0244140625,0.2,0.11479485034942627
14,561,8192,4,200.0,-404.75,-0.009412905322096776,2501.057636642456,30,-2.4371516294777393,850.56884765625,0.011802712,0.0003,0.04619140625,0.2,0.2688772678375244
18,543,10240,5,200.0,-402.54901960784315,-0.013027906307252124,2580.894582748413,40,-2.4108727745711804,1437.481689453125,0.0129301045,0.0003,0.062744140625,0.2,0.24684405326843262
2,802,2048,1,200.0,-1032.0,-0.00871159898742917,2012.409125137329,50,-2.390040723234415,780.715087890625,0.010868445,0.0003,0.042333984375,0.2,0.3683091998100281
6,632,4096,2,200.0,-994.5,-0.011849806288955734,6849.515116882324,60,-2.396757613122463,2431.46240234375,0.010994957,0.0003,0.07763671875,0.2,-2.7418136596679688e-06
10,578,6144,3,200.0,-971.0,-0.010187723430863115,6232.377914428711,70,-2.3691457733511925,3071.964111328125,0.012631593,0.0003,0.089404296875,0.2,-1.6689300537109375e-06
14,556,8192,4,200.0,-933.0,-0.010627886065049098,5508.062474060059,80,-2.3150989308953287,2713.455322265625,0.012038793,0.0003,0.081103515625,0.2,-1.0728836059570312e-06
18,547,10240,5,200.0,-889.2156862745098,-0.008931068899983075,4239.60294342041,90,-2.2820490911602973,1903.7786865234375,0.01412815,0.0003,0.069384765625,0.2,-1.1920928955078125e-06
2,802,2048,1,200.0,-279.0,-0.011096679340698756,4083.186270904541,100,-2.287826897203922,2277.8076171875,0.010886848,0.0003,0.080322265625,0.2,-1.1920928955078125e-06
6,627,4096,2,200.0,-255.5,-0.00804960620807833,1966.1045822143556,60,-2.348707841336727,1010.5621337890625,0.012984514,0.0003,0.062158203125,0.2,0.29532521963119507
10,575,6144,3,200.0,-282.3333333333333,-0.012459165124164428,1740.2441499710083,70,-2.2902512185275556,858.139404296875,0.010571495,0.0003,0.09130859375,0.2,0.359821617603302
14,561,8192,4,200.0,-272.25,-0.008053482395553146,1195.9580516815186,80,-2.275674484670162,352.69122314453125,0.008657385,0.0003,0.048876953125,0.2,0.36229002475738525
18,560,10240,5,200.0,-251.76470588235293,-0.008575063713942654,1381.0663349151612,90,-2.284125132113695,781.5262451171875,0.009809149,0.0003,0.046240234375,0.2,0.3253644108772278
2,754,2048,1,200.0,-635.0,-0.0062778195919236165,1619.6296800613404,100,-2.2477481462061406,518.6773681640625,0.008425577,0.0003,0.03115234375,0.2,0.3536577820777893
6,648,4096,2,200.0,-688.0,-0.009599707454617601,3603.7763671875,110,-2.2416402071714403,2295.699462890625,0.00919354,0.0003,0.075537109375,0.2,-5.960464477539062e-07
10,602,6144,3,200.0,-672.3333333333334,-0.012499795161420479,3369.5300537109374,120,-2.1804998099803923,1844.3922119140625,0.011924988,0.0003,0.109521484375,0.2,-4.76837158203125e-07
14,566,8192,4,200.0,-668.5,-0.007996444070886354,2855.7952415466307,130,-2.129971984028816,1168.010498046875,0.00813376,0.0003,0.06572265625,0.2,-4.76837158203125e-07
18,561,10240,5,200.0,-654.3137254901961,-0.008855481490900274,3014.1775810241697,140,-2.0807746767997743,1211.42626953125,0.008385638,0.0003,0.050732421875,0.2,-2.384185791015625e-07
2,783,2048,1,200.0,-272.0,-0.00426758275134489,2502.7629669189455,150,-2.045669175684452,1181.0045166015625,0.019536931,0.0003,0.18037109375,0.2,-4.76837158203125e-07
6,623,4096,2,200.0,-262.0,-0.00801431677682558,965.8673663139343,110,-2.2416263073682785,454.7392883300781,0.010764692,0.0003,0.07373046875,0.2,0.3599836230278015
10,574,6144,3,200.0,-226.33333333333334,-0.006718172138789669,1198.001739025116,120,-2.2205707781016826,364.4322204589844,0.01209434,0.0003,0.05595703125,0.2,0.17051994800567627
14,558,8192,4,200.0,-226.75,-0.010796204455982662,1194.576269054413,130,-2.251830131560564,825.1607666015625,0.011096265,0.0003,0.054833984375,0.2,0.41779565811157227
18,541,10240,5,200.0,-213.72549019607843,-0.008833763393340632,1342.4648658752442,140,-2.23938685208559,681.0322875976562,0.011217702,0.0003,0.059033203125,0.2,0.4488821029663086
2,730,2048,1,200.0,-523.0,-0.010721376551373396,1214.338451576233,150,-2.2042032323777674,459.5203552246094,0.010682096,0.0003,0.055419921875,0.2,0.463431179523468
6,616,4096,2,200.0,-525.5,-0.004968846624251455,2672.3778751373293,160,-2.029097608476877,2133.748779296875,0.034030914,0.0003,0.17646484375,0.2,-2.384185791015625e-07
10,581,6144,3,200.0,-525.6666666666666,-0.0037500066158827395,2433.726428222656,170,-1.9492161262780427,951.2675170898438,0.027116038,0.0003,0.135009765625,0.2,-1.1920928955078125e-07
14,560,8192,4,200.0,-547.5,0.0006492590982816182,2232.6951248168943,180,-2.0358804371207952,1051.9478759765625,0.042470217,0.0003,0.15830078125,0.2,-1.1920928955078125e-07
18,545,10240,5,200.0,-548.8235294117648,-0.008043716168322135,3607.2150466918947,190,-2.193932286649942,2094.052001953125,0.010120037,0.0003,0.05078125,0.2,0.0
2,834,2048,1,200.0,-162.0,-0.0044448493339587,3310.9527801513673,200,-2.127005995064974,1015.9653930664062,0.0105397245,0.0003,0.161572265625,0.2,-1.1920928955078125e-07
6,646,4096,2,200.0,-106.5,-0.00797956809255993,1706.3964105606078,160,-2.1730089336633682,567.0950317382812,0.009268054,0.0003,0.060205078125,0.2,0.21329426765441895
10,613,6144,3,200.0,-129.0,-0.01190717176941689,1849.4332305908204,170,-2.1690744146704675,1056.5167236328125,0.009003612,0.0003,0.064990234375,0.2,0.3530963659286499
13,596,8192,4,200.0,-118.25,-0.010697071971662808,1895.2837978363036,180,-2.1058909386396407,867.2734375,0.008019277,0.0003,0.055810546875,0.2,0.3866567015647888
17,583,10240,5,200.0,-117.45098039215686,-0.005361462700238917,1402.6168787002564,190,-2.096806953847408,459.1003112792969,0.00788266,0.0003,0.031201171875,0.2,0.1424744725227356
2,800,2048,1,200.0,-320.0,-0.006046925367991207,1551.5454933166504,200,-2.125346380472183,771.3892822265625,0.00892587,0.0003,0.03466796875,0.2,0.32850927114486694
6,643,4096,2,200.0,-429.5,0.0026046965387649832,4343.634978485107,210,-2.080786554887891,2481.943359375,0.018909128,0.0003,0.238525390625,0.2,0.0
9,615,6144,3,200.0,-431.6666666666667,0.00575230304239085,3794.6246696472167,220,-2.199269336462021,2204.704345703125,0.010452772,0.0003,0.162939453125,0.2,0.0
13,597,8192,4,200.0,-416.5,-0.0052527173364069315,3026.6042057037353,230,-2.151942712068558,953.8889770507812,0.015115619,0.0003,0.13740234375,0.2,0.0
17,591,10240,5,200.0,-401.5686274509804,-0.006121891980001237,3625.1951667785643,240,-2.083774724602699,1615.076904296875,0.007417634,0.0003,0.092626953125,0.2,-1.1920928955078125e-07
2,821,2048,1,200.0,81.0,-0.00587315102602588,2923.7185470581053,250,-2.0643048603087664,1075.0543212890625,0.007471522,0.0003,0.10380859375,0.2,0.0
6,659,4096,2,200.0,24.5,-0.009133887420466636,2070.7541131973267,210,-2.0915558099746705,1429.663818359375,0.009557338,0.0003,0.057958984375,0.2,0.48337310552597046
9,616,6144,3,200.0,46.0,-0.012198839585471433,1946.2179382324218,220,-2.0930406153202057,1114.95556640625,0.008706928,0.0003,0.0833984375,0.2,0.3945908546447754
13,592,8192,4,200.0,22.5,-0.007097663066815585,2528.5797168731688,230,-2.027605314552784,1176.28466796875,0.0064632744,0.0003,0.036962890625,0.2,0.390333354473114
17,576,10240,5,200.0,28.235294117647058,-0.00785689093027031,2547.864497756958,240,-1.9378214716911315,680.6832885742188,0.009958977,0.0003,0.04521484375,0.2,0.3071662187576294
2,817,2048,1,200.0,-150.0,-0.007636497046041768,2378.436228942871,250,-1.9127559047192335,1191.5283203125,0.009249668,0.0003,0.044091796875,0.2,0.4225342273712158
6,660,4096,2,200.0,-137.5,-0.0034852075681556017,3657.191789627075,260,-2.1156346507370474,2519.174072265625,0.006780939,0.0003,0.052001953125,0.2,5.960464477539063e-08
9,620,6144,3,200.0,-126.33333333333333,-0.0018809440909535625,4120.519889831543,270,-2.0716294661164283,2875.40771484375,0.0015167934,0.0003,0.00068359375,0.2,-1.1920928955078125e-07
13,611,8192,4,200.0,-126.25,-0.0068976802780525755,3930.014529418945,280,-2.093919195979834,1576.3211669921875,0.007036129,0.0003,0.017333984375,0.2,0.0
16,604,10240,5,200.0,-141.9607843137255,-0.0019172072585206478,4598.961989212036,290,-2.025590281933546,1349.2601318359375,0.009480277,0.0003,0.10458984375,0.2,1.1920928955078125e-07
2,805,2048,1,200.0,86.0,-0.0008231975909438916,1853.700005531311,300,-2.025288951024413,697.7569580078125,0.00017596211,0.0003,0.0,0.2,0.28604573011398315
6,616,4096,2,200.0,172.0,-0.011315376625861972,2944.968806838989,260,-1.9616642132401467,1297.6878662109375,0.011410852,0.0003,0.085205078125,0.2,0.4028088450431824
10,606,6144,3,200.0,180.33333333333334,-0.005014376834151335,3725.0860664367674,270,-1.9437886495143175,1271.600830078125,0.00665796,0.0003,0.023486328125,0.2,0.4694434404373169
13,597,8192,4,200.0,170.5,-0.0075196885649347674,4059.16205368042,280,-1.9321790862828494,2213.563232421875,0.0072509856,0.0003,0.0232421875,0.2,0.27891504764556885
17,588,10240,5,200.0,168.0392156862745,-0.007557688337692525,3212.137377166748,290,-1.938096548244357,902.5392456054688,0.010362083,0.0003,0.0748046875,0.2,0.3743423819541931
2,918,2048,1,200.0,136.0,-0.008622848130471539,2887.2956912994387,300,-1.8935435425490141,1339.551025390625,0.009041727,0.0003,0.046240234375,0.2,0.3864883780479431
5,701,4096,2,200.0,83.5,-0.0012423238600604235,2346.7241287231445,310,-2.076015929877758,892.0419311523438,0.00020607689,0.0003,0.0,0.2,0.45710331201553345
9,644,6144,3,200.0,75.66666666666667,-0.001368167030159384,3371.3759635925294,320,-2.062417894601822,1581.4130859375,0.0004264417,0.0003,0.0,0.2,0.3462803363800049
13,618,8192,4,200.0,33.25,-0.0007449364202329889,3309.1917762756348,330,-2.049290384352207,1246.25341796875,9.179828e-05,0.0003,0.0,0.2,0.3916289806365967
17,598,10240,5,200.0,67.45098039215686,-0.0009825289285799953,2394.9945667266848,340,-2.0108956664800646,1332.3717041015625,0.00032781897,0.0003,0.0,0.2,0.4360671043395996
2,730,2048,1,200.0,181.0,-0.0009566638778778725,2894.930326080322,350,-2.0334769431501627,1660.2855224609375,0.0001398323,0.0003,0.0,0.2,0.47736096382141113
6,586,4096,2,200.0,250.5,-0.005573109998658765,3644.186584854126,310,-1.904107641428709,2384.27099609375,0.008378143,0.0003,0.05244140625,0.2,0.304757297039032
11,551,6144,3,200.0,247.66666666666666,-0.006430936983088031,3933.2697101593017,320,-1.8522680442780257,1328.0877685546875,0.008649237,0.0003,0.05703125,0.2,0.3801974058151245
15,535,8192,4,200.0,266.5,-0.00931768455047859,4431.006997680664,330,-1.8000990469008684,2903.244384765625,0.008950682,0.0003,0.065625,0.2,0.49894440174102783
19,529,10240,5,200.0,271.1764705882353,-0.005060324992518872,3789.739476776123,340,-1.8459051132202149,1812.4156494140625,0.0063077565,0.0003,0.021435546875,0.2,0.344305157661438
2,807,2048,1,200.0,-70.0,-0.006451981679128948,3743.27491645813,350,-1.8230100866407155,1660.4805908203125,0.008245063,0.0003,0.0384765625,0.2,0.32479268312454224
6,641,4096,2,200.0,-70.0,-0.0012116783262172248,2089.7173236846925,360,-2.0218250412493943,1200.574462890625,0.0003412479,0.0003,0.0,0.2,0.44281208515167236
