time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/loss,train/explained_variance
6,16,-445.5,4096,645,200.0,1654.776348876953,0.0006235321,0.0,-2.535498762130737,0.3,-0.0035773429553955793,0.0003,150,858.4769287109375,0.01123267412185669
6,17,-451.9047619047619,4352,644,200.0,1408.932928466797,0.0020516382,0.0,-2.5240615248680114,0.3,-0.007166032423265278,0.0003,160,842.509033203125,0.060115277767181396
7,18,-460.8695652173913,4608,644,200.0,1602.537548828125,0.0019246389,0.0,-2.5102790117263796,0.3,-0.004693083371967078,0.0003,170,823.2630615234375,-0.01639080047607422
7,19,-448.75,4864,645,200.0,1073.2632385253905,0.0011180616,0.0,-2.499832737445831,0.3,-0.003719425073359162,0.0003,180,528.8111572265625,0.034944772720336914
7,20,-441.6,5120,646,200.0,2044.3802307128906,0.00036939746,0.0,-2.508417558670044,0.3,-0.0012976157944649459,0.0003,190,1084.27783203125,0.14942848682403564
8,21,-434.2307692307692,5376,647,200.0,1487.3355651855468,0.003039415,0.0,-2.4966851353645323,0.3,-0.00801323859486729,0.0003,200,792.4677124023438,0.14088159799575806
8,22,-425.35714285714283,5632,647,200.0,1388.3021118164063,0.0011087572,0.0,-2.503049647808075,0.3,-0.002306883386336267,0.0003,210,719.5603637695312,0.14255404472351074
9,23,-440.0,5888,647,200.0,1207.092822265625,0.0008437191,0.0,-2.506638288497925,0.3,-0.002695178007707,0.0003,220,557.6380004882812,0.2230575680732727
9,24,-429.0,6144,648,200.0,1448.6013427734374,0.0015592966,0.0,-2.5017251133918763,0.3,-0.005087634653318673,0.0003,230,628.2596435546875,9.065866470336914e-05
9,25,-430.9375,6400,649,200.0,1006.114859008789,0.0025343033,0.0,-2.4767435669898985,0.3,-0.00969061446376145,0.0003,240,442.5445251464844,0.33728981018066406
10,26,-426.969696969697,6656,649,200.0,838.7150207519531,0.009580571,0.0,-2.46737802028656,0.3,-0.013108096783980727,0.0003,250,413.9668884277344,0.00021970272064208984
10,27,-432.3529411764706,6912,650,200.0,1510.311749267578,0.0037408872,0.0,-2.4764517307281495,0.3,-0.008353764575440436,0.0003,260,711.8087158203125,0.20888012647628784
11,28,-430.85714285714283,7168,650,200.0,1371.270196533203,0.0023355926,0.0,-2.460046911239624,0.3,-0.005259129707701505,0.0003,270,612.029296875,0.00678253173828125
11,29,-433.2432432432432,7424,650,200.0,1041.049526977539,0.006242222,0.0,-2.455421733856201,0.3,-0.010516010911669583,0.0003,280,562.467041015625,0.04281735420227051
11,30,-435.2631578947368,7680,651,200.0,1130.9767211914063,0.00560881,0.0,-2.4209638357162477,0.3,-0.008657923876307904,0.0003,290,514.2862548828125,0.13627034425735474
12,31,-433.5897435897436,7936,651,200.0,868.2609130859375,0.0037173566,0.0,-2.370669984817505,0.3,-0.005843069450929761,0.0003,300,393.38409423828125,0.48040926456451416
12,32,-434.25,8192,651,200.0,1010.7798126220703,0.01036416,0.0,-2.3183526396751404,0.3,-0.008604800654575228,0.0003,310,276.1749267578125,-0.07121396064758301
12,33,-437.6190476190476,8448,651,200.0,990.4371673583985,0.019462086,0.004296875,-2.1813395261764525,0.3,-0.009033969999291003,0.0003,320,494.3850402832031,-1.0132789611816406e-05
13,34,-436.51162790697674,8704,651,200.0,756.427279663086,0.015736284,0.0015625,-2.124531960487366,0.3,-0.016024709027260543,0.0003,330,424.70654296875,-1.5497207641601562e-06
13,35,-439.77272727272725,8960,652,200.0,1799.0792175292968,0.025833676,0.025,-1.9257344484329224,0.3,-0.018016978958621623,0.0003,340,914.95751953125,5.9545040130615234e-05
14,36,-443.2608695652174,9216,652,200.0,654.9545501708984,0.01998461,0.053515625,-1.8891888558864594,0.3,-0.015151353389956056,0.0003,350,275.0785217285156,-6.29425048828125e-05
14,37,-449.78723404255317,9472,652,200.0,875.3701568603516,0.02150745,0.01484375,-2.059134912490845,0.3,-0.015340539161115885,0.0003,360,427.43365478515625,-2.4557113647460938e-05
14,38,-446.875,9728,650,200.0,1969.9792358398438,0.022898156,0.01171875,-2.2123438119888306,0.3,-0.014270319021306932,0.0003,370,767.2380981445312,0.00010001659393310547
15,39,-452.6530612244898,9984,651,200.0,1185.7209106445312,0.0017074272,0.0,-2.2676758885383608,0.3,-0.0007680370472371578,0.0003,380,514.9495849609375,-4.5299530029296875e-06
15,40,-440.98039215686276,10240,651,200.0,766.07490234375,0.0044166455,0.0,-2.2721160531044005,0.3,-0.0069340302143245935,0.0003,390,459.5819396972656,2.3245811462402344e-06
0,1,-600.0,256,749,200.0,2115.449322509766,0.0020988577,0.0,-2.2677743792533875,0.3,-0.002691748342476785,0.0003,400,1294.501220703125,8.416175842285156e-05
0,2,-420.0,512,711,200.0,1470.582470703125,0.0009695373,0.0,-2.564575219154358,0.3,-0.006722843716852367,0.0003,10,767.9234008789062,-0.003322601318359375
1,3,-410.0,768,689,200.0,1147.5010803222656,0.00073611527,0.0,-2.5632612347602843,0.3,-0.003773221559822559,0.0003,20,491.7052917480469,6.538629531860352e-05
1,4,-442.0,1024,681,200.0,631.342414855957,0.000291022,0.0,-2.563031280040741,0.3,-0.0016821984434500336,0.0003,30,351.3480224609375,0.004841864109039307
1,5,-378.3333333333333,1280,679,200.0,996.6782867431641,0.00044866977,0.0,-2.561978507041931,0.3,-0.0030528386821970345,0.0003,40,460.46661376953125,0.002936124801635742
2,6,-362.85714285714283,1536,674,200.0,1171.6446441650392,0.0026463578,0.0,-2.561375916004181,0.3,-0.010245090536773204,0.0003,50,569.0291137695312,0.000789344310760498
2,7,-301.25,1792,673,200.0,1743.4238525390624,0.0021164494,0.0,-2.554724669456482,0.3,-0.006493663880974054,0.0003,60,855.66455078125,-0.00043582916259765625
3,8,-360.0,2048,671,200.0,1099.7213989257812,0.000196476,0.0,-2.5515676856040956,0.3,-0.00019204828422516584,0.0003,70,528.358642578125,0.08194553852081299
3,9,-340.0,2304,661,200.0,1287.5102294921876,0.00011862954,0.0,-2.550502097606659,0.3,-0.0015411894069984554,0.0003,80,607.1481323242188,0.010264098644256592
3,10,-357.5,2560,656,200.0,1332.2489807128907,8.329959e-05,0.0,-2.5523163437843324,0.3,-0.0010918085929006339,0.0003,90,755.27587890625,0.06611764430999756
4,11,-379.2857142857143,2816,658,200.0,1085.6981964111328,0.0003452918,0.0,-2.5523178696632387,0.3,-0.0037007001927122475,0.0003,100,480.47021484375,-0.0003961324691772461
4,12,-387.3333333333333,3072,657,200.0,866.9695739746094,0.0001764691,0.0,-2.551441025733948,0.3,-0.0014541742508299648,0.0003,110,428.9322509765625,0.0012545585632324219
5,13,-397.5,3328,658,200.0,935.4625915527344,0.00031946087,0.0,-2.5496540307998656,0.3,-0.0024429498706012966,0.0003,120,467.2235107421875,-0.00237882137298584
5,14,-395.29411764705884,3584,657,200.0,883.3824920654297,0.00054005673,0.0,-2.5460079312324524,0.3,-0.004116716096177697,0.0003,130,408.22509765625,0.027715742588043213
5,15,-369.4736842105263,3840,657,200.0,1682.6192504882813,0.002470884,0.0,-2.5439567804336547,0.3,-0.008418105845339596,0.0003,140,852.7875366210938,0.0004081130027770996
6,16,-341.5,4096,657,200.0,790.7474334716796,0.00069204345,0.0,-2.5454566955566404,0.3,2.545521128922701e-05,0.0003,150,463.34149169921875,-0.0004297494888305664
6,17,-342.85714285714283,4352,657,200.0,1564.4927856445313,0.00022699451,0.0,-2.5398389220237734,0.3,-0.0012060610577464103,0.0003,160,493.02490234375,0.018771588802337646
7,18,-315.2173913043478,4608,656,200.0,1444.8062316894532,0.0015133123,0.0,-2.5402865767478944,0.3,-0.005745719745755195,0.0003,170,806.7194213867188,-0.060391902923583984
7,19,-312.9166666666667,4864,656,200.0,2208.7923828125,0.00019508135,0.0,-2.545059084892273,0.3,-3.752597840502858e-05,0.0003,180,907.5975952148438,0.07011598348617554
7,20,-304.0,5120,657,200.0,1144.403826904297,0.0005462826,0.0,-2.544786286354065,0.3,-0.0036819962318986655,0.0003,190,617.9639282226562,-0.005645751953125
8,21,-298.0769230769231,5376,656,200.0,961.3848846435546,0.00042114058,0.0,-2.5453474521636963,0.3,-0.002477211365476251,0.0003,200,605.0147094726562,0.1839374303817749
8,22,-283.2142857142857,5632,657,200.0,2736.4723266601563,0.00010022428,0.0,-2.5478581309318544,0.3,-0.0015272611984983087,0.0003,210,1326.182861328125,0.04618901014328003
8,23,-283.1034482758621,5888,657,200.0,957.1382934570313,0.00021160091,0.0,-2.5491204857826233,0.3,-0.002637476217932999,0.0003,220,283.60833740234375,0.21384596824645996
9,24,-282.3333333333333,6144,658,200.0,562.9045364379883,0.0011112907,0.0,-2.548557126522064,0.3,-0.005054488009773195,0.0003,230,256.58709716796875,0.2365897297859192
9,25,-280.625,6400,658,200.0,1020.9820251464844,0.0010070154,0.0,-2.5369715452194215,0.3,-0.0032966969534754752,0.0003,240,478.2553405761719,0.1673181653022766
10,26,-278.7878787878788,6656,658,200.0,847.6305847167969,0.0008663966,0.0,-2.5387195467948915,0.3,-0.0035553512629121543,0.0003,250,482.9327087402344,0.20413851737976074
10,27,-272.6470588235294,6912,659,200.0,982.4795013427735,0.0009378118,0.0,-2.5269578814506533,0.3,-0.0019046933157369494,0.0003,260,568.0406494140625,0.12975531816482544
10,28,-275.7142857142857,7168,658,200.0,1914.713360595703,0.0005032846,0.0,-2.5321677684783936,0.3,-0.002977361239027232,0.0003,270,1140.1424560546875,-0.019810795783996582
11,29,-265.6756756756757,7424,659,200.0,941.4424926757813,0.00047231605,0.0,-2.52792204618454,0.3,-0.0023252452258020638,0.0003,280,605.40625,0.10441869497299194
11,30,-263.6842105263158,7680,658,200.0,752.6593399047852,0.002645395,0.0,-2.507391428947449,0.3,-0.009618475916795433,0.0003,290,334.05218505859375,0.27544641494750977
12,31,-262.3076923076923,7936,659,200.0,775.7279846191407,0.0012777711,0.0,-2.5065111994743345,0.3,-0.005024158884771169,0.0003,300,447.124755859375,0.14654844999313354
