time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/policy_gradient_loss,train/loss,train/approx_kl,train/n_updates,train/value_loss,train/clip_fraction,train/entropy_loss,train/clip_range,train/explained_variance
757,346.4367816091954,22,68,17408,200.0,0.0003,-0.0003243249608203769,2265.055908203125,0.00032369397,670,12076.99242553711,0.0,-2.1685356497764587,0.3,0.056065380573272705
760,348.8636363636364,23,69,17664,200.0,0.0003,-0.0008103246102109552,36.564395904541016,9.65558e-05,680,123.70046195983886,0.0,-2.220741605758667,0.3,-0.9403853416442871
760,343.4831460674157,23,70,17920,200.0,0.0003,-0.0012419091071933508,1596.0838623046875,0.00012351153,690,9530.596398925782,0.0,-2.1667112946510314,0.3,0.004578232765197754
762,340.8888888888889,23,71,18176,200.0,0.0003,-0.005256372038275003,337.618408203125,0.0026116085,700,550.8987159729004,0.0,-2.137505853176117,0.3,0.2972676753997803
763,383.5869565217391,24,72,18432,200.0,0.0003,-0.0010498400777578353,1943.4285888671875,0.0012215441,710,13269.69755859375,0.0,-2.152463436126709,0.3,0.04737389087677002
761,380.64516129032256,24,73,18688,200.0,0.0003,-0.0017192083410918712,8067.0498046875,0.00014536642,720,11850.170788574218,0.0,-2.182163155078888,0.3,0.03182131052017212
762,380.21276595744683,24,74,18944,200.0,0.0003,-0.0013933355221524835,513.026611328125,0.00021429243,730,906.2972290039063,0.0,-2.1999963998794554,0.3,0.14980971813201904
763,389.8958333333333,25,75,19200,200.0,0.0003,-0.0009932313347235321,8259.6904296875,8.700928e-05,740,10709.064520263672,0.0,-2.1931533932685854,0.3,0.034747421741485596
763,382.0618556701031,25,76,19456,200.0,0.0003,-0.0017468689940869809,304.6399230957031,0.00016605365,750,622.1133728027344,0.0,-2.1998806595802307,0.3,0.12723302841186523
765,383.8775510204082,25,77,19712,200.0,0.0003,-0.007917227968573571,22.59284782409668,0.01090377,760,43.68915786743164,0.0,-2.1787770986557007,0.3,-0.21373069286346436
765,393.4343434343434,26,78,19968,200.0,0.0003,0.018427146738395093,7038.89599609375,0.02671066,770,10596.01142578125,0.084765625,-1.9290121376514435,0.3,0.033136725425720215
766,399.8,26,79,20224,200.0,0.0003,-0.003236139891669154,313.2013854980469,0.0011060915,780,805.9949325561523,0.0,-1.8652609407901763,0.3,0.31719452142715454
766,395.4,26,80,20480,200.0,0.0003,-0.00025544052477926015,919.4132690429688,0.00035442295,790,1586.6522277832032,0.0,-1.908484435081482,0.3,0.24842745065689087
768,395.1,26,81,20736,200.0,0.0003,-0.0016686487477272749,120.10858917236328,0.001042238,800,254.09508008956908,0.0,-1.9724905729293822,0.3,0.34894269704818726
769,402.5,27,82,20992,200.0,0.0003,-0.0029527124715968966,639.8341064453125,0.001586355,810,1281.840316772461,0.0,-1.9508303344249724,0.3,0.30158573389053345
768,408.4,27,83,21248,200.0,0.0003,-0.010252867243252695,80.55848693847656,0.016686216,820,248.5458553314209,0.0,-1.988068276643753,0.3,0.35586750507354736
769,420.9,27,84,21504,200.0,0.0003,-0.0017567623872309923,388.4486389160156,0.008097046,830,732.9909713745117,0.0,-2.1700464129447936,0.3,0.36137527227401733
769,435.7,28,85,21760,200.0,0.0003,-0.003916570381261408,8133.74169921875,0.0011645101,840,12048.515063476563,0.0,-2.2104180812835694,0.3,0.08957982063293457
770,435.0,28,86,22016,200.0,0.0003,-0.0013344853767193853,8075.50146484375,0.00021769037,850,10322.702878189088,0.0,-2.2376222372055055,0.3,0.08771359920501709
771,428.2,28,87,22272,200.0,0.0003,-0.00627979428973049,7341.984375,0.0015196095,860,10267.543322753907,0.0,-2.2584052205085756,0.3,0.0760834813117981
770,421.3,29,88,22528,200.0,0.0003,-0.009263448370620608,0.13793683052062988,0.03099101,870,4.821300593018532,0.03515625,-2.2398934602737426,0.3,-4.140502452850342
769,438.5,29,89,22784,200.0,0.0003,0.0005702012218534947,6222.34716796875,0.018138897,880,9454.853723144532,0.0265625,-2.3121478080749513,0.3,0.038967788219451904
770,484.9,29,90,23040,200.0,0.0003,2.7194852009415627e-05,1207.9869384765625,0.00023952872,890,11418.41781616211,0.0,-2.3404919505119324,0.3,0.08617061376571655
770,485.2,30,91,23296,200.0,0.0003,-0.0007377616129815578,11168.9033203125,2.900022e-05,900,19621.53935546875,0.0,-2.339742958545685,0.3,0.04535210132598877
769,473.0,30,92,23552,200.0,0.0003,-0.00035949728917330506,67.20381164550781,1.9333558e-05,910,468.67869873046874,0.0,-2.339098334312439,0.3,-0.005354046821594238
769,490.4,30,93,23808,200.0,0.0003,-0.0005662786774337292,2097.87890625,6.196834e-05,920,7009.1382507324215,0.0,-2.357144320011139,0.3,0.045849621295928955
770,512.3,31,94,24064,200.0,0.0003,-0.0006067534442991019,2528.410888671875,0.00011843257,930,10286.098913574218,0.0,-2.353124570846558,0.3,0.11245959997177124
768,517.8,31,95,24320,200.0,0.0003,-0.001328950288007036,13658.0947265625,0.00013560033,940,20079.4576171875,0.0,-2.344110429286957,0.3,0.05508625507354736
768,517.8,31,96,24576,200.0,0.0003,-0.010609016846865415,9.059784889221191,0.012031043,950,38.94277987480164,0.005078125,-2.3713268518447874,0.3,-2.2608683109283447
768,517.2,32,97,24832,200.0,0.0003,-0.010420062253251672,3606.34912109375,0.008394116,960,11500.049182128907,0.0,-2.426095759868622,0.3,0.037489354610443115
769,531.9,32,98,25088,200.0,0.0003,-0.0026863940060138703,145.4530029296875,0.001452598,970,307.4898187637329,0.0,-2.4374669790267944,0.3,0.3349815011024475
769,544.8,32,99,25344,200.0,0.0003,-0.0002105751307681203,8165.70703125,0.0006560732,980,22529.321044921875,0.0,-2.4088099598884583,0.3,0.004794955253601074
770,577.2,33,100,25600,200.0,0.0003,-0.0027820796123705803,7038.2197265625,0.00047969585,990,10194.724530029296,0.0,-2.3972051978111266,0.3,0.06028848886489868
770,597.3,33,101,25856,200.0,0.0003,-0.003129982971586287,7175.02587890625,0.0008169026,1000,14259.000610351562,0.0,-2.4144404768943786,0.3,0.033872246742248535
770,622.4,33,102,26112,200.0,0.0003,-0.0021405503386631606,10967.2919921875,0.00037396653,1010,19249.03291015625,0.0,-2.4091139435768127,0.3,0.08603078126907349
769,622.4,34,103,26368,200.0,0.0003,-0.001488816342316568,645.0443115234375,0.000360362,1020,1520.4713928222657,0.0,-2.4110046148300173,0.3,0.209040105342865
768,642.7,34,104,26624,200.0,0.0003,-0.007316131656989455,131.70040893554688,0.009108226,1030,247.7281633377075,0.0,-2.4095749497413634,0.3,0.37626808881759644
770,650.4,34,105,26880,200.0,0.0003,0.003546890476718545,5505.80712890625,0.006706492,1040,11825.121136474609,0.0,-2.3621332168579103,0.3,0.05711245536804199
770,666.9,35,106,27136,200.0,0.0003,-0.000806199386715889,7542.466796875,0.00010999222,1050,20913.82431640625,0.0,-2.3494642615318297,0.3,0.03101789951324463
770,641.3,35,107,27392,200.0,0.0003,-0.0014420180581510068,276.6736145019531,0.00025885156,1060,1003.835841369629,0.0,-2.3423291087150573,0.3,0.2494930624961853
770,656.3,35,108,27648,200.0,0.0003,-0.002974507841281593,947.6884765625,0.0007319441,1070,1366.0433563232423,0.0,-2.3619330525398254,0.3,0.3358679413795471
