time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,train/value_loss,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction
0,936,200.0,1,-143.0,256,,,,,,,,,,
0,959,200.0,2,-373.0,512,0.0002346634864807129,2034.8294921875,722.482666015625,-0.006001226394437254,0.3,0.0003,0.0007654235,10,-2.564723813533783,0.0
0,939,200.0,3,-349.6666666666667,768,0.012711286544799805,1038.4175659179687,443.9983825683594,-0.0043831545859575275,0.3,0.0003,0.0006787919,20,-2.563533401489258,0.0
1,942,200.0,4,-473.2,1024,-0.018709540367126465,884.5085845947266,363.1724853515625,-0.0018308277823962272,0.3,0.0003,0.00028971164,30,-2.5616136312484743,0.0
1,934,200.0,5,-447.0,1280,0.0024845004081726074,1188.6088989257812,602.6824951171875,-0.003107615956105292,0.3,0.0003,0.0002945452,40,-2.5616080164909363,0.0
1,930,200.0,6,-476.85714285714283,1536,0.003978073596954346,2097.5827087402345,1294.5400390625,-0.0022483546345029026,0.3,0.0003,0.00023792475,50,-2.561241292953491,0.0
1,927,200.0,7,-501.25,1792,-0.0013986825942993164,1223.1116119384765,583.7852172851562,-0.0014709149021655322,0.3,0.0003,0.00014289632,60,-2.559156370162964,0.0
2,926,200.0,8,-544.3,2048,-0.0007897615432739258,996.049560546875,476.0167236328125,-0.0014965568901970983,0.3,0.0003,0.00016779639,70,-2.5581249237060546,0.0
2,927,200.0,9,-550.4545454545455,2304,0.0004222393035888672,866.6784027099609,441.74151611328125,-0.002586942701600492,0.3,0.0003,0.00028286967,80,-2.556663227081299,0.0
2,927,200.0,10,-534.0,2560,-0.0003898143768310547,650.7838836669922,276.8958435058594,-0.006573900301009417,0.3,0.0003,0.00097608054,90,-2.5534563183784487,0.0
3,928,200.0,11,-526.6428571428571,2816,0.000616610050201416,1456.4635437011718,615.2153930664062,-0.012521044095046818,0.3,0.0003,0.0064289384,100,-2.5476651191711426,0.0
3,929,200.0,12,-529.2,3072,-0.00010418891906738281,696.056591796875,324.41668701171875,-0.0019872032338753343,0.3,0.0003,0.0032852297,110,-2.5262548089027406,0.0
3,930,200.0,13,-530.5,3328,0.0022352933883666992,706.8678588867188,322.94415283203125,-0.004666821495629847,0.3,0.0003,0.0010087485,120,-2.5105188608169557,0.0
3,931,200.0,14,-515.8823529411765,3584,-0.004173636436462402,413.50412902832034,187.10302734375,-0.006700454908423126,0.3,0.0003,0.001957974,130,-2.4975204348564146,0.0
4,933,200.0,15,-480.94736842105266,3840,0.0008002519607543945,802.1300796508789,421.1203918457031,-0.013589864131063223,0.3,0.0003,0.013670124,140,-2.4696357607841493,0.0234375
4,933,200.0,16,-469.2,4096,0.0007088184356689453,1636.451513671875,982.8463745117188,-0.0055721393320709465,0.3,0.0003,0.007599933,150,-2.4279711127281187,0.0
4,934,200.0,17,-474.57142857142856,4352,0.0017172694206237793,1049.0660919189454,701.1425170898438,-0.005495644267648458,0.3,0.0003,0.004912235,160,-2.378355526924133,0.0
4,934,200.0,18,-463.2608695652174,4608,-0.0006679296493530273,510.4383377075195,196.9866180419922,-0.025460040476173163,0.3,0.0003,0.015910072,170,-2.319696140289307,0.0
5,936,200.0,19,-453.375,4864,0.010132431983947754,749.551303100586,216.5839385986328,-0.014854403724893928,0.3,0.0003,0.021329284,180,-2.218830668926239,0.037890625
5,939,200.0,20,-414.28,5120,0.1428678035736084,1299.8216094970703,676.2578125,-0.01126931319013238,0.3,0.0003,0.0066412617,190,-2.121797239780426,0.0
5,940,200.0,21,-414.46153846153845,5376,0.08521968126296997,2024.3980834960937,779.560302734375,-0.002196661022026092,0.3,0.0003,0.0033830982,200,-1.9911508560180664,0.0
5,941,200.0,22,-414.89285714285717,5632,0.016889870166778564,187.66062698364257,87.7903823852539,-0.003633450821507722,0.3,0.0003,0.0019376404,210,-1.977791863679886,0.0
6,941,200.0,23,-419.3103448275862,5888,0.3229888677597046,220.6555969238281,100.66682434082031,-0.0046261056326329705,0.3,0.0003,0.0030997898,220,-1.9574647188186645,0.0
6,942,200.0,24,-417.43333333333334,6144,-9.083747863769531e-05,421.66283416748047,255.9734649658203,-0.014424570742994547,0.3,0.0003,0.008609804,230,-1.9696539402008058,0.0
6,943,200.0,25,-409.5625,6400,-0.12468469142913818,710.0669006347656,307.3186340332031,-0.002421883074566722,0.3,0.0003,0.010354733,240,-1.8862365663051606,0.00390625
7,943,200.0,26,-410.45454545454544,6656,-1.2874603271484375e-05,178.64650115966796,89.34864807128906,0.0068821262568235396,0.3,0.0003,0.022471707,250,-2.070587229728699,0.066796875
7,943,200.0,27,-405.1764705882353,6912,0.001219332218170166,186.98015518188475,88.46768951416016,-0.006383839575573802,0.3,0.0003,0.003569268,260,-2.0929689764976502,0.001953125
7,942,200.0,28,-408.8857142857143,7168,0.0005501508712768555,955.1484375,404.02593994140625,-0.007890484086237848,0.3,0.0003,0.0067471983,270,-2.139237308502197,0.0
7,942,200.0,29,-411.72972972972974,7424,0.00017338991165161133,358.7628852844238,155.06785583496094,-0.00418724884511903,0.3,0.0003,0.0053651566,280,-2.088012862205505,0.0
8,943,200.0,30,-409.44736842105266,7680,0.0002224445343017578,378.0185836791992,140.30946350097656,-0.005857972661033273,0.3,0.0003,0.003044323,290,-1.9887362658977508,0.0
8,943,200.0,31,-402.64102564102564,7936,-6.842613220214844e-05,1973.991943359375,998.532958984375,-0.013034281274303793,0.3,0.0003,0.008570969,300,-1.954047256708145,0.017578125
8,943,200.0,32,-406.4,8192,-9.059906005859375e-06,1133.4010101318358,597.64794921875,-0.006181840412318706,0.3,0.0003,0.007331229,310,-1.9232378482818604,0.011328125
8,943,200.0,33,-377.26190476190476,8448,-2.2649765014648438e-06,425.7715103149414,185.51934814453125,-0.0007156710140407086,0.3,0.0003,0.0007785151,320,-1.9313015282154082,0.0
9,942,200.0,34,-376.5581395348837,8704,0.00019997358322143555,5738.797045898437,3116.372802734375,-0.0001787986606359482,0.3,0.0003,4.90502e-05,330,-1.9816370487213135,0.0
9,942,200.0,35,-374.8181818181818,8960,-3.6954879760742188e-06,1077.446353149414,492.7083740234375,-0.013791736774146557,0.3,0.0003,0.01443998,340,-2.0400609493255617,0.01171875
9,943,200.0,36,-378.32608695652175,9216,-6.663799285888672e-05,977.5217300415039,541.9593505859375,-0.015680602472275495,0.3,0.0003,0.034639195,350,-2.221740651130676,0.068359375
10,942,200.0,37,-382.74468085106383,9472,0.0005045533180236816,160.73401336669923,78.20584869384766,-0.005090899881906807,0.3,0.0003,0.006403988,360,-2.304879975318909,0.0
10,941,200.0,38,-387.75,9728,-2.5033950805664062e-06,700.0779449462891,320.5020751953125,9.55014955252409e-05,0.3,0.0003,0.00046934024,370,-2.38487708568573,0.0
10,941,200.0,39,-389.2244897959184,9984,0.00010818243026733398,970.2627471923828,497.07879638671875,-0.0038928708527237177,0.3,0.0003,0.0012289959,380,-2.375124752521515,0.0
10,940,200.0,40,-396.15686274509807,10240,-7.271766662597656e-06,741.6465270996093,414.8180847167969,-0.002397537184879184,0.3,0.0003,0.0005449769,390,-2.247324275970459,0.0
11,939,200.0,41,-396.0576923076923,10496,-9.059906005859375e-06,477.1715621948242,204.45823669433594,-0.005830289423465728,0.3,0.0003,0.0030051167,400,-2.265109825134277,0.0
11,938,200.0,42,-394.22641509433964,10752,-7.152557373046875e-06,1798.4164978027343,1138.1693115234375,-0.006335380137898028,0.3,0.0003,0.07850256,410,-2.3222376108169556,0.16328125
11,938,200.0,43,-399.74545454545455,11008,-7.3909759521484375e-06,941.1234252929687,491.1199951171875,-0.0027803449425846337,0.3,0.0003,0.0025284807,420,-2.437649965286255,0.0
12,937,200.0,44,-402.75,11264,2.384185791015625e-07,962.4538665771485,439.136962890625,-0.0033655835315585135,0.3,0.0003,0.0013166,430,-2.3910354375839233,0.0
12,937,200.0,45,-404.2280701754386,11520,-6.079673767089844e-06,666.737451171875,286.49176025390625,0.0003580471733585,0.3,0.0003,0.0002742824,440,-2.372649598121643,0.0
12,937,200.0,46,-407.6034482758621,11776,-5.245208740234375e-06,1467.4299438476562,764.4843139648438,-0.0035357588902115824,0.3,0.0003,0.0004534477,450,-2.417465615272522,0.0
12,937,200.0,47,-403.98333333333335,12032,0.0003711581230163574,2112.930810546875,1136.0238037109375,-0.0027367488481104376,0.3,0.0003,0.00080309575,460,-2.417227041721344,0.0
13,937,200.0,48,-402.5409836065574,12288,-1.0967254638671875e-05,501.5569320678711,229.54489135742188,-0.0005157870007678866,0.3,0.0003,0.00010828837,470,-2.3916880249977113,0.0
13,936,200.0,49,-407.3709677419355,12544,0.001262366771697998,996.709927368164,667.43603515625,-0.007963599858339877,0.3,0.0003,0.002870876,480,-2.4072454452514647,0.00078125
13,936,200.0,50,-412.734375,12800,-1.0609626770019531e-05,832.3599304199219,459.09613037109375,-0.001459811651147902,0.3,0.0003,0.0010891464,490,-2.4279537081718443,0.0
13,936,200.0,51,-413.95384615384614,13056,-0.00016260147094726562,1711.5917724609376,733.75146484375,-0.0037740849889814853,0.3,0.0003,0.000980682,500,-2.4823002219200134,0.0
14,935,200.0,52,-417.6666666666667,13312,0.0009464621543884277,1011.351351928711,532.5134887695312,-0.0023730298737064002,0.3,0.0003,0.0004526251,510,-2.468662881851196,0.0
14,935,200.0,53,-421.94029850746267,13568,-2.1219253540039062e-05,679.5342041015625,323.1999206542969,-0.0012086036615073681,0.3,0.0003,0.0002916581,520,-2.4628629446029664,0.0
14,935,200.0,54,-426.28985507246375,13824,-1.704692840576172e-05,692.524691772461,381.9735412597656,-0.0019942583749070764,0.3,0.0003,0.00029089488,530,-2.4699148297309876,0.0
15,935,200.0,55,-427.5571428571429,14080,-1.6689300537109375e-05,1234.3689910888672,686.2169799804688,-0.008350832154974341,0.3,0.0003,0.0024066058,540,-2.4907861828804014,0.0
15,934,200.0,56,-427.28169014084506,14336,0.0005189776420593262,1097.419869995117,527.3134765625,-0.0033838426694273948,0.3,0.0003,0.0013428964,550,-2.4595168590545655,0.0
