time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/entropy_loss,train/clip_range,train/clip_fraction,train/n_updates,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/approx_kl
256,200.0,0,909,960.0,1,,,,,,,,,,
512,200.0,0,922,735.0,2,-8.320808410644531e-05,-2.5647555708885195,0.3,0.0,10,27688.643115234376,0.0003,-0.005232805851846933,16717.291015625,0.00062192837
768,200.0,0,910,410.0,3,0.0034638047218322754,-2.56351842880249,0.3,0.0,20,669.4097351074219,0.0003,-0.004935921402648091,293.96923828125,0.0009757418
1024,200.0,1,916,416.0,4,-0.00048291683197021484,-2.5609821677207947,0.3,0.0,30,14210.941772460938,0.0003,-0.004373096697963774,4951.75341796875,0.0010800173
1280,200.0,1,916,536.6666666666666,5,0.001996278762817383,-2.5586606740951536,0.3,0.0,40,13751.63525390625,0.0003,-0.003435404831543565,5300.67041015625,0.0006552725
1536,200.0,1,912,525.7142857142857,6,0.007846832275390625,-2.553160035610199,0.3,0.0,50,30777.5583984375,0.0003,-0.0033029202604666352,16969.982421875,0.0005524666
1792,200.0,1,911,512.5,7,0.004289150238037109,-2.5518115162849426,0.3,0.0,60,14080.718310546876,0.0003,-0.005028310278430581,6015.81005859375,0.00084948284
2048,200.0,2,910,516.0,8,0.0054261088371276855,-2.5491556763648986,0.3,0.0,70,8905.864295959473,0.0003,-0.002785177482292056,6696.70751953125,0.00091681746
2304,200.0,2,911,510.90909090909093,9,0.011482715606689453,-2.5406668305397035,0.3,0.0,80,27626.15654296875,0.0003,-0.0006588889053091406,11261.3349609375,0.00027602026
2560,200.0,2,910,538.3333333333334,10,0.020609796047210693,-2.5404386639595034,0.3,0.0,90,13817.089721679688,0.0003,-0.002058109873905778,5580.111328125,0.00023229257
2816,200.0,3,909,547.1428571428571,11,0.0012940764427185059,-2.5419075727462768,0.3,0.0,100,14128.901513671875,0.0003,-0.004095665877684951,7629.54150390625,0.001232716
3072,200.0,3,911,544.6666666666666,12,0.003291904926300049,-2.5269679188728333,0.3,0.0,110,22320.858349609374,0.0003,-0.007205030182376504,15634.6162109375,0.003399639
3328,200.0,3,911,540.625,13,0.03331071138381958,-2.498659777641296,0.3,0.0,120,13756.91923828125,0.0003,-0.0014519337099045515,5536.6982421875,0.0009049608
3584,200.0,3,913,541.7647058823529,14,0.026257216930389404,-2.493847465515137,0.3,0.0,130,13171.489697265624,0.0003,-0.0007987422519363463,7715.89501953125,0.00021313527
3840,200.0,4,915,570.5263157894736,15,0.028321385383605957,-2.502889859676361,0.3,0.0,140,13353.5103515625,0.0003,-0.0036198813002556564,6683.5078125,0.0007085891
4096,200.0,4,916,586.5,16,0.04407542943954468,-2.4957528591156004,0.3,0.0,150,23319.949267578126,0.0003,-0.0016827653162181377,12757.5263671875,0.00035878085
4352,200.0,4,915,582.3809523809524,17,0.03191065788269043,-2.4928797364234923,0.3,0.0,160,11146.359509277343,0.0003,-0.004229046823456884,6898.9677734375,0.0013383927
4608,200.0,5,918,571.304347826087,18,0.015109121799468994,-2.475055146217346,0.3,0.0,170,14034.267712402343,0.0003,-0.005482301558367908,10899.759765625,0.0021567962
4864,200.0,5,919,593.75,19,0.05035370588302612,-2.439269232749939,0.3,0.0,180,12289.483661651611,0.0003,-0.0029179012635722756,8286.837890625,0.0013254136
5120,200.0,5,921,641.2,20,0.04595893621444702,-2.4243558287620544,0.3,0.0,190,34748.28500976563,0.0003,-0.000288416794501245,20290.693359375,0.00020834897
5376,200.0,5,921,640.3846153846154,21,0.05729031562805176,-2.4250757813453676,0.3,0.0,200,12705.850817871094,0.0003,-0.002275256218854338,8180.431640625,0.0008148113
5632,200.0,6,924,637.1428571428571,22,-0.017415404319763184,-2.441483533382416,0.3,0.0,210,14023.905786132813,0.0003,-0.000657729641534388,4379.1982421875,0.00026554358
5888,200.0,6,924,629.3103448275862,23,0.0037137269973754883,-2.4423494219779966,0.3,0.0,220,21366.52912597656,0.0003,-0.0012883602641522885,9251.75,0.0003473137
6144,200.0,6,926,630.6666666666666,24,0.009566009044647217,-2.4147056460380556,0.3,0.0,230,13043.623999023437,0.0003,-0.004588003666140139,4029.577392578125,0.0017282243
6400,200.0,7,895,626.25,25,0.0389978289604187,-2.3918607115745543,0.3,0.004296875,240,8453.897595214843,0.0003,-0.009961554268375038,4671.05419921875,0.0064790566
6656,200.0,7,896,625.4545454545455,26,0.050713419914245605,-2.3619608998298647,0.3,0.0,250,11665.54736328125,0.0003,-0.00545826661400497,1815.01953125,0.0022042084
6912,200.0,7,897,630.2941176470588,27,-0.009416580200195312,-2.4164299607276916,0.3,0.0,260,28176.521484375,0.0003,-0.007758064195513725,15699.44140625,0.0035494124
7168,200.0,7,898,636.2857142857143,28,0.02084362506866455,-2.4341906666755677,0.3,0.0,270,9594.660333251953,0.0003,-0.0018828146392479538,7076.14794921875,0.0017927857
7424,200.0,8,899,634.3243243243244,29,0.01814591884613037,-2.43520245552063,0.3,0.0,280,9111.394027709961,0.0003,-0.0014606844924855977,4939.0498046875,0.0007228798
7680,200.0,8,899,653.1578947368421,30,0.04145234823226929,-2.429850459098816,0.3,0.0,290,22657.4931640625,0.0003,-0.0012388273607939482,4262.1396484375,0.00024686567
7936,200.0,8,899,642.0512820512821,31,0.14324676990509033,-2.423543322086334,0.3,0.0,300,2342.9188232421875,0.0003,-0.0029336221981793643,1291.104736328125,0.00051139295
8192,200.0,9,900,641.0,32,0.0014194250106811523,-2.3967450857162476,0.3,0.0,310,9407.213659667968,0.0003,-0.0035638518165796995,4148.0517578125,0.0016567437
8448,200.0,9,901,620.0,33,0.029370665550231934,-2.4084518432617186,0.3,0.0,320,11817.248571777343,0.0003,-0.0036992690060287715,2837.525390625,0.0014247084
8704,200.0,9,902,622.5581395348837,34,0.054678499698638916,-2.4125521898269655,0.3,0.0,330,11976.107525634765,0.0003,-0.005205890256911516,1596.46240234375,0.0025877564
8960,200.0,9,903,622.5,35,0.04167813062667847,-2.409339427947998,0.3,0.0,340,11510.617724609376,0.0003,-0.004527675919234753,5964.86962890625,0.0020079727
9216,200.0,10,904,626.5217391304348,36,0.03207802772521973,-2.4082417249679566,0.3,0.0,350,13451.658520507812,0.0003,-0.006309051346033811,5663.44384765625,0.0049405964
9472,200.0,10,906,637.2340425531914,37,0.004488229751586914,-2.406324028968811,0.3,0.0,360,9224.374392700196,0.0003,-0.0018475440563634038,495.3807373046875,0.0015834039
9728,200.0,10,906,634.375,38,-0.0014524459838867188,-2.3949318647384645,0.3,0.0,370,27323.47744140625,0.0003,0.00014188068453222514,10771.3896484375,0.00023463229
9984,200.0,10,907,634.0816326530612,39,0.06350570917129517,-2.412027633190155,0.3,0.0,380,11720.154907226562,0.0003,-0.003590992605313659,3773.06005859375,0.0011063837
10240,200.0,11,908,630.5882352941177,40,0.029859483242034912,-2.367379331588745,0.3,0.0,390,9056.33706970215,0.0003,-0.0005806717206723988,4201.634765625,0.00056250836
10496,200.0,11,909,627.3076923076923,41,0.027308106422424316,-2.3860928058624267,0.3,0.0,400,25145.18408203125,0.0003,-0.0008008371572941541,14246.9677734375,0.00027238764
