time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/loss
27,-1102.0588235294117,1104,200.0,6,6912,-0.013898063590750099,2725.139501953125,0.0,0.3,-2.2172927856445312e-05,0.0003,0.0124953985,260,-2.2512967944145204,1387.2584228515625
28,-1080.857142857143,1105,200.0,6,7168,-0.0031109348172321917,2757.285290527344,0.0,0.3,-5.125999450683594e-06,0.0003,0.0016531835,270,-2.154464876651764,1294.5751953125
29,-1065.4054054054054,1106,200.0,6,7424,-0.009728655265644193,2020.1420593261719,0.011328125,0.3,-4.1604042053222656e-05,0.0003,0.004302619,280,-2.2222477555274964,1151.0018310546875
30,-1058.9473684210527,1106,200.0,6,7680,-0.00980114322155714,1821.232159423828,0.0,0.3,-3.993511199951172e-05,0.0003,0.0053237043,290,-2.2399516224861147,844.8934936523438
31,-1056.923076923077,1106,200.0,7,7936,-0.01020820434205234,1245.8537658691407,0.0,0.3,-3.170967102050781e-05,0.0003,0.0065449434,300,-2.2222589015960694,603.78173828125
32,-1058.75,1106,200.0,7,8192,-0.011710295826196671,1833.8919616699218,0.0,0.3,-1.728534698486328e-05,0.0003,0.01175198,310,-2.1028552889823913,864.7020874023438
33,-1035.0,1106,200.0,7,8448,-0.010763347300235182,2481.1541015625,0.0,0.3,-1.6570091247558594e-05,0.0003,0.018073918,320,-1.94022798538208,1076.046630859375
34,-1033.7209302325582,1105,200.0,7,8704,-0.005429211095906794,1959.8185485839845,0.0,0.3,-9.059906005859375e-06,0.0003,0.006542071,330,-1.857922726869583,830.9118041992188
35,-1028.6363636363637,1106,200.0,8,8960,-0.005766825564205646,1621.3472717285156,0.000390625,0.3,7.3909759521484375e-06,0.0003,0.005683454,340,-1.8483659625053406,836.5549926757812
36,-1007.1739130434783,1106,200.0,8,9216,-0.01609288846375421,2120.0471252441407,0.12890625,0.3,-1.239776611328125e-05,0.0003,0.038140733,350,-2.0162404060363768,1056.24853515625
37,-1010.6382978723404,1106,200.0,8,9472,-0.010518027399666608,2364.187921142578,0.0,0.3,9.59634780883789e-06,0.0003,0.011107434,360,-2.007121592760086,1359.0245361328125
