time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/n_updates,train/entropy_loss,train/loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/clip_range,train/explained_variance
2,862,2048,1,200.0,-747.4,,,,,,,,,,
6,680,4096,2,200.0,-640.75,-0.007423879917041631,4670.208698272705,10,-2.482188367843628,1895.9730224609375,0.0067569492,0.0003,0.0080078125,0.2,0.0018340349197387695
9,628,6144,3,200.0,-638.8666666666667,-0.008283789156848798,4250.512648773193,20,-2.467221535742283,1793.837646484375,0.009893578,0.0003,0.0189453125,0.2,0.027460336685180664
13,610,8192,4,200.0,-624.875,-0.008752987091429531,3789.1095954895018,30,-2.4398522049188616,2160.58984375,0.008567659,0.0003,0.035888671875,0.2,0.15424597263336182
17,591,10240,5,200.0,-591.9019607843137,-0.009468727248895447,3662.8878410339357,40,-2.408544859290123,1832.9769287109375,0.011434773,0.0003,0.043994140625,0.2,0.22001707553863525
2,842,2048,1,200.0,-2036.0,-0.007796942090499215,2898.297986602783,50,-2.3928861297667026,959.2826538085938,0.010208343,0.0003,0.034814453125,0.2,0.25281578302383423
6,682,4096,2,200.0,-1970.0,-0.005198020311945583,25538.818469238282,10,-2.4837282203137874,11989.64453125,0.0032361397,0.0003,0.0,0.2,0.00018608570098876953
9,616,6144,3,200.0,-1904.3333333333333,-0.005223535253026057,24548.861212158205,20,-2.476399717479944,12215.96875,0.0041711135,0.0003,0.00849609375,0.2,-1.0728836059570312e-05
13,604,8192,4,200.0,-1904.0,-0.008579657289374154,20654.277658081053,30,-2.4587477296590805,7316.828125,0.009614518,0.0003,0.014306640625,0.2,-1.0132789611816406e-05
17,599,10240,5,200.0,-1845.8823529411766,-0.011587170881102792,20975.854064941406,40,-2.4296665504574775,9023.9033203125,0.012482142,0.0003,0.054736328125,0.2,-2.9802322387695312e-06
2,826,2048,1,200.0,-379.5,-0.010181191186711657,16882.39290161133,50,-2.396472895145416,9177.6123046875,0.014574332,0.0003,0.054931640625,0.2,-2.1457672119140625e-06
6,638,4096,2,200.0,-435.75,-0.006761644908692688,1981.6514335632323,60,-2.3869595497846605,685.96337890625,0.0098863505,0.0003,0.04091796875,0.2,0.2672744393348694
10,611,6144,3,200.0,-393.0,-0.0065890876023331655,1778.9910778045655,70,-2.3768031701445578,729.0567016601562,0.007968817,0.0003,0.02431640625,0.2,0.31234943866729736
13,600,8192,4,200.0,-373.0,-0.010673688702809159,1749.2637020111083,80,-2.378960622102022,656.4556884765625,0.0132532865,0.0003,0.10205078125,0.2,0.2779613733291626
17,598,10240,5,200.0,-397.4901960784314,-0.00946550388180185,1845.466199874878,90,-2.375718883424997,650.9862670898438,0.008604821,0.0003,0.058056640625,0.2,0.29028749465942383
2,908,2048,1,200.0,-1560.0,-0.007606202164606657,1487.3806715011597,100,-2.3609716072678566,611.2216796875,0.011973651,0.0003,0.055859375,0.2,0.506014347076416
6,679,4096,2,200.0,-1462.5,-0.01630490325333085,15118.092166137696,60,-2.3412708856165407,7618.8525390625,0.011895753,0.0003,0.134228515625,0.2,-2.5033950805664062e-06
9,631,6144,3,200.0,-1377.0,-0.014699767109414097,12067.033618164063,70,-2.2605252541601657,5810.8388671875,0.0132699935,0.0003,0.117724609375,0.2,-1.1920928955078125e-06
13,605,8192,4,200.0,-1286.0,-0.008545593413873575,8663.865618896485,80,-2.228831089287996,3959.040283203125,0.008592526,0.0003,0.0541015625,0.2,-1.5497207641601562e-06
17,592,10240,5,200.0,-1260.7843137254902,-0.011232327149627963,6585.57946472168,90,-2.128634563088417,2702.317626953125,0.013553422,0.0003,0.097802734375,0.2,-9.5367431640625e-07
2,797,2048,1,200.0,-281.9,-0.011342224682448433,7316.052529907227,100,-2.013312865048647,3645.57373046875,0.011675563,0.0003,0.102880859375,0.2,-9.5367431640625e-07
6,644,4096,2,200.0,-292.6,-0.009794224357028725,1202.347481918335,110,-2.352241339534521,381.1631164550781,0.011690655,0.0003,0.097021484375,0.2,0.3051570653915405
10,609,6144,3,200.0,-294.1333333333333,-0.012151502576307394,1334.4395354270935,120,-2.3227722458541393,659.9412231445312,0.013376733,0.0003,0.089599609375,0.2,0.31431955099105835
13,586,8192,4,200.0,-307.75,-0.008045959613809828,1175.8659210205078,130,-2.297830593585968,443.27313232421875,0.0078219585,0.0003,0.028125,0.2,0.4206257462501526
17,577,10240,5,200.0,-313.19607843137254,-0.010635244229342788,1596.439838027954,140,-2.2880717761814595,556.3660888671875,0.011449643,0.0003,0.084130859375,0.2,0.3604220151901245
2,799,2048,1,200.0,-967.0,-0.009079067573475185,895.9240319252015,150,-2.2921740882098676,371.8785095214844,0.0117071085,0.0003,0.055810546875,0.2,0.4655395746231079
6,640,4096,2,200.0,-993.5,-0.011212512539350428,6403.610377502441,110,-1.9089745406061411,3122.20654296875,0.009426255,0.0003,0.10009765625,0.2,-8.344650268554688e-07
9,617,6144,3,200.0,-923.6666666666666,-0.009009064959536772,6979.531683349609,120,-1.9019951730966569,2914.161376953125,0.013334177,0.0003,0.06875,0.2,-5.960464477539062e-07
13,594,8192,4,200.0,-893.25,-0.018694828714069446,3878.7133514404295,130,-1.8032826188951732,2407.412109375,0.015958216,0.0003,0.18701171875,0.2,-4.76837158203125e-07
17,583,10240,5,200.0,-832.5490196078431,-0.014857304337783716,3906.2047073364256,140,-1.6429699867963792,2126.8681640625,0.015137915,0.0003,0.194775390625,0.2,-3.5762786865234375e-07
2,843,2048,1,200.0,-338.4,-0.0030689843399159143,3704.250046920776,150,-1.5469692774116992,2012.998779296875,0.022636415,0.0003,0.118408203125,0.2,-2.384185791015625e-07
6,665,4096,2,200.0,-358.55,-0.009389723514323123,772.9245272636414,160,-2.2571882903575897,327.05621337890625,0.013142447,0.0003,0.083642578125,0.2,0.4467496871948242
9,620,6144,3,200.0,-338.46666666666664,-0.008164920484705362,1149.1521077156067,170,-2.2578667059540747,579.3795166015625,0.0072137294,0.0003,0.03623046875,0.2,0.4978904724121094
13,598,8192,4,200.0,-356.0,-0.007595217514608521,986.4897222518921,180,-2.280615767836571,370.53338623046875,0.0080857165,0.0003,0.042431640625,0.2,0.5161239504814148
17,585,10240,5,200.0,-356.84313725490193,-0.0072407605846819935,785.9145966529846,190,-2.291968373209238,333.3686218261719,0.009401672,0.0003,0.056591796875,0.2,0.48011136054992676
2,721,2048,1,200.0,-543.0,-0.011279096444923198,997.5876937866211,200,-2.3181632578372957,601.1103515625,0.012528725,0.0003,0.079541015625,0.2,0.46808773279190063
6,588,4096,2,200.0,-498.5,-0.0028212020537466743,2686.855286407471,160,-1.3079469501972198,1149.7940673828125,0.010205121,0.0003,0.1927734375,0.2,0.0
10,562,6144,3,200.0,-469.6666666666667,0.00023541053815279156,2020.6984313964845,170,-1.1735679043456912,883.8868408203125,0.0235884,0.0003,0.201806640625,0.2,-2.384185791015625e-07
14,547,8192,4,200.0,-454.25,1.4035598724149167e-06,1899.6394285202027,180,-1.0276800079271198,1350.468505859375,0.04332653,0.0003,0.16474609375,0.2,-2.384185791015625e-07
18,540,10240,5,200.0,-430.19607843137254,-0.0008529899336281232,1607.0842432022096,190,-0.9169231735169887,804.3942260742188,0.007098804,0.0003,0.05771484375,0.2,0.0
2,873,2048,1,200.0,-309.8,-0.0017848750925622881,1952.6930768966674,200,-0.7706037022173404,928.4481811523438,0.008581551,0.0003,0.095654296875,0.2,0.0
6,664,4096,2,200.0,-342.35,-0.004895433635101654,903.1379489898682,210,-2.3068735025823117,636.7918090820312,0.00828193,0.0003,0.02353515625,0.2,0.5408447980880737
9,633,6144,3,200.0,-353.53333333333336,-0.0074509078069240784,852.3857577323913,220,-2.3044361360371113,189.89447021484375,0.009624496,0.0003,0.058935546875,0.2,0.43183624744415283
13,622,8192,4,200.0,-325.75,-0.01089521774702007,582.5353512763977,230,-2.289015308022499,277.0350036621094,0.01038929,0.0003,0.08994140625,0.2,0.6136277914047241
16,615,10240,5,200.0,-331.01960784313724,-0.0061929902265546845,927.1452295303345,240,-2.2933183282613756,391.1051330566406,0.0071797394,0.0003,0.022412109375,0.2,0.6256686449050903
2,881,2048,1,200.0,-442.0,-0.011866203956014943,783.7103699684143,250,-2.282559460401535,295.5633544921875,0.010776829,0.0003,0.07255859375,0.2,0.6681399941444397
5,695,4096,2,200.0,-449.5,-0.002140025234257337,1670.7419658660888,210,-0.9833701891824603,1043.74951171875,0.009040022,0.0003,0.061181640625,0.2,5.960464477539063e-08
9,642,6144,3,200.0,-421.3333333333333,-0.0012524742640380282,1181.2250176429748,220,-0.9635658731684089,788.191162109375,0.006692878,0.0003,0.08037109375,0.2,1.1920928955078125e-07
13,619,8192,4,200.0,-391.5,-0.0017587653077498545,1699.028740310669,230,-0.7619314948096871,696.6171264648438,0.004736895,0.0003,0.081201171875,0.2,-1.1920928955078125e-07
