time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/n_updates,train/entropy_loss,train/loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/clip_range,train/explained_variance
2,862,2048,1,200.0,-2294.0,,,,,,,,,,
6,635,4096,2,200.0,-2125.5,-0.004740103176300181,31289.670513916015,10,-2.4838061332702637,14771.41015625,0.0029858344,0.0003,0.00087890625,0.2,0.0013957619667053223
10,561,6144,3,200.0,-2076.6666666666665,-0.0067705554094573015,26364.62062988281,20,-2.4787562012672426,14898.6552734375,0.005430364,0.0003,0.00830078125,0.2,-5.4836273193359375e-06
14,562,8192,4,200.0,-2038.25,-0.004384477791609243,24677.547509765624,30,-2.4696401320397854,11303.2158203125,0.0038978597,0.0003,0.0005859375,0.2,-1.9073486328125e-06
18,553,10240,5,200.0,-1967.0588235294117,-0.009040094399097143,23583.514038085938,40,-2.4495136082172393,10967.3525390625,0.009714974,0.0003,0.037109375,0.2,-3.337860107421875e-06
2,745,2048,1,200.0,-457.2,-0.00564696184155764,18175.510592651368,50,-2.4153692804276945,8439.6748046875,0.007756518,0.0003,0.02275390625,0.2,-5.841255187988281e-06
6,587,4096,2,200.0,-535.3,-0.007118635125516448,3012.9028869628905,10,-2.4818850077688692,1301.261474609375,0.0072051445,0.0003,0.009521484375,0.2,0.0007610321044921875
10,565,6144,3,200.0,-563.0666666666667,-0.007277926478855079,3174.666731262207,20,-2.4694135397672654,1563.87646484375,0.008200593,0.0003,0.02158203125,0.2,0.10196477174758911
14,550,8192,4,200.0,-570.2,-0.013486930904036853,3330.929411315918,30,-2.4511278063058852,1241.920654296875,0.012414661,0.0003,0.051123046875,0.2,0.046917498111724854
18,543,10240,5,200.0,-558.3529411764706,-0.00824364513537148,3352.5439277648925,40,-2.4428949020802975,1610.9190673828125,0.008325486,0.0003,0.044287109375,0.2,0.08556002378463745
6,308,2048,1,200.0,-1671.0,-0.00707666742237052,2910.7850982666014,50,-2.4141992546617983,1377.9114990234375,0.0087733725,0.0003,0.02880859375,0.2,0.12658089399337769
