time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/value_loss,train/entropy_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl
3,3584,14,200.0,-447.6470588235294,1061,224.49807739257812,-0.012065320508554578,0.011312305927276611,0.0003,523.9203369140625,-2.40927597284317,0.0,130,0.3,0.0050408007
3,3840,15,200.0,-428.42105263157896,1060,378.5653076171875,-0.0022811704548075795,0.05224871635437012,0.0003,620.4779052734375,-2.4494231939315796,0.0,140,0.3,0.0026013108
3,4096,16,200.0,-413.0,1064,374.4042663574219,-0.0032491823425516487,0.04358607530593872,0.0003,500.57727127075196,-2.4697009563446044,0.0,150,0.3,0.0009573363
4,4352,17,200.0,-422.3809523809524,1066,200.20526123046875,3.872346132993698e-05,0.16447770595550537,0.0003,536.6722106933594,-2.4886438608169557,0.0,160,0.3,9.089918e-05
4,4608,18,200.0,-450.4347826086956,1068,307.0954895019531,-0.003446551226079464,0.012159645557403564,0.0003,820.9195434570313,-2.47065292596817,0.0,170,0.3,0.0005872331
4,4864,19,200.0,-439.1666666666667,1069,133.2925262451172,-0.0005860105506144464,-0.19333243370056152,0.0003,369.73202056884764,-2.474359321594238,0.0,180,0.3,8.762465e-05
4,5120,20,200.0,-429.2,1070,773.380126953125,-0.0025647226488217712,0.002876579761505127,0.0003,1230.423403930664,-2.4649531841278076,0.0,190,0.3,0.00037465896
5,5376,21,200.0,-415.7692307692308,1058,75.38597869873047,-0.009435290680266916,-0.005664348602294922,0.0003,190.7895851135254,-2.467313861846924,0.0,200,0.3,0.009387215
5,5632,22,200.0,-402.85714285714283,1059,265.2315368652344,-0.0030663262121379377,0.004201412200927734,0.0003,911.6579345703125,-2.435919094085693,0.0,210,0.3,0.005422471
5,5888,23,200.0,-397.2413793103448,1061,289.9278869628906,-0.0035071627702564,-0.0033957958221435547,0.0003,621.8997573852539,-2.40176842212677,0.0,220,0.3,0.0011167834
5,6144,24,200.0,-397.6666666666667,1062,225.70762634277344,-0.004348014527931809,0.006860673427581787,0.0003,616.9942733764649,-2.396731638908386,0.0,230,0.3,0.0007494157
6,6400,25,200.0,-390.9375,1064,156.87599182128906,-0.0008845694595947861,0.005031466484069824,0.0003,538.7808242797852,-2.4361781597137453,0.0,240,0.3,0.00017966819
6,6656,26,200.0,-392.42424242424244,1061,154.544921875,-0.00809899573214352,0.008746445178985596,0.0003,533.8537544250488,-2.432879316806793,0.0,250,0.3,0.0022303925
6,6912,27,200.0,-395.0,1062,160.1929931640625,-0.0024496365571394564,-0.056218862533569336,0.0003,293.7784088134766,-2.4297163486480713,0.0,260,0.3,0.0018395726
6,7168,28,200.0,-395.14285714285717,1062,284.3821105957031,-0.005042183026671409,-0.02024543285369873,0.0003,658.3420608520507,-2.4146820545196532,0.0,270,0.3,0.0040021865
6,7424,29,200.0,-393.5135135135135,1063,192.91082763671875,-0.005779757630079985,0.0005657672882080078,0.0003,606.197233581543,-2.34313063621521,0.001171875,280,0.3,0.0102927275
7,7680,30,200.0,-394.2105263157895,1064,108.11344146728516,-0.00565115655772388,0.0031848549842834473,0.0003,215.06785202026367,-2.3025102734565737,0.0,290,0.3,0.004401058
7,7936,31,200.0,-390.0,1065,102.56151580810547,-0.010695359297096729,-0.00669252872467041,0.0003,275.6187408447266,-2.3225922346115113,0.005859375,300,0.3,0.010920703
7,8192,32,200.0,-394.75,1065,203.37466430664062,-0.006686284695751965,0.00584101676940918,0.0003,478.9634719848633,-2.31880304813385,0.003125,310,0.3,0.0075677326
7,8448,33,200.0,-393.57142857142856,1065,128.77847290039062,-0.002865052781999111,0.0009821653366088867,0.0003,217.8409080505371,-2.326976180076599,0.0,320,0.3,0.0010119958
8,8704,34,200.0,-395.5813953488372,1065,290.4373474121094,-0.00979671166278422,0.008460164070129395,0.0003,495.41677780151366,-2.367285931110382,0.0,330,0.3,0.00554007
8,8960,35,200.0,-385.45454545454544,1066,401.06536865234375,-0.007901305332779884,0.026248395442962646,0.0003,730.2988265991211,-2.359382712841034,0.0,340,0.3,0.00497145
8,9216,36,200.0,-377.39130434782606,1067,381.2528991699219,-0.007355461968109012,-0.04051053524017334,0.0003,826.1418395996094,-2.3414881348609926,0.0,350,0.3,0.0028236336
8,9472,37,200.0,-376.59574468085106,1067,569.56591796875,-0.00021460519637912513,0.09907257556915283,0.0003,846.0810592651367,-2.274885094165802,0.0,360,0.3,0.00016625645
9,9728,38,200.0,-378.9583333333333,1067,403.22784423828125,-0.0008490774780511856,0.11537468433380127,0.0003,626.7490509033203,-2.2729756355285646,0.0,370,0.3,0.00019212253
9,9984,39,200.0,-390.40816326530614,1068,80.41969299316406,-0.005371907632797957,0.03950852155685425,0.0003,232.05748977661133,-2.2656986594200133,0.0,380,0.3,0.002346624
9,10240,40,200.0,-380.5882352941176,1068,397.97503662109375,-0.0007840074365958571,0.038385748863220215,0.0003,668.599267578125,-2.2506860971450804,0.0,390,0.3,0.0008872808
0,256,1,200.0,-20.0,1419,385.9075622558594,-0.003593569016084075,0.0009548664093017578,0.0003,643.9789245605468,-2.225131630897522,0.0,400,0.3,0.0008150034
0,512,2,200.0,-190.0,1242,518.5929565429688,-0.0073775871424004436,0.0025385618209838867,0.0003,985.6832641601562,-2.5645656824111938,0.0,10,0.3,0.0011343888
0,768,3,200.0,-303.3333333333333,1196,143.94989013671875,-0.003823908464983106,-0.006790041923522949,0.0003,234.85921401977538,-2.562551236152649,0.0,20,0.3,0.0009423082
0,1024,4,200.0,-242.0,1167,348.1329345703125,-0.007928689580876381,0.0009250044822692871,0.0003,602.0881164550781,-2.5610167026519775,0.0,30,0.3,0.0020847826
1,1280,5,200.0,-265.0,1151,279.6482238769531,-0.006977444514632225,-6.830692291259766e-05,0.0003,608.1596252441407,-2.560273730754852,0.0,40,0.3,0.0020926434
1,1536,6,200.0,-237.14285714285714,1139,217.43414306640625,-0.009647858422249555,-0.0031785964965820312,0.0003,411.10834350585935,-2.556406009197235,0.0,50,0.3,0.0052686967
1,1792,7,200.0,-302.5,1129,400.62005615234375,-0.014518346963450312,0.010892212390899658,0.0003,625.4902320861817,-2.5308274626731873,0.000390625,60,0.3,0.010926159
1,2048,8,200.0,-287.0,1123,144.88510131835938,-0.008026309940032662,0.02900099754333496,0.0003,224.01889724731444,-2.50185911655426,0.0,70,0.3,0.0040428564
2,2304,9,200.0,-265.45454545454544,1120,78.26078033447266,-0.016900621305103412,0.007726311683654785,0.0003,471.0426361083984,-2.4954482555389403,0.012109375,80,0.3,0.0112000555
2,2560,10,200.0,-280.8333333333333,1118,418.1343688964844,-0.009183389530517162,0.04234951734542847,0.0003,527.8763595581055,-2.4649698376655578,0.00078125,90,0.3,0.008434669
2,2816,11,200.0,-277.85714285714283,1116,71.01627349853516,-0.0031006228760816156,0.03727525472640991,0.0003,212.19856643676758,-2.44410001039505,0.0,100,0.3,0.003387203
2,3072,12,200.0,-282.6666666666667,1114,95.09747314453125,-0.015806259540840983,-0.039290547370910645,0.0003,173.70874252319337,-2.426804745197296,0.025,110,0.3,0.01665799
2,3328,13,200.0,-268.125,1114,59.701473236083984,-0.01997265461832285,-0.003060460090637207,0.0003,228.42810554504393,-2.3574414253234863,0.112890625,120,0.3,0.039655045
3,3584,14,200.0,-269.4117647058824,1110,153.382568359375,-0.005920096579939127,0.008250415325164795,0.0003,458.97191314697267,-2.277985966205597,0.0,130,0.3,0.005790024
3,3840,15,200.0,-255.78947368421052,1109,270.9754943847656,-0.006772092264145613,0.004223227500915527,0.0003,522.0168167114258,-2.2826030015945435,0.0015625,140,0.3,0.004000646
3,4096,16,200.0,-263.5,1106,61.170108795166016,-0.0034881053725257516,-0.029169917106628418,0.0003,183.2468500137329,-2.2683680653572083,0.0,150,0.3,0.0024689487
3,4352,17,200.0,-252.38095238095238,1105,75.20538330078125,-0.002673800440970808,-0.005903124809265137,0.0003,209.23240699768067,-2.2178707480430604,0.0,160,0.3,0.0022107435
4,4608,18,200.0,-232.6086956521739,1104,255.75929260253906,-0.0034314546501263976,0.02211242914199829,0.0003,744.6769821166993,-2.3250922083854677,0.0,170,0.3,0.0018099919
4,4864,19,200.0,-231.66666666666666,1103,465.4901123046875,-0.007883972791023552,0.022751033306121826,0.0003,944.8323974609375,-2.321686851978302,0.0,180,0.3,0.003225853
4,5120,20,200.0,-232.0,1101,80.24928283691406,-0.005213059193920344,-0.04214835166931152,0.0003,202.6213348388672,-2.3701242446899413,0.0,190,0.3,0.004547514
4,5376,21,200.0,-235.76923076923077,1099,218.20455932617188,-0.012266578222624957,-0.011809945106506348,0.0003,441.9807922363281,-2.453425145149231,0.012109375,200,0.3,0.016378265
5,5632,22,200.0,-218.57142857142858,1097,313.55462646484375,-0.005707257706671953,0.033171117305755615,0.0003,467.0981269836426,-2.4875728368759153,0.0015625,210,0.3,0.0027320827
5,5888,23,200.0,-229.6551724137931,1093,394.47576904296875,-0.004226370202377439,0.05864286422729492,0.0003,792.5847213745117,-2.4842305064201353,0.0,220,0.3,0.0013551773
5,6144,24,200.0,-224.0,1092,245.5264434814453,-0.0012565379845909774,0.0672118067741394,0.0003,466.1081039428711,-2.444916105270386,0.0,230,0.3,0.00035410933
5,6400,25,200.0,-220.0,1093,76.85957336425781,-0.0023734328744467346,0.007470428943634033,0.0003,469.35719833374026,-2.4833771109580995,0.0,240,0.3,0.00070064864
6,6656,26,200.0,-218.1818181818182,1092,153.29490661621094,-0.0053186534438282255,0.05661451816558838,0.0003,460.47534637451173,-2.526421880722046,0.000390625,250,0.3,0.00327554
6,6912,27,200.0,-224.7058823529412,1092,159.60362243652344,-0.0053835763130337,0.08516424894332886,0.0003,578.4676208496094,-2.493953597545624,0.0,260,0.3,0.00096661854
6,7168,28,200.0,-231.42857142857142,1093,62.1092529296875,-0.009571942687034606,0.008550643920898438,0.0003,189.64308223724365,-2.3974231839179994,0.008984375,270,0.3,0.008280135
6,7424,29,200.0,-231.0810810810811,1094,74.68212890625,-0.013604514766484499,0.02368640899658203,0.0003,107.39570388793945,-2.417327272891998,0.003125,280,0.3,0.009608388
7,7680,30,200.0,-231.31578947368422,1095,182.65000915527344,-0.005966342845931649,0.03391551971435547,0.0003,502.9420639038086,-2.4671212673187255,0.0015625,290,0.3,0.0038658
7,7936,31,200.0,-231.53846153846155,1095,41.10801315307617,-0.004060179693624377,-0.2925335168838501,0.0003,103.86810302734375,-2.419132745265961,0.0015625,300,0.3,0.0026907793
7,8192,32,200.0,-229.75,1095,79.14697265625,-0.01807201080955565,0.005668520927429199,0.0003,140.804190826416,-2.427293562889099,0.013671875,310,0.3,0.01510735
7,8448,33,200.0,-233.0952380952381,1095,265.30804443359375,-0.016469845513347535,0.004181623458862305,0.0003,508.0211349487305,-2.4622930765151976,0.05625,320,0.3,0.021361915
7,8704,34,200.0,-233.02325581395348,1095,309.6859130859375,-0.006519311352167279,0.11331748962402344,0.0003,569.7124900817871,-2.312958550453186,0.000390625,330,0.3,0.0033892249
8,8960,35,200.0,-236.36363636363637,1095,55.667015075683594,-0.013126262929290533,0.22103804349899292,0.0003,126.32571754455566,-2.2414461612701415,0.000390625,340,0.3,0.016540356
8,9216,36,200.0,-236.95652173913044,1094,93.62601470947266,-0.002642497117631137,-0.2423396110534668,0.0003,166.27722816467286,-2.3440948963165282,0.0,350,0.3,0.004718826
8,9472,37,200.0,-238.08510638297872,1094,24.07483673095703,-0.016881008399650455,0.26939821243286133,0.0003,78.66204576492309,-2.256656861305237,0.0296875,360,0.3,0.016919823
8,9728,38,200.0,-233.95833333333334,1094,119.140380859375,-0.008184816827997566,0.030229628086090088,0.0003,273.4371162414551,-2.1701940059661866,0.01796875,370,0.3,0.016963582
