rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss
-577.6470588235294,1028,14,3,3584,200.0,0.0,0.009532034397125244,0.3,697.6553344726562,-0.006615346786566079,130,0.0039773816,1373.2783752441405,0.0003,-2.4638285040855408
-547.3684210526316,1027,15,3,3840,200.0,0.0,0.0010849833488464355,0.3,538.9219360351562,-0.004961100220680237,140,0.0028582537,1100.365530395508,0.0003,-2.457939827442169
-523.5,1027,16,3,4096,200.0,0.0,0.06112313270568848,0.3,771.8409423828125,-0.012495548860169948,150,0.0072225216,1285.1969665527345,0.0003,-2.4370053887367247
-520.4761904761905,1030,17,4,4352,200.0,0.0,0.0032663345336914062,0.3,579.8165283203125,-0.007695895526558161,160,0.005250782,1419.0648681640625,0.0003,-2.385088789463043
-528.2608695652174,1032,18,4,4608,200.0,0.0,0.040739476680755615,0.3,529.7008666992188,-0.008824753575026989,170,0.0034883176,1117.597915649414,0.0003,-2.3634580254554747
-521.25,1031,19,4,4864,200.0,0.0,0.14867258071899414,0.3,498.2232360839844,-0.004792639194056392,180,0.0026345875,845.6358627319336,0.0003,-2.3180190324783325
-518.8,1033,20,4,5120,200.0,0.05625,0.0011853575706481934,0.3,278.2750244140625,-0.015904725529253483,190,0.02270501,732.9495010375977,0.0003,-2.2531903266906737
-518.0769230769231,1036,21,5,5376,200.0,0.0,-0.2854360342025757,0.3,144.8059539794922,-0.004793695674743503,200,0.004807127,269.00737380981445,0.0003,-2.167713451385498
-512.1428571428571,1036,22,5,5632,200.0,0.0,-0.28608548641204834,0.3,60.037567138671875,-0.00762920833658427,210,0.012157652,168.17894706726074,0.0003,-2.1239992141723634
-520.3448275862069,1036,23,5,5888,200.0,0.079296875,-0.0003107786178588867,0.3,516.3773803710938,-0.016143981833010912,220,0.035433784,851.6442474365234,0.0003,-2.115496742725372
-513.3333333333334,1036,24,5,6144,200.0,0.026171875,1.8298625946044922e-05,0.3,486.205322265625,-0.010353298811241984,230,0.016846808,1007.3911651611328,0.0003,-2.0887280344963073
-505.9375,1037,25,6,6400,200.0,0.064453125,8.934736251831055e-05,0.3,207.3170623779297,-0.016136552300304176,240,0.029720584,716.2899185180664,0.0003,-2.113636827468872
