time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/clip_fraction,train/clip_range,train/value_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/loss,train/policy_gradient_loss
9,8192,200.0,32,834,499.25,-2.3671409249305726,310,0.0,0.3,9092.150646972656,0.01987481117248535,0.0003,0.0020591926,2706.650390625,-0.004547250107862055
10,8448,200.0,33,833,504.5238095238095,-2.3359471440315245,320,0.0,0.3,9376.940087890625,0.011377096176147461,0.0003,0.004182718,7666.3515625,-0.007160412217490375
10,8704,200.0,34,832,507.2093023255814,-2.315205228328705,330,0.0,0.3,17567.049951171874,0.031960904598236084,0.0003,0.0011879182,10155.6708984375,-0.0026974981185048817
10,8960,200.0,35,832,506.1363636363636,-2.2947278141975405,340,0.0,0.3,9278.053405761719,0.02417069673538208,0.0003,0.0029520912,4603.328125,-0.006192360713612288
11,9216,200.0,36,830,509.7826086956522,-2.3247854232788088,350,0.0,0.3,8944.362420654297,0.022074341773986816,0.0003,0.0009700465,8033.7060546875,-0.0014776467578485608
11,9472,200.0,37,830,507.4468085106383,-2.288919973373413,360,0.0,0.3,9301.28876953125,0.015863358974456787,0.0003,0.0026656673,4545.62451171875,-0.005425473116338253
11,9728,200.0,38,828,508.3333333333333,-2.231808233261108,370,0.0,0.3,17555.80009765625,0.020683765411376953,0.0003,0.0011496337,2919.953125,-0.003163172979839146
12,9984,200.0,39,825,503.6734693877551,-2.269242191314697,380,0.0,0.3,8819.9986328125,0.04763370752334595,0.0003,0.0023659444,1012.258056640625,-0.004661888862028718
12,10240,200.0,40,823,504.5098039215686,-2.2629494428634644,390,0.0,0.3,8881.562536621093,0.05445516109466553,0.0003,0.0011569138,1457.3056640625,-0.0014768334105610848
0,256,200.0,1,1016,360.0,-2.2852991938591005,400,0.0,0.3,17358.909716796876,0.044606924057006836,0.0003,0.0010019715,9052.3974609375,-0.003381490707397461
0,512,200.0,2,886,440.0,-2.5646181464195252,10,0.0,0.3,9177.953414916992,-0.0005112886428833008,0.0003,0.0010154878,8735.9375,-0.004227643646299839
0,768,200.0,3,837,436.6666666666667,-2.563560676574707,20,0.0,0.3,17651.194287109374,0.001444995403289795,0.0003,0.0002406023,8946.8974609375,-0.0011339441407471895
1,1024,200.0,4,819,434.0,-2.5627421736717224,30,0.0,0.3,8743.858520507812,0.002559483051300049,0.0003,0.0010587515,8263.458984375,-0.004698077938519419
1,1280,200.0,5,804,488.3333333333333,-2.5589136242866517,40,0.0,0.3,9121.391430664062,0.00533217191696167,0.0003,0.0014186103,4519.2216796875,-0.004641472734510899
1,1536,200.0,6,809,490.0,-2.556060266494751,50,0.0,0.3,18279.376806640626,0.009001851081848145,0.0003,0.0005349212,7294.55078125,-0.0031274543609470127
2,1792,200.0,7,814,365.0,-2.5529061198234557,60,0.0,0.3,224.05565795898437,-0.1534491777420044,0.0003,0.00058588036,107.095458984375,-0.0029518089606426655
2,2048,200.0,8,816,385.0,-2.5472423315048216,70,0.0,0.3,9056.714453125,0.018650710582733154,0.0003,0.0009118265,7791.32275390625,-0.003498784941621125
2,2304,200.0,9,814,389.09090909090907,-2.5444576501846314,80,0.0,0.3,16916.23845214844,0.018589317798614502,0.0003,0.00064106425,10794.9970703125,-0.0034349962370470166
3,2560,200.0,10,803,400.0,-2.535209321975708,90,0.0,0.3,9087.145974731446,0.016418755054473877,0.0003,0.001551741,7386.56494140625,-0.005413670605048537
3,2816,200.0,11,801,393.57142857142856,-2.530916965007782,100,0.0,0.3,9072.981402587891,0.011201679706573486,0.0003,0.0011434355,1112.1300048828125,-0.0019629351794719697
3,3072,200.0,12,803,396.6666666666667,-2.5281530618667603,110,0.0,0.3,9162.32939453125,0.012961745262145996,0.0003,0.00029496732,6106.2626953125,-0.0009446431649848819
4,3328,200.0,13,804,400.0,-2.5264017820358275,120,0.0,0.3,9127.18995361328,0.013073265552520752,0.0003,0.00071091205,3448.632080078125,-0.002409023651853204
4,3584,200.0,14,805,429.4117647058824,-2.515486478805542,130,0.0,0.3,18048.039013671874,0.0398479700088501,0.0003,0.00075003086,12496.8125,-0.0017210398567840458
4,3840,200.0,15,799,437.36842105263156,-2.4905697107315063,140,0.0,0.3,9351.863598632812,0.00346982479095459,0.0003,0.0015064876,6251.68310546875,-0.003965918533504009
5,4096,200.0,16,796,445.5,-2.474836993217468,150,0.0,0.3,15834.737561035156,0.027857065200805664,0.0003,0.0030131012,6904.8818359375,-0.00533331255428493
5,4352,200.0,17,796,445.7142857142857,-2.454221522808075,160,0.0,0.3,8810.703063964844,0.048543572425842285,0.0003,0.0025262497,2795.28125,-0.005434881104156375
5,4608,200.0,18,799,444.3478260869565,-2.441874694824219,170,0.000390625,0.3,9262.809136962891,-0.022159457206726074,0.0003,0.0018290237,1796.00830078125,-0.009459838178008795
6,4864,200.0,19,801,446.6666666666667,-2.456455934047699,180,0.0,0.3,16163.965576171875,0.03133589029312134,0.0003,0.0015078285,4804.09130859375,-0.005053296452388167
6,5120,200.0,20,801,444.8,-2.424951672554016,190,0.0,0.3,7294.548262786865,0.03788226842880249,0.0003,0.007944951,109.46859741210938,-0.009239950985647737
6,5376,200.0,21,801,452.3076923076923,-2.2981562495231627,200,0.0,0.3,9070.343963623047,0.006111562252044678,0.0003,0.007069052,4486.533203125,-0.007409156137146056
7,5632,200.0,22,799,420.0,-2.312636840343475,210,0.031640625,0.3,73.49673404693604,-0.9633382558822632,0.0003,0.01698535,41.12860870361328,-0.019045449746772646
7,5888,200.0,23,799,430.3448275862069,-2.368260383605957,220,0.0,0.3,17982.8720703125,0.023117899894714355,0.0003,0.003490336,12947.662109375,-0.00036911985371261834
7,6144,200.0,24,799,435.6666666666667,-2.346050775051117,230,0.0,0.3,7621.195672607422,0.03729808330535889,0.0003,0.0026937209,1507.977294921875,-0.0066069202497601506
8,6400,200.0,25,799,446.875,-2.3804514527320864,240,0.0,0.3,9350.521301269531,-0.012087583541870117,0.0003,0.0021970188,2286.009521484375,-0.0020986960735172033
8,6656,200.0,26,798,461.8181818181818,-2.3447641372680663,250,0.0,0.3,8280.5029296875,0.04228478670120239,0.0003,0.0016222124,4390.92822265625,-0.003617207589559257
8,6912,200.0,27,799,460.88235294117646,-2.2614504218101503,260,0.0,0.3,17978.817724609376,0.02965068817138672,0.0003,0.009952751,4889.0927734375,-0.008657239424064756
8,7168,200.0,28,798,458.0,-2.1609715819358826,270,0.0,0.3,8651.745867919923,0.019068658351898193,0.0003,0.0038328238,2395.40625,-0.004855945729650557
