time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,train/loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/approx_kl,train/clip_range
0,926,-143.0,256,200.0,1,,,,,,,,,,
0,934,-373.0,512,200.0,2,222.88523864746094,-2.5646511793136595,0.0003,876.8956359863281,7.420778274536133e-05,-0.007186517299851402,0.0,10,0.0009792408,0.3
0,904,-349.6666666666667,768,200.0,3,190.22988891601562,-2.5629563212394713,0.0003,373.25539779663086,0.016313493251800537,-0.00569047536700964,0.0,20,0.0013347256,0.3
1,900,-480.8,1024,200.0,4,49.08049011230469,-2.5591581225395204,0.0003,150.20321235656738,-0.032991647720336914,-0.003449076018296182,0.0,30,0.0008960143,0.3
1,896,-394.8333333333333,1280,200.0,5,97.01589965820312,-2.5568958282470704,0.0003,215.6750686645508,-0.0012756586074829102,-0.004759155446663499,0.0,40,0.0011832037,0.3
1,891,-419.85714285714283,1536,200.0,6,663.4301147460938,-2.551179790496826,0.0003,1125.4607299804688,0.01502227783203125,-0.0060774955665692685,0.0,50,0.0017513093,0.3
2,894,-456.375,1792,200.0,7,81.78219604492188,-2.5477084159851073,0.0003,173.23700332641602,-0.0019555091857910156,-0.003943900670856237,0.0,60,0.0010854662,0.3
2,897,-485.9,2048,200.0,8,64.10275268554688,-2.54029039144516,0.0003,105.09933376312256,0.0006647706031799316,-0.0029647613177075983,0.0,70,0.0013248795,0.3
2,897,-492.72727272727275,2304,200.0,9,55.8836784362793,-2.537698483467102,0.0003,69.67177934646607,0.004391133785247803,-0.0033980140462517737,0.0,80,0.001604785,0.3
2,890,-474.75,2560,200.0,10,27.24604034423828,-2.5279313802719114,0.0003,66.95437870025634,0.0032982230186462402,-0.021905868174508215,0.008203125,90,0.014199145,0.3
3,888,-479.2142857142857,2816,200.0,11,247.14662170410156,-2.487751865386963,0.0003,417.91546325683595,-0.02120840549468994,-0.01484165301080793,0.02890625,100,0.025884856,0.3
3,889,-487.06666666666666,3072,200.0,12,7.42647123336792,-2.387494146823883,0.0003,31.484641790390015,0.001929938793182373,-0.026316634146496654,0.09609375,110,0.041098766,0.3
3,888,-481.3125,3328,200.0,13,42.2758903503418,-2.293561005592346,0.0003,84.19307136535645,3.719329833984375e-05,-0.016859952034428714,0.034765625,120,0.017872237,0.3
4,888,-477.3529411764706,3584,200.0,14,8.572687149047852,-2.1616873741149902,0.0003,13.544619846343995,-0.0021191835403442383,-0.03583189835771918,0.2625,130,0.04998284,0.3
4,889,-451.42105263157896,3840,200.0,15,2.501547336578369,-2.1458587408065797,0.0003,8.02757968902588,-0.0002524852752685547,-0.024007335770875216,0.272265625,140,0.058753904,0.3
4,889,-440.35,4096,200.0,16,421.1299133300781,-2.1388890027999876,0.0003,821.559048461914,0.0008207559585571289,-0.005758604127913713,0.0,150,0.006785932,0.3
4,890,-439.2857142857143,4352,200.0,17,291.765625,-2.167876636981964,0.0003,401.9860927581787,5.4717063903808594e-05,-0.004770390619523823,0.00390625,160,0.005703886,0.3
5,893,-442.7391304347826,4608,200.0,18,24.39885711669922,-2.223816728591919,0.0003,63.81252822875977,0.0005197525024414062,-0.009960675425827504,0.00390625,170,0.0045559285,0.3
5,893,-441.7083333333333,4864,200.0,19,1.8391711711883545,-2.1734201073646546,0.0003,3.822541129589081,-0.0034929513931274414,-0.00600747533608228,0.0,180,0.006581653,0.3
5,893,-411.92,5120,200.0,20,348.8840637207031,-2.200001072883606,0.0003,914.8113571166992,-0.0006394386291503906,-0.008019017940387129,0.0015625,190,0.005093774,0.3
5,896,-405.88461538461536,5376,200.0,21,383.7344665527344,-2.210717797279358,0.0003,811.4323059082031,0.004623591899871826,-0.0012428312096744777,0.0,200,0.00045485725,0.3
6,896,-398.0,5632,200.0,22,107.95271301269531,-2.207853984832764,0.0003,348.0165964126587,-0.00813436508178711,-0.007280213362537325,0.001171875,210,0.0016003819,0.3
6,898,-393.2068965517241,5888,200.0,23,59.77998733520508,-2.2033135652542115,0.0003,312.2665382385254,0.06354689598083496,-0.0028816596488468347,0.0,220,0.0009282727,0.3
6,900,-393.06666666666666,6144,200.0,24,271.04974365234375,-2.223463439941406,0.0003,322.97544288635254,0.16568481922149658,-0.003898983704857528,0.000390625,230,0.001834112,0.3
7,901,-380.40625,6400,200.0,25,101.27997589111328,-2.25662477016449,0.0003,302.13342437744143,0.23977506160736084,-0.0012036537053063511,0.0,240,0.00030736905,0.3
7,902,-375.93939393939394,6656,200.0,26,101.3318862915039,-2.2179636478424074,0.0003,381.9174310684204,-0.07133853435516357,-0.003035185975022614,0.0,250,0.0006903014,0.3
7,903,-376.3529411764706,6912,200.0,27,100.42926025390625,-2.200484013557434,0.0003,339.416438293457,0.13433963060379028,-0.002298933739075437,0.0,260,0.00072359457,0.3
7,904,-372.8,7168,200.0,28,286.0574951171875,-2.1566105127334594,0.0003,376.1076240539551,0.02128744125366211,-0.0009045367245562374,0.0,270,0.00042309007,0.3
8,905,-371.8918918918919,7424,200.0,29,228.62353515625,-2.1431052327156066,0.0003,295.85731449127195,0.17255622148513794,-0.0025229064049199224,0.0,280,0.00043073716,0.3
8,906,-368.4736842105263,7680,200.0,30,46.68512725830078,-2.1681785345077516,0.0003,186.24014320373536,-0.8323507308959961,6.102964980527759e-05,0.0,290,0.00048432732,0.3
8,907,-358.2564102564103,7936,200.0,31,494.9397888183594,-2.1494219303131104,0.0003,1140.8669158935547,0.0020888447761535645,-0.0014303920790553093,0.0,300,0.00023432192,0.3
9,908,-355.25,8192,200.0,32,210.1344757080078,-2.2218538880348206,0.0003,398.03624496459963,0.00290834903717041,-0.0030129593797028065,0.0,310,0.004228915,0.3
