time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/value_loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/n_updates,train/clip_range,train/approx_kl,train/learning_rate
0,200.0,1,-740.0,1093,256,,,,,,,,,,
0,200.0,2,-765.0,1080,512,145.98575267791747,0.0,-2.5641449093818665,-0.01231258874759078,-0.006481051445007324,41.255531311035156,10,0.3,0.0025859564,0.0003
0,200.0,3,-773.3333333333334,1089,768,193.72749938964844,0.0,-2.558157765865326,-0.009105549054220318,0.0014991164207458496,84.24642181396484,20,0.3,0.0034272668,0.0003
0,200.0,4,-652.0,1064,1024,97.40012149810791,0.0,-2.5576647758483886,-0.009981417167000472,-0.002161860466003418,50.02165603637695,30,0.3,0.004492239,0.0003
1,200.0,5,-670.0,1054,1280,319.7900810241699,0.0,-2.559563457965851,-0.00517664491198957,0.002016782760620117,221.12060546875,40,0.3,0.0012348276,0.0003
1,200.0,6,-650.0,1049,1536,137.85265159606934,0.0,-2.5567175269126894,-0.0013471278129145504,0.0003815889358520508,66.88424682617188,50,0.3,0.000285001,0.0003
1,200.0,7,-642.5,1042,1792,368.0491065979004,0.0,-2.558756709098816,-0.004478125879541039,0.010818839073181152,292.97955322265625,60,0.3,0.00064684055,0.0003
1,200.0,8,-612.0,1033,2048,316.5162700653076,0.0,-2.5613192439079286,-0.005205046711489558,0.014549016952514648,107.96874237060547,70,0.3,0.0023368855,0.0003
2,200.0,9,-575.4545454545455,1044,2304,358.0091411590576,0.0,-2.55953449010849,-0.0028028016444295646,0.013249218463897705,256.3655700683594,80,0.3,0.0006684407,0.0003
2,200.0,10,-557.5,1040,2560,721.2980895996094,0.0,-2.5545043468475344,-0.0015749736223369837,0.030467331409454346,373.9441833496094,90,0.3,0.00016628741,0.0003
2,200.0,11,-576.4285714285714,1044,2816,169.42839889526368,0.0,-2.557779908180237,-0.006227159081026912,-0.07907748222351074,72.91290283203125,100,0.3,0.001324841,0.0003
2,200.0,12,-572.6666666666666,1041,3072,73.1909833908081,0.0421875,-2.5492743968963625,-0.019382295291870834,-0.02380204200744629,42.346309661865234,110,0.3,0.022309136,0.0003
3,200.0,13,-561.25,1048,3328,377.7327968597412,0.0,-2.524102509021759,-0.004341148771345615,0.008767187595367432,126.89854431152344,120,0.3,0.0058195796,0.0003
3,200.0,14,-554.7058823529412,1046,3584,551.0227973937988,0.00078125,-2.5363497614860533,-0.009324756544083357,0.04249483346939087,315.38580322265625,130,0.3,0.0013430133,0.0003
3,200.0,15,-549.4736842105264,1048,3840,94.9119176864624,0.0,-2.5336631298065186,-0.002100054966285825,-0.153877854347229,40.971988677978516,140,0.3,0.0003447677,0.0003
3,200.0,16,-534.0,1050,4096,308.1892887115479,0.000390625,-2.542715644836426,-0.0040308860130608085,-0.03977680206298828,48.6710090637207,150,0.3,0.0020098116,0.0003
4,200.0,17,-541.9047619047619,1051,4352,303.4748836517334,0.0,-2.5388043761253356,-0.002456863154657185,0.042373478412628174,106.47541046142578,160,0.3,0.0011229289,0.0003
4,200.0,18,-553.9130434782609,1053,4608,131.1809875488281,0.0,-2.5441816568374636,-0.002751442976295948,-0.01813650131225586,68.3979263305664,170,0.3,0.0015897953,0.0003
4,200.0,19,-535.0,1053,4864,80.72264652252197,0.05,-2.5148133397102357,-0.020681424043141307,-0.0016601085662841797,41.56462860107422,180,0.3,0.026873842,0.0003
4,200.0,20,-545.2,1054,5120,559.530084991455,0.0,-2.4787272572517396,-0.00021285852417349816,0.01638251543045044,347.88360595703125,190,0.3,0.0045876848,0.0003
5,200.0,21,-547.6923076923077,1056,5376,93.69384765625,0.0359375,-2.4603078961372375,-0.019385247537866235,-0.0004177093505859375,62.63882064819336,200,0.3,0.023659427,0.0003
5,200.0,22,-539.2857142857143,1056,5632,159.1847267150879,0.0,-2.4941676378250124,-0.0058786160545423625,-0.1440955400466919,61.1302490234375,210,0.3,0.0038758824,0.0003
5,200.0,23,-546.2068965517242,1055,5888,510.0494018554688,0.0,-2.490032398700714,-0.004043295397423208,0.04330122470855713,190.25439453125,220,0.3,0.00070387125,0.0003
