time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/value_loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/n_updates,train/clip_range,train/approx_kl,train/learning_rate
0,200.0,1,-640.0,1060,256,,,,,,,,,,
0,200.0,2,-715.0,1013,512,198.19765396118163,0.0,-2.5641910910606383,-0.010303582274354994,-0.005466580390930176,79.40113830566406,10,0.3,0.0024619247,0.0003
0,200.0,3,-723.3333333333334,1010,768,248.3378433227539,0.0,-2.558950686454773,-0.0067200306570157405,0.0008936524391174316,85.71609497070312,20,0.3,0.002589664,0.0003
1,200.0,4,-540.0,1000,1024,392.6374565124512,0.0,-2.5528942108154298,-0.006021937704645097,-0.0011786222457885742,145.52439880371094,30,0.3,0.004177223,0.0003
1,200.0,5,-491.6666666666667,999,1280,352.6304843902588,0.0,-2.54255006313324,-0.004122177686076612,0.0007922649383544922,282.2635803222656,40,0.3,0.0020514855,0.0003
1,200.0,6,-500.0,1016,1536,360.95746955871584,0.0,-2.5318852782249452,-0.006723943562246859,0.027934253215789795,136.08706665039062,50,0.3,0.0028593086,0.0003
1,200.0,7,-498.75,1028,1792,218.10462760925293,0.0,-2.5013835310935972,-0.010871998616494238,-0.026628851890563965,149.57989501953125,60,0.3,0.010407662,0.0003
1,200.0,8,-478.0,1028,2048,328.65633926391604,0.00078125,-2.4496979832649233,-0.009976692288182676,0.010845661163330078,264.2852478027344,70,0.3,0.010511445,0.0003
2,200.0,9,-457.27272727272725,1027,2304,111.74943809509277,0.055078125,-2.389836239814758,-0.021161307103466243,-0.005730032920837402,40.57006072998047,80,0.3,0.03850103,0.0003
2,200.0,10,-461.6666666666667,1032,2560,363.86846923828125,0.019140625,-2.3234457969665527,-0.010394024674315005,0.019156992435455322,229.2881622314453,90,0.3,0.010106403,0.0003
2,200.0,11,-437.14285714285717,1036,2816,583.374592590332,0.0,-2.3252633810043335,-0.001803911617025733,-0.04632675647735596,315.63226318359375,100,0.3,0.002137351,0.0003
2,200.0,12,-440.6666666666667,1036,3072,180.3839424133301,0.0,-2.2852208852767943,-0.00413289749994874,-0.008638978004455566,108.2104721069336,110,0.3,0.0032973,0.0003
3,200.0,13,-448.75,1041,3328,430.6689163208008,0.008203125,-2.2275566935539244,-0.017300097492989153,0.014298021793365479,288.73370361328125,120,0.3,0.018025532,0.0003
3,200.0,14,-448.8235294117647,1043,3584,160.40477485656737,0.0,-2.144426000118256,-0.0016948086209595203,-0.025317788124084473,81.01179504394531,130,0.3,0.0038705745,0.0003
