time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl
682,-98.0,4096,2,200.0,6,0.0003,938.5872192382812,0.34419578313827515,-2.3034723050892354,-0.01257022625359241,1783.4702217102051,0.077880859375,160,0.2,0.012012195
633,-83.66666666666667,6144,3,200.0,9,0.0003,460.422119140625,0.4911046624183655,-2.290271995216608,-0.010756629571551457,1395.4930717468262,0.06630859375,170,0.2,0.012717644
613,-114.75,8192,4,200.0,13,0.0003,609.4406127929688,0.48088181018829346,-2.26642002761364,-0.008622933659353293,1364.648573589325,0.045751953125,180,0.2,0.011753807
601,-130.19607843137254,10240,5,200.0,17,0.0003,489.27972412109375,0.5490058660507202,-2.292215199768543,-0.007645659244735726,1049.4446224212647,0.043408203125,190,0.2,0.009824198
865,-40.0,2048,1,200.0,2,0.0003,573.95947265625,0.47237712144851685,-2.32872292175889,-0.009365148737560957,1399.973949432373,0.05595703125,200,0.2,0.008869442
671,-140.5,4096,2,200.0,6,0.0003,1085.30029296875,0.42129552364349365,-2.294308691471815,-0.009455209810403176,1528.3844264984132,0.06015625,160,0.2,0.00969388
618,-80.33333333333333,6144,3,200.0,9,0.0003,513.0772094726562,0.48291224241256714,-2.3163782104849817,-0.007011068351130234,1339.2302045822144,0.03583984375,170,0.2,0.0068420917
597,-74.25,8192,4,200.0,13,0.0003,1103.4478759765625,0.2992491126060486,-2.3005695417523384,-0.008789133478421718,2183.0931663513184,0.03232421875,180,0.2,0.008932796
580,-78.62745098039215,10240,5,200.0,17,0.0003,693.0606689453125,0.506760835647583,-2.3005054607987403,-0.008509731602680403,1898.9055892944336,0.03603515625,190,0.2,0.00923306
822,25.0,2048,1,200.0,2,0.0003,1257.6611328125,0.3037099838256836,-2.2994389832019806,-0.009914961394679267,2008.1979480743407,0.052490234375,200,0.2,0.010505429
645,-39.0,4096,2,200.0,6,0.0003,1335.024658203125,0.41725432872772217,-2.3273926220834253,-0.005330916328239255,2562.817180252075,0.024755859375,210,0.2,0.008333564
580,-22.333333333333332,6144,3,200.0,10,0.0003,828.6731567382812,0.2446349859237671,-2.3363594233989717,-0.0066091116372263056,2330.808282089233,0.021923828125,220,0.2,0.007249409
561,-55.0,8192,4,200.0,14,0.0003,917.9803466796875,0.35720205307006836,-2.3210869915783405,-0.00876740075473208,2523.728108215332,0.03994140625,230,0.2,0.009987983
557,-37.05882352941177,10240,5,200.0,18,0.0003,412.8624572753906,0.23358023166656494,-2.3277204640209677,-0.008066240743210074,1805.4358907699584,0.03564453125,240,0.2,0.007913521
861,-49.0,2048,1,200.0,2,0.0003,1053.24365234375,0.3102371096611023,-2.2845761626958847,-0.008539962908253073,1931.6492618560792,0.04267578125,250,0.2,0.009897489
