time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_range,train/explained_variance,train/value_loss
5,1003,1,200.0,-263.3333333333333,1280,-2.084741485118866,0.019023873,0.0421875,0.0003,440,-0.014060126733966172,130.77146911621094,0.3,-0.00858449935913086,302.90727310180665
6,1009,1,200.0,-270.0,1536,-2.094288635253906,0.04078253,0.125,0.0003,450,-0.018238786840811372,122.66476440429688,0.3,-0.0005242824554443359,195.76658515930177
7,1009,1,200.0,-282.5,1792,-1.9847092032432556,0.008573264,0.005078125,0.0003,460,-0.007052148948423565,138.8894500732422,0.3,2.753734588623047e-05,242.31687622070314
8,1004,2,200.0,-237.0,2048,-1.9257912516593934,0.015939958,0.044140625,0.0003,470,-0.013370945653878152,166.9549560546875,0.3,-6.389617919921875e-05,209.5533432006836
9,1008,2,200.0,-247.27272727272728,2304,-1.9076673328876494,0.00202128,0.0,0.0003,480,-0.0026562192477285864,626.43701171875,0.3,-0.0007508993148803711,1450.0636596679688
10,1005,2,200.0,-232.5,2560,-1.9123684465885162,0.030641844,0.021484375,0.0003,490,-0.021127788024023174,56.54475402832031,0.3,-3.3736228942871094e-05,148.6269058227539
11,1004,2,200.0,-242.14285714285714,2816,-1.9097586512565612,0.0059055933,0.0,0.0003,500,-0.007659907633205875,254.98300170898438,0.3,-0.0005887746810913086,745.4652877807617
12,999,3,200.0,-245.33333333333334,3072,-1.949769914150238,0.012768833,0.00546875,0.0003,510,-0.007021100516431034,74.76658630371094,0.3,0.00010830163955688477,183.22345314025878
13,994,3,200.0,-249.375,3328,-1.9440364956855773,0.010324016,0.011328125,0.0003,520,-0.003973718802444637,127.89613342285156,0.3,-2.586841583251953e-05,257.24816818237304
14,993,3,200.0,-252.35294117647058,3584,-2.0376826763153075,0.0052624233,0.0,0.0003,530,-0.0005644899560138583,45.67533493041992,0.3,7.510185241699219e-06,164.80334434509277
15,994,3,200.0,-252.10526315789474,3840,-1.8526121258735657,0.034307465,0.159375,0.0003,540,-0.01158233885653317,74.40669250488281,0.3,-1.811981201171875e-05,149.5069543838501
16,997,4,200.0,-256.5,4096,-1.8798153519630432,0.023856506,0.037890625,0.0003,550,-0.004398680478334427,109.3631820678711,0.3,-0.0007883310317993164,186.4520179748535
17,1000,4,200.0,-260.0,4352,-1.9009686350822448,0.0053166123,0.001953125,0.0003,560,-0.005012534622801467,91.67686462402344,0.3,-0.00018680095672607422,192.95623435974122
18,1003,4,200.0,-240.0,4608,-2.0622874796390533,0.106143534,0.183984375,0.0003,570,-0.02007129052653909,58.77231979370117,0.3,-0.00013589859008789062,161.45609817504882
19,1002,4,200.0,-242.08333333333334,4864,-2.0374390125274657,0.0026277264,0.0,0.0003,580,-0.0008133693365380168,442.2002868652344,0.3,1.704692840576172e-05,908.5255401611328
20,996,5,200.0,-234.8,5120,-2.002026778459549,0.011168191,0.012890625,0.0003,590,-0.0071833360008895395,168.9774932861328,0.3,-2.014636993408203e-05,324.4710357666016
21,994,5,200.0,-236.92307692307693,5376,-1.9031151115894318,0.010247353,0.0,0.0003,600,-0.00038052215240895747,246.337158203125,0.3,-2.0623207092285156e-05,671.0835723876953
22,994,5,200.0,-241.42857142857142,5632,-1.793004035949707,0.00031172857,0.0,0.0003,610,-0.0015039848629385232,139.603515625,0.3,-7.510185241699219e-06,229.17394561767577
23,992,5,200.0,-239.31034482758622,5888,-1.9481330573558808,0.0050849197,0.00234375,0.0003,620,-0.0046271993545815345,116.97266387939453,0.3,-4.172325134277344e-06,288.07666778564453
24,990,6,200.0,-241.0,6144,-1.9116427838802337,0.0021789668,0.00546875,0.0003,630,-0.0031451482092961667,491.7491455078125,0.3,-1.3113021850585938e-06,823.7201614379883
25,992,6,200.0,-236.875,6400,-1.8239480316638947,0.039398227,0.042578125,0.0003,640,-0.015850670589134096,78.0346450805664,0.3,-1.71661376953125e-05,144.61708908081056
26,991,6,200.0,-238.4848484848485,6656,-1.5325669646263123,0.017929884,0.029296875,0.0003,650,-0.011562046688050031,401.3612976074219,0.3,-1.430511474609375e-05,836.001187133789
27,991,6,200.0,-241.1764705882353,6912,-1.4499071717262269,0.00064051733,0.0,0.0003,660,-0.00048166094347834587,75.12712097167969,0.3,-3.921985626220703e-05,142.1407012939453
28,992,7,200.0,-244.0,7168,-1.5037596821784973,0.0037015732,0.0,0.0003,670,-0.00472036967985332,129.7956085205078,0.3,3.5762786865234375e-06,288.9571617126465
29,994,7,200.0,-245.67567567567568,7424,-1.65431769490242,0.027655616,0.0515625,0.0003,680,-0.027491307631134988,83.14270782470703,0.3,1.2695789337158203e-05,140.21281623840332
30,994,7,200.0,-248.1578947368421,7680,-1.8967612385749817,0.037739374,0.2734375,0.0003,690,-0.028288664994761348,66.02801513671875,0.3,1.1324882507324219e-05,153.68078155517577
31,994,7,200.0,-249.23076923076923,7936,-1.8986772835254668,0.01036392,0.01015625,0.0003,700,-0.005910798325203359,111.83592987060547,0.3,4.827976226806641e-06,281.17458724975586
32,993,8,200.0,-251.25,8192,-1.9229950487613678,0.0015013539,0.0,0.0003,710,-0.0017431846586987375,49.042274475097656,0.3,7.68899917602539e-06,190.59442825317382
33,990,8,200.0,-252.61904761904762,8448,-1.9888417184352876,0.019112287,0.02109375,0.0003,720,-0.018676043674349784,89.67167663574219,0.3,-7.62939453125e-06,132.05846633911133
34,990,8,200.0,-253.48837209302326,8704,-1.789121800661087,0.006991964,0.0,0.0003,730,0.007743784924969077,175.24349975585938,0.3,-2.5987625122070312e-05,286.26852264404295
35,986,9,200.0,-247.95454545454547,8960,-1.7613789200782777,0.0002732037,0.0,0.0003,740,-0.0015563273103907705,525.2899780273438,0.3,4.494190216064453e-05,763.6377395629883
36,988,9,200.0,-243.91304347826087,9216,-1.8628983736038207,0.024024593,0.04765625,0.0003,750,-0.008882998628541828,93.80913543701172,0.3,2.3245811462402344e-06,136.62030639648438
37,990,9,200.0,-247.0212765957447,9472,-1.9847755491733552,0.004756558,0.0,0.0003,760,-0.001023295894265175,577.2245483398438,0.3,6.818771362304688e-05,719.3081848144532
38,988,9,200.0,-248.125,9728,-2.0355860352516175,0.035072144,0.063671875,0.0003,770,-0.024471244984306396,126.83882141113281,0.3,-1.4662742614746094e-05,285.99378128051757
39,989,10,200.0,-245.91836734693877,9984,-2.098193383216858,0.008293289,0.0015625,0.0003,780,-0.011270782025530935,159.66159057617188,0.3,0.00034695863723754883,269.2176795959473
40,991,10,200.0,-249.2156862745098,10240,-2.056502044200897,0.010823277,0.01171875,0.0003,790,-0.015250943088904022,424.4326477050781,0.3,-0.0004392862319946289,806.4655975341797
1,1342,0,200.0,-300.0,256,-2.1314122915267943,0.008008935,0.008203125,0.0003,800,0.0025761557510122655,171.2703399658203,0.3,0.00020831823348999023,335.95633163452146
2,1191,0,200.0,-305.0,512,-1.9772436678409577,0.0008183825,0.0,0.0003,410,-0.001878287340514362,116.46516418457031,0.3,0.17276960611343384,227.24014739990236
3,1152,0,200.0,-280.0,768,-1.9912367165088654,0.015030992,0.02421875,0.0003,420,-0.013684202311560511,144.3037109375,0.3,-0.024477720260620117,196.7403537750244
4,1128,0,200.0,-264.0,1024,-1.9275430023670197,0.0038616264,0.0,0.0003,430,-0.0028221519431099297,24.54292106628418,0.3,0.056360721588134766,126.17952842712403
5,1120,1,200.0,-276.6666666666667,1280,-1.8648986041545867,0.0006622728,0.0,0.0003,440,-0.002387003437615931,66.2265625,0.3,0.21612191200256348,153.08707695007325
6,1091,1,200.0,-277.14285714285717,1536,-1.8710091888904572,0.0011396746,0.0,0.0003,450,-0.002741185110062361,114.73175811767578,0.3,0.16474246978759766,191.03911323547362
7,1062,1,200.0,-280.0,1792,-1.857300305366516,0.000508134,0.0,0.0003,460,-0.0013764712901320308,37.46975326538086,0.3,0.23094582557678223,119.37896575927735
8,1058,1,200.0,-297.0,2048,-1.873839807510376,0.0010564502,0.0,0.0003,470,-0.0020597590890247377,72.28558349609375,0.3,0.2858065366744995,134.3002456665039
9,1048,2,200.0,-290.90909090909093,2304,-1.8855981588363648,0.0041733356,0.0,0.0003,480,-0.0042575587751343845,211.98135375976562,0.3,-0.057517170906066895,395.4996643066406
10,1051,2,200.0,-290.8333333333333,2560,-1.9691075384616852,0.005262592,0.0,0.0003,490,-0.0015457389876246453,11.091821670532227,0.3,0.10212033987045288,74.4810194015503
11,1056,2,200.0,-297.85714285714283,2816,-1.9988419473171235,0.006026187,0.0,0.0003,500,-0.003905038605444133,116.60060119628906,0.3,0.005511581897735596,268.3671173095703
12,1060,2,200.0,-265.3333333333333,3072,-1.9578277885913848,0.0033904812,0.0,0.0003,510,-0.00407649208791554,90.4970932006836,0.3,0.10455626249313354,244.66959762573242
13,1062,3,200.0,-249.375,3328,-1.9339780986309052,9.085052e-05,0.0,0.0003,520,-6.929384544491768e-05,901.587890625,0.3,-0.017175793647766113,1897.386669921875
14,1066,3,200.0,-238.23529411764707,3584,-1.90151703953743,0.0037986154,0.0,0.0003,530,-0.005723481019958854,40.09768295288086,0.3,0.33487939834594727,103.99819908142089
15,1070,3,200.0,-237.89473684210526,3840,-1.9033104479312897,0.0021588604,0.0,0.0003,540,-0.0025101279374212027,200.0416717529297,0.3,0.05751323699951172,633.7765411376953
16,1066,3,200.0,-238.0,4096,-1.8783116042613983,0.00037429924,0.0,0.0003,550,-0.0009579957812093198,77.53425598144531,0.3,0.32855939865112305,189.95858612060547
17,1068,4,200.0,-237.61904761904762,4352,-1.895379227399826,0.010193076,0.00703125,0.0003,560,-0.00913371928036213,60.431217193603516,0.3,0.3828151226043701,101.20491619110108
18,1070,4,200.0,-242.6086956521739,4608,-2.0082567930221558,0.0044429405,0.0,0.0003,570,0.0010043895104900002,113.61331176757812,0.3,0.1440158486366272,196.57406997680664
19,1069,4,200.0,-247.08333333333334,4864,-1.9939282476902007,0.00042899442,0.0,0.0003,580,-0.0010811802465468645,76.4407958984375,0.3,0.47097283601760864,128.9581470489502
20,1071,4,200.0,-246.4,5120,-1.9371401786804199,0.0016020786,0.0,0.0003,590,-0.004190303047653288,67.14993286132812,0.3,0.3954121470451355,105.44999694824219
21,1071,5,200.0,-248.84615384615384,5376,-1.9780886471271515,0.00079553085,0.0,0.0003,600,-0.0019903101841919125,29.381277084350586,0.3,-0.10410833358764648,180.47549705505372
22,1068,5,200.0,-243.92857142857142,5632,-1.9857815563678742,0.0012999878,0.0,0.0003,610,-0.0034945564344525336,484.2924499511719,0.3,0.047207772731781006,682.3853759765625
23,1066,5,200.0,-237.24137931034483,5888,-1.9435459911823272,0.0020414805,0.0,0.0003,620,-0.0037267628824338315,125.59928131103516,0.3,-0.10698866844177246,210.4524040222168
24,1064,5,200.0,-236.33333333333334,6144,-1.9016805231571197,0.0026862738,0.0,0.0003,630,0.001092700380831957,363.50018310546875,0.3,0.0023920536041259766,877.6410903930664
25,1060,6,200.0,-240.0,6400,-1.9250339150428772,0.018632926,0.01953125,0.0003,640,-0.019623251061420887,66.92247009277344,0.3,0.002196967601776123,191.998441696167
26,1058,6,200.0,-240.3030303030303,6656,-1.8978241682052612,0.0059650606,0.0,0.0003,650,-0.006902137910947204,46.707271575927734,0.3,0.229101300239563,115.07035255432129
27,1058,6,200.0,-239.41176470588235,6912,-1.874519169330597,0.0016235504,0.0,0.0003,660,-0.0027615473605692386,145.96067810058594,0.3,0.10450392961502075,263.6329200744629
28,1044,6,200.0,-240.57142857142858,7168,-1.8950460493564605,0.003673943,0.005078125,0.0003,670,-0.005854741344228387,23.83160400390625,0.3,0.48045623302459717,60.656828022003175
29,1041,7,200.0,-244.59459459459458,7424,-1.9003541946411133,0.0010463914,0.0,0.0003,680,-0.00038467790000140667,49.094181060791016,0.3,0.30064886808395386,116.0999599456787
30,1037,7,200.0,-244.21052631578948,7680,-1.9167032778263091,0.00023137988,0.0,0.0003,690,-0.0005752364872023463,146.95574951171875,0.3,0.36624616384506226,249.31958618164063
31,1035,7,200.0,-244.10256410256412,7936,-1.9297946870326996,0.005417305,0.0,0.0003,700,-0.009187459107488393,27.944013595581055,0.3,-0.012301206588745117,204.51981105804444
32,1036,7,200.0,-243.25,8192,-1.9229608058929444,0.0060888063,0.0,0.0003,710,-0.0035332127707079055,9.257238388061523,0.3,0.40020519495010376,61.41664590835571
33,1032,8,200.0,-242.85714285714286,8448,-1.960564947128296,0.0021391108,0.001953125,0.0003,720,-0.0029231562744826078,53.19416809082031,0.3,0.40642911195755005,106.92666931152344
34,1028,8,200.0,-242.09302325581396,8704,-1.904759508371353,0.014102982,0.003125,0.0003,730,-0.011999590182676911,79.99295043945312,0.3,0.40931081771850586,134.9288585662842
