time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/loss,train/n_updates
256,1,1020,0,710.0,200.0,,,,,,,,,,
512,2,1024,0,545.0,200.0,0.000382022,-2.564800429344177,0.0003,0.0,0.3,-0.004449337208643556,20505.0232421875,-0.0004444122314453125,6977.587890625,10
768,3,1022,0,493.3333333333333,200.0,9.11362e-05,-2.5641247749328615,0.0003,0.0,0.3,-0.0004214427433907986,39157.82939453125,0.00035560131072998047,25776.4375,20
1024,4,1029,0,344.0,200.0,0.00023446116,-2.564066469669342,0.0003,0.0,0.3,-0.0022925090277567508,19960.987451171874,0.002416253089904785,12798.8466796875,30
1280,5,1041,1,203.33333333333334,200.0,0.00049490854,-2.5641812324523925,0.0003,0.0,0.3,-0.004200848215259611,1196.6400970458985,-0.028440237045288086,584.2280883789062,40
1536,6,1041,1,267.14285714285717,200.0,0.00023415871,-2.564100420475006,0.0003,0.0,0.3,-0.001671459712088108,1837.4964721679687,0.005840420722961426,894.9180908203125,50
1792,7,1039,1,275.0,200.0,0.00051959045,-2.563237750530243,0.0003,0.0,0.3,-0.00455223104218021,22440.30087890625,-0.00446164608001709,15500.466796875,60
2048,8,1033,1,296.0,200.0,0.0002509195,-2.561878871917725,0.0003,0.0,0.3,-0.0011139773763716222,39561.54130859375,0.00416189432144165,19184.74609375,70
2304,9,1031,2,337.27272727272725,200.0,9.707431e-05,-2.560373055934906,0.0003,0.0,0.3,-0.000993609125725925,20289.186962890624,0.009865224361419678,9646.1279296875,80
2560,10,1033,2,346.6666666666667,200.0,4.633842e-05,-2.5600507140159605,0.0003,0.0,0.3,-0.0010009605204686523,38976.32841796875,-0.0008361339569091797,16377.6142578125,90
2816,11,1025,2,357.14285714285717,200.0,0.0005628562,-2.5610979199409485,0.0003,0.0,0.3,-0.0034515501698479055,20828.29599609375,0.0023006796836853027,7181.00537109375,100
3072,12,1028,2,376.0,200.0,0.00055344007,-2.5619423031806945,0.0003,0.0,0.3,-0.0031206967774778604,20299.6033203125,0.00047385692596435547,6885.130859375,110
3328,13,1032,3,381.875,200.0,0.00017848611,-2.5612202167510985,0.0003,0.0,0.3,-0.0018329136772081255,38854.82275390625,0.005578160285949707,21351.44140625,120
3584,14,1037,3,332.3529411764706,200.0,0.00023982045,-2.558800232410431,0.0003,0.0,0.3,-0.0023305364185944198,962.2895629882812,-0.03061521053314209,393.78619384765625,130
3840,15,1038,3,334.7368421052632,200.0,0.00022311369,-2.558704876899719,0.0003,0.0,0.3,-0.0014922037487849593,20074.684838867186,-0.021360039710998535,14123.9658203125,140
4096,16,1039,3,340.5,200.0,0.00015042955,-2.558932840824127,0.0003,0.0,0.3,-0.0010169097920879721,20051.79697265625,0.002308666706085205,6354.4638671875,150
4352,17,1040,4,344.2857142857143,200.0,0.00016022148,-2.558578312397003,0.0003,0.0,0.3,-0.0014324622694402932,26085.37890625,-0.0064694881439208984,10081.146484375,160
4608,18,1042,4,336.95652173913044,200.0,0.0002425136,-2.556109607219696,0.0003,0.0,0.3,-0.001750665414147079,18775.50974121094,0.006089687347412109,4000.4189453125,170
4864,19,1042,4,337.5,200.0,0.00073143863,-2.5540043473243714,0.0003,0.0,0.3,-0.0030733862542547284,19230.507739257813,0.007043361663818359,9000.2109375,180
