time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/loss,train/explained_variance,train/value_loss,train/entropy_loss,train/clip_range,train/clip_fraction,train/n_updates,train/learning_rate
630,-740.0,0,1,256,200.0,,,,,,,,,,
598,-815.0,0,2,512,200.0,0.0016423145,-0.009983386285603047,597.5370483398438,-0.0015342235565185547,1464.8536437988282,-2.5644152998924254,0.3,0.0,10,0.0003
582,-806.6666666666666,1,3,768,200.0,0.00097179227,-0.005131421703845262,1330.8662109375,0.002043604850769043,2657.3864501953126,-2.5614107966423036,0.3,0.0,20,0.0003
558,-704.0,1,4,1024,200.0,0.00063547376,-0.0032208414748311045,727.697509765625,0.005576431751251221,1593.865496826172,-2.560011863708496,0.3,0.0,30,0.0003
552,-678.3333333333334,2,5,1280,200.0,0.0003927329,-0.0027281556278467177,591.2611083984375,0.001599431037902832,1104.2560089111328,-2.5585572123527527,0.3,0.0,40,0.0003
555,-695.7142857142857,2,6,1536,200.0,0.00057598064,-0.0037393774371594192,1282.3416748046875,0.000781714916229248,2151.5412780761717,-2.555794620513916,0.3,0.0,50,0.0003
555,-683.75,3,7,1792,200.0,0.0009706062,-0.005694111529737711,568.4560546875,0.0017288923263549805,1104.1722290039063,-2.554237258434296,0.3,0.0,60,0.0003
557,-652.0,3,8,2048,200.0,0.0011332207,-0.004749663383699953,867.4349975585938,0.0010520219802856445,1592.2069702148438,-2.547902262210846,0.3,0.0,70,0.0003
559,-620.9090909090909,4,9,2304,200.0,0.0010469013,-0.004003287013620138,833.0596313476562,0.001954197883605957,1669.6963012695312,-2.547819447517395,0.3,0.0,80,0.0003
558,-581.6666666666666,4,10,2560,200.0,0.0061228303,-0.015372988535091281,817.5493774414062,0.0012437105178833008,1399.2747314453125,-2.5493250727653503,0.3,0.0,90,0.0003
559,-556.4285714285714,5,11,2816,200.0,0.0022120813,-0.0064657271374017,927.5548706054688,0.006218016147613525,1790.2511352539063,-2.548016810417175,0.3,0.0,100,0.0003
561,-559.3333333333334,5,12,3072,200.0,0.0004312636,-0.002815364638809115,484.40966796875,0.011057853698730469,1229.1620300292968,-2.547282409667969,0.3,0.0,110,0.0003
562,-557.5,5,13,3328,200.0,0.00048500928,-0.003366867429576814,825.2705688476562,0.09085261821746826,1858.052020263672,-2.5391554951667787,0.3,0.0,120,0.0003
561,-571.7647058823529,6,14,3584,200.0,0.000403221,-0.003327594930306077,810.253173828125,0.23597639799118042,1627.6032592773438,-2.541100788116455,0.3,0.0,130,0.0003
564,-558.421052631579,6,15,3840,200.0,0.00040663243,-0.0018893731525167824,398.8387451171875,0.003822505474090576,716.9050537109375,-2.5339046716690063,0.3,0.0,140,0.0003
568,-563.0,7,16,4096,200.0,0.00044607068,-0.0028373312903568148,440.2877197265625,0.027480900287628174,934.3139892578125,-2.5331433534622194,0.3,0.0,150,0.0003
570,-567.6190476190476,7,17,4352,200.0,0.00026314054,-0.0023289516568183897,624.7245483398438,-0.07014119625091553,1483.5848022460937,-2.5316325426101685,0.3,0.0,160,0.0003
