time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/n_updates,train/entropy_loss,train/loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/clip_range,train/explained_variance
2,796,2048,1,200.0,-1480.0,,,,,,,,,,
6,633,4096,2,200.0,-1315.5,-0.004790445286926115,13349.837741088868,10,-2.4837498635053636,6066.2802734375,0.0029936328,0.0003,0.002001953125,0.2,0.0018056631088256836
10,596,6144,3,200.0,-1286.0,-0.005927503367274767,10989.86432800293,20,-2.4787240140140057,6083.28857421875,0.005804709,0.0003,0.0052734375,0.2,3.5762786865234375e-07
14,576,8192,4,200.0,-1303.0,-0.004749378451379016,11028.060345458984,30,-2.4739714965224264,4562.01513671875,0.0041879397,0.0003,0.000244140625,0.2,-4.887580871582031e-06
18,568,10240,5,200.0,-1297.2549019607843,-0.00945262223831378,10979.067819213868,40,-2.4625333063304424,5406.4990234375,0.010446289,0.0003,0.02646484375,0.2,-3.933906555175781e-06
2,888,2048,1,200.0,-1196.0,-0.004239322435751092,9993.193222045898,50,-2.4440946251153948,4720.435546875,0.005142146,0.0003,0.0021484375,0.2,-6.556510925292969e-06
6,668,4096,2,200.0,-1161.0,-0.008717658024397678,10218.891130065918,10,-2.481825900822878,4697.017578125,0.007180334,0.0003,0.01904296875,0.2,0.0012674927711486816
10,576,6144,3,200.0,-1166.6666666666667,-0.008164677087188465,9694.128199768067,20,-2.47416398152709,3628.660400390625,0.009084918,0.0003,0.02666015625,0.2,-1.0132789611816406e-05
14,562,8192,4,200.0,-1150.75,-0.012110420392127707,9729.808975219727,30,-2.4521819122135637,4031.771728515625,0.011043748,0.0003,0.0564453125,0.2,-1.4424324035644531e-05
18,547,10240,5,200.0,-1124.9019607843138,-0.007164382007613312,7913.565548706055,40,-2.426223562657833,4056.875,0.008370814,0.0003,0.0279296875,0.2,-3.337860107421875e-06
2,827,2048,1,200.0,-1077.0,-0.011523144537204644,6891.215734863281,50,-2.386785215139389,4152.724609375,0.01085569,0.0003,0.085693359375,0.2,-3.0994415283203125e-06
6,640,4096,2,200.0,-1093.0,-0.011784509877907112,7201.229302978516,60,-2.4099699899554254,3247.610107421875,0.010568514,0.0003,0.060791015625,0.2,-3.6954879760742188e-06
10,589,6144,3,200.0,-997.6666666666666,-0.009712499316810863,6799.162612915039,70,-2.3832640565931795,3242.928466796875,0.008589053,0.0003,0.049560546875,0.2,-1.6689300537109375e-06
14,559,8192,4,200.0,-948.5,-0.008897409086057451,4820.441137695312,80,-2.352479063719511,2101.566650390625,0.011301452,0.0003,0.06669921875,0.2,-1.5497207641601562e-06
18,539,10240,5,200.0,-894.5098039215686,-0.017862132350273896,4106.613487243652,90,-2.3220444239675997,1957.62646484375,0.0146500105,0.0003,0.15185546875,0.2,-4.76837158203125e-07
2,840,2048,1,200.0,-858.0,-0.008930239791516215,3897.4345672607424,100,-2.3012711688876153,1689.96337890625,0.010778574,0.0003,0.091357421875,0.2,-1.430511474609375e-06
6,646,4096,2,200.0,-862.0,-0.01149114301224472,4664.370999908448,60,-2.346501416712999,2147.886474609375,0.012259121,0.0003,0.095751953125,0.2,-1.6689300537109375e-06
10,586,6144,3,200.0,-818.0,-0.008226076767095946,4830.702724456787,70,-2.317552949488163,2091.322509765625,0.010990944,0.0003,0.059814453125,0.2,0.0
14,556,8192,4,200.0,-811.0,-0.011059774989553262,3992.441757965088,80,-2.3001000203192232,1714.5396728515625,0.013192883,0.0003,0.095556640625,0.2,-1.7881393432617188e-06
18,542,10240,5,200.0,-800.3921568627451,-0.010316569777205586,3930.490296173096,90,-2.259407813847065,2030.7161865234375,0.010504535,0.0003,0.103759765625,0.2,-7.152557373046875e-07
