time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/approx_kl,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/clip_range
22,1048,5,200.0,5632,-559.6428571428571,196.98586349487306,0.0003,0.004471116,89.48501586914062,-2.4097530245780945,-0.00613717851229012,0.00234375,-0.0041561126708984375,210,0.3
23,1047,5,200.0,5888,-570.6896551724138,489.06506271362304,0.0003,0.0014126115,290.8381042480469,-2.3839854836463927,-0.003588721086271107,0.0,0.05121809244155884,220,0.3
24,1043,5,200.0,6144,-559.0,786.8841247558594,0.0003,0.00071871886,261.2559814453125,-2.362106204032898,-0.002783272950910032,0.0,0.059060871601104736,230,0.3
25,1040,6,200.0,6400,-542.8125,136.73441963195802,0.0003,0.00034682383,31.481916427612305,-2.388145053386688,-0.0013960705138742924,0.0,-1.8811616897583008,240,0.3
26,1040,6,200.0,6656,-529.6969696969697,534.7746368408203,0.0003,0.01458185,341.551025390625,-2.417195165157318,-0.018082153890281914,0.007421875,-0.04875671863555908,250,0.3
27,1040,6,200.0,6912,-535.5882352941177,1144.5538757324218,0.0003,0.0067241723,541.8729248046875,-2.4827648758888246,-0.012432457902468741,0.000390625,0.002102792263031006,260,0.3
28,1038,6,200.0,7168,-538.8571428571429,232.3026222229004,0.0003,0.007631384,126.21607208251953,-2.3886573791503904,-0.012046109361108392,0.003515625,0.005678355693817139,270,0.3
29,1034,7,200.0,7424,-539.1891891891892,176.7751194000244,0.0003,0.0013084575,68.48976135253906,-2.4050591468811033,-0.002665515663102269,0.0,0.005291104316711426,280,0.3
30,1032,7,200.0,7680,-540.5263157894736,601.3596496582031,0.0003,0.009952952,417.7488098144531,-2.4324273824691773,-0.013567740283906459,0.00703125,0.020019054412841797,290,0.3
31,1032,7,200.0,7936,-535.8974358974359,85.7178295135498,0.0003,0.011517003,41.12052536010742,-2.4287400364875795,-0.01239990433678031,0.015234375,-0.004464983940124512,300,0.3
32,1032,7,200.0,8192,-534.25,607.2440414428711,0.0003,0.003676403,401.6222839355469,-2.4721417307853697,0.0011158927576616407,0.0,0.06992471218109131,310,0.3
33,1032,8,200.0,8448,-516.4285714285714,937.2098266601563,0.0003,0.0004944552,329.7757263183594,-2.452779197692871,-0.0025066561298444866,0.0,0.10408365726470947,320,0.3
34,1032,8,200.0,8704,-505.8139534883721,473.2501953125,0.0003,0.002785769,273.4668273925781,-2.4745141744613646,-0.00648904429981485,0.0015625,0.10460036993026733,330,0.3
35,1032,8,200.0,8960,-507.95454545454544,815.653076171875,0.0003,0.0010718936,411.3089599609375,-2.4734612584114073,-0.0010045479983091354,0.0,0.24255001544952393,340,0.3
36,1031,8,200.0,9216,-507.60869565217394,486.2912292480469,0.0003,0.00027437555,154.72047424316406,-2.475563979148865,-0.0008597970940172672,0.0,0.21999317407608032,350,0.3
37,1031,9,200.0,9472,-508.0851063829787,292.8705711364746,0.0003,0.00044931937,107.49781036376953,-2.4782369136810303,-0.000874279357958585,0.0,-0.22297263145446777,360,0.3
38,1031,9,200.0,9728,-501.6666666666667,141.77686233520507,0.0003,0.003403711,76.92697143554688,-2.475956666469574,-0.005144172534346581,0.0,-0.18745505809783936,370,0.3
