time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/loss
35,-1093.1818181818182,1062,200.0,8,8960,0.0009122406598180532,2281.7849243164064,0.0,0.3,-2.0742416381835938e-05,0.0003,0.0034405445,340,-1.7291339814662934,1170.1611328125
36,-1081.9565217391305,1061,200.0,8,9216,-0.008231021068058907,1667.289599609375,0.0,0.3,-1.430511474609375e-06,0.0003,0.006052774,350,-1.682358455657959,787.522705078125
37,-1074.2553191489362,1062,200.0,8,9472,-0.006734693190082908,1152.9423553466797,0.0,0.3,-1.9431114196777344e-05,0.0003,0.00585602,360,-1.4921880543231965,563.888916015625
38,-1067.7083333333333,1060,200.0,9,9728,-0.0049170636921189725,1950.5734924316407,0.0,0.3,-1.0848045349121094e-05,0.0003,0.0046468023,370,-1.3649776041507722,1035.271240234375
39,-1064.6938775510205,1061,200.0,9,9984,-0.002608461701311171,750.5803985595703,0.0,0.3,3.159046173095703e-06,0.0003,0.0019484034,380,-1.298462724685669,340.86395263671875
40,-1046.078431372549,1062,200.0,9,10240,-0.0029609869583509863,1387.4903686523437,0.0,0.3,-4.5299530029296875e-06,0.0003,0.0009127101,390,-1.2825351715087892,677.1549682617188
1,-1350.0,1382,200.0,0,256,-0.006153102405369282,1206.0767791748046,0.01640625,0.3,-4.0531158447265625e-06,0.0003,0.01286633,400,-1.3675372898578644,514.9888305664062
2,-1240.0,1176,200.0,0,512,-0.003428377048112452,5618.630346679687,0.0,0.3,0.0004457235336303711,0.0003,0.0002848676,10,-2.5648500323295593,2823.4873046875
3,-1270.0,1124,200.0,0,768,-0.002704628207720816,4495.88369140625,0.0,0.3,0.005084633827209473,0.0003,0.00023330096,20,-2.564522218704224,2324.028564453125
4,-1324.0,1102,200.0,0,1024,-0.003381485352292657,3214.9393676757813,0.0,0.3,-0.0009104013442993164,0.0003,0.00039290334,30,-2.5636468052864076,1674.9091796875
5,-1285.0,1084,200.0,1,1280,-0.001980673847720027,5433.341772460937,0.0,0.3,0.0003820657730102539,0.0003,0.00018108985,40,-2.5629154562950136,2564.529541015625
6,-1321.4285714285713,1078,200.0,1,1536,-0.003270524326944724,4682.420263671875,0.0,0.3,0.00031960010528564453,0.0003,0.00025291438,50,-2.561932146549225,2445.0556640625
7,-1322.5,1081,200.0,1,1792,-0.0038607937982305883,4307.690258789063,0.0,0.3,0.0007838606834411621,0.0003,0.00041203573,60,-2.5606640458106993,2263.29931640625
8,-1322.0,1086,200.0,1,2048,-0.003994984901510179,3876.31845703125,0.0,0.3,4.3272972106933594e-05,0.0003,0.00038873195,70,-2.558990240097046,1955.7430419921875
9,-1336.3636363636363,1078,200.0,2,2304,-0.005744243133813142,3471.5806884765625,0.0,0.3,0.00013709068298339844,0.0003,0.0009243628,80,-2.5544893026351927,1778.4166259765625
10,-1308.3333333333333,1074,200.0,2,2560,-0.004273849329911173,4115.642626953125,0.0,0.3,0.00027233362197875977,0.0003,0.00056992914,90,-2.551328992843628,2122.681396484375
11,-1259.2857142857142,1072,200.0,2,2816,-0.002687908452935517,1644.6372619628905,0.0,0.3,0.0002878904342651367,0.0003,0.00056691165,100,-2.544826853275299,786.056640625
12,-1261.3333333333333,1070,200.0,2,3072,-0.004977035406045616,3073.322888183594,0.0,0.3,-0.00013768672943115234,0.0003,0.0011709449,110,-2.5432475566864015,1685.1126708984375
13,-1263.125,1068,200.0,3,3328,-0.004378453223034739,3536.753454589844,0.0,0.3,0.0002186894416809082,0.0003,0.0010816429,120,-2.5306374192237855,1732.5958251953125
14,-1258.235294117647,1066,200.0,3,3584,-0.005421540688257664,3193.3458618164063,0.0,0.3,0.0002205967903137207,0.0003,0.0010580139,130,-2.5234038829803467,1492.037841796875
15,-1250.0,1069,200.0,3,3840,-0.002829829603433609,3007.5242919921875,0.0,0.3,0.00011086463928222656,0.0003,0.00059975334,140,-2.5174283266067503,1448.3353271484375
16,-1244.5,1067,200.0,3,4096,-0.005485981563106179,2614.9825927734373,0.0,0.3,-7.033348083496094e-05,0.0003,0.0009466491,150,-2.516310083866119,1384.7279052734375
17,-1229.5238095238096,1070,200.0,4,4352,-0.006395257392432541,3445.4487426757814,0.0,0.3,-1.6927719116210938e-05,0.0003,0.0013591936,160,-2.5057719707489015,1709.461669921875
18,-1212.608695652174,1069,200.0,4,4608,-0.0055888508562929925,2483.0856079101563,0.0,0.3,4.0650367736816406e-05,0.0003,0.0020190987,170,-2.500391697883606,1283.7978515625
19,-1205.0,1067,200.0,4,4864,-0.0038657843600958587,1957.4645446777345,0.0,0.3,-5.698204040527344e-05,0.0003,0.0019431985,180,-2.4849376559257506,990.30859375
20,-1210.8,1066,200.0,4,5120,-0.006669324939139187,2624.533837890625,0.0,0.3,-3.337860107421875e-05,0.0003,0.0019184903,190,-2.4695610642433166,1429.5654296875
21,-1197.6923076923076,1066,200.0,5,5376,-0.006895013409666717,3011.00888671875,0.0,0.3,-2.6345252990722656e-05,0.0003,0.003407758,200,-2.4460290551185606,1545.28955078125
22,-1195.357142857143,1067,200.0,5,5632,-0.010532757686451077,2992.4538818359374,0.0,0.3,8.147954940795898e-05,0.0003,0.0044243676,210,-2.4285613298416138,1433.70458984375
23,-1177.9310344827586,1066,200.0,5,5888,-0.014293240499682724,2023.8836791992187,0.0,0.3,-9.334087371826172e-05,0.0003,0.009225793,220,-2.360079526901245,975.5869140625
24,-1168.0,1068,200.0,5,6144,-0.006137223285622895,1130.2909790039062,0.0,0.3,2.3365020751953125e-05,0.0003,0.0033573564,230,-2.3035286903381347,541.9439086914062
25,-1149.6875,1069,200.0,5,6400,-0.007733384519815445,1171.1269226074219,0.00234375,0.3,1.3589859008789062e-05,0.0003,0.0056679025,240,-2.305666136741638,583.2178955078125
26,-1136.6666666666667,1070,200.0,6,6656,-0.004682067839894444,1706.4511840820312,0.0,0.3,-6.604194641113281e-05,0.0003,0.0028616677,250,-2.286467707157135,811.3530883789062
27,-1118.8235294117646,1070,200.0,6,6912,-0.01618829811923206,1054.055355834961,0.019921875,0.3,-2.8014183044433594e-05,0.0003,0.016343687,260,-2.2031656742095946,536.5667114257812
28,-1108.5714285714287,1071,200.0,6,7168,-0.020632137451320885,1367.0064208984375,0.073828125,0.3,-4.0411949157714844e-05,0.0003,0.028089292,270,-2.091168391704559,660.7078247070312
29,-1085.1351351351352,1070,200.0,6,7424,-0.007397297117859125,1451.3447692871093,0.0,0.3,5.245208740234375e-06,0.0003,0.009285972,280,-2.070622479915619,899.0371704101562
30,-1072.3684210526317,1067,200.0,7,7680,-0.02275739274919033,722.0737152099609,0.0484375,0.3,1.1980533599853516e-05,0.0003,0.035680786,290,-1.7832759261131286,323.32720947265625
31,-1056.6666666666667,1067,200.0,7,7936,-0.014266540901735425,342.97711181640625,0.027734375,0.3,2.568960189819336e-05,0.0003,0.026029242,300,-1.4457584857940673,174.83734130859375
32,-1046.5,1068,200.0,7,8192,-0.006545188184827566,459.8276168823242,0.000390625,0.3,-0.00010311603546142578,0.0003,0.0030500973,310,-1.3613613188266753,274.32366943359375
33,-1024.5238095238096,1068,200.0,7,8448,-0.015002198540605605,455.87392272949216,0.016015625,0.3,-5.173683166503906e-05,0.0003,0.0238096,320,-1.2310319006443025,217.11241149902344
34,-1013.4883720930233,1068,200.0,8,8704,-0.012517633032985032,540.3714492797851,0.036328125,0.3,-8.106231689453125e-06,0.0003,0.01488937,330,-0.9264191120862961,193.96791076660156
35,-1001.1363636363636,1070,200.0,8,8960,-0.012224722490645944,309.3074447631836,0.01796875,0.3,-6.508827209472656e-05,0.0003,0.011628439,340,-0.8751877456903457,161.70384216308594
36,-975.4347826086956,1072,200.0,8,9216,-0.019720731768757105,232.63679275512695,0.065625,0.3,1.233816146850586e-05,0.0003,0.02297635,350,-0.5634954944252968,118.0141830444336
37,-963.6170212765958,1074,200.0,8,9472,-0.0060581886675208805,83.24572257995605,0.009375,0.3,6.258487701416016e-05,0.0003,0.0039132703,360,-0.4108622670173645,41.025230407714844
38,-952.2916666666666,1076,200.0,9,9728,-0.002362816734239459,89.64855880737305,0.003515625,0.3,1.4841556549072266e-05,0.0003,0.0012949153,370,-0.4128556549549103,43.45601272583008
39,-943.469387755102,1078,200.0,9,9984,-0.013774625316727906,248.08766250610353,0.050390625,0.3,-1.1801719665527344e-05,0.0003,0.013456745,380,-0.32537055760622025,122.47258758544922
40,-923.9215686274509,1080,200.0,9,10240,-0.003871857700869441,171.15302810668945,0.00859375,0.3,2.6106834411621094e-05,0.0003,0.0025529,390,-0.2594293639063835,84.61663055419922
1,-660.0,1492,200.0,0,256,-0.0013691597385331988,177.3562355041504,0.005078125,0.3,-4.9948692321777344e-05,0.0003,0.0024720086,400,-0.31424698084592817,82.9963607788086
