rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/value_loss,train/explained_variance,train/learning_rate,train/clip_range,train/entropy_loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss,train/approx_kl
-350.0,200.0,256,1,0,498,,,,,,,,,,
-395.0,200.0,512,2,1,480,66.98848819732666,-0.013176679611206055,0.0003,0.3,-2.5647070169448853,0.0,10,-0.0044810576364398,27.022987365722656,0.00074845157
-393.3333333333333,200.0,768,3,1,473,16.752126598358153,-0.06719911098480225,0.0003,0.3,-2.563490641117096,0.0,20,-0.005466785421594978,4.045004844665527,0.0012704108
-402.0,200.0,1024,4,2,483,33.74961128234863,-0.004428267478942871,0.0003,0.3,-2.558031153678894,0.0,30,-0.0068779681460000575,14.134809494018555,0.0038355342
-410.0,200.0,1280,5,2,484,31.436015319824218,0.001502394676208496,0.0003,0.3,-2.5484773755073546,0.0,40,-0.0037956200307235123,6.560271263122559,0.0032098817
-415.7142857142857,200.0,1536,6,3,485,28.663841915130615,0.000809013843536377,0.0003,0.3,-2.5316089391708374,0.0,50,-0.00715663586743176,7.708195209503174,0.0051972773
-413.75,200.0,1792,7,3,482,1.814971685409546,0.0031769871711730957,0.0003,0.3,-2.5292508482933043,0.021875,60,-0.01088768751360476,0.46740251779556274,0.015453306
-418.0,200.0,2048,8,4,486,25.537914037704468,-0.0020617246627807617,0.0003,0.3,-2.533785176277161,0.00234375,70,-0.011298472038470208,20.211305618286133,0.00924599
-416.3636363636364,200.0,2304,9,4,485,29.842760944366454,0.0007609724998474121,0.0003,0.3,-2.5077868819236757,0.0109375,80,-0.013850481109693646,22.073184967041016,0.020240396
-415.0,200.0,2560,10,5,486,0.5751803006976843,0.00016134977340698242,0.0003,0.3,-2.4542322635650633,0.137109375,90,-0.02090316927060485,0.12548480927944183,0.047168165
-412.14285714285717,200.0,2816,11,5,487,1.442971444129944,-0.0029085874557495117,0.0003,0.3,-2.379082179069519,0.037109375,100,-0.023951039044186474,1.0461444854736328,0.01892502
-411.3333333333333,200.0,3072,12,6,491,4.1705042719841,-0.0021615028381347656,0.0003,0.3,-2.403360438346863,0.00859375,110,-0.01003201464191079,0.997563362121582,0.0136800455
-413.75,200.0,3328,13,6,493,50.92122755050659,-0.00045108795166015625,0.0003,0.3,-2.302227056026459,0.0,120,-0.0002500839764252305,14.18282699584961,0.0070136576
-415.88235294117646,200.0,3584,14,7,500,23.948937368392944,0.0006188154220581055,0.0003,0.3,-2.2870429158210754,0.0,130,-0.004942282941192389,6.227222442626953,0.0015880489
