time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,train/value_loss,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction
6,944,200.0,25,292.96875,6400,0.048104286193847656,19467.231103515624,9118.5224609375,7.92481005191803e-06,0.3,0.0003,7.1130926e-05,240,-2.5055102705955505,0.0
7,945,200.0,26,293.1515151515151,6656,0.02783578634262085,14606.84208984375,3341.67822265625,-0.0009480989538133144,0.3,0.0003,8.9494046e-05,250,-2.5085510849952697,0.0
7,946,200.0,27,294.97058823529414,6912,-0.017162322998046875,37898.282421875,21060.28125,-0.0015997766749933362,0.3,0.0003,0.00014867494,260,-2.5182620882987976,0.0
7,946,200.0,28,292.54285714285714,7168,0.021286487579345703,10218.208013916015,7127.76171875,-0.0009139153291471303,0.3,0.0003,0.00012569875,270,-2.5153929591178894,0.0
7,946,200.0,29,290.0,7424,0.012767493724822998,10263.46492919922,5824.80615234375,-0.0017903740052133798,0.3,0.0003,0.0007121146,280,-2.502969491481781,0.0
8,946,200.0,30,310.7894736842105,7680,0.022887706756591797,27674.717919921874,5795.7841796875,-0.0010398346465080976,0.3,0.0003,0.00022304524,290,-2.495872235298157,0.0
8,946,200.0,31,328.61538461538464,7936,0.02096003293991089,27690.00244140625,16029.3984375,-0.00028206175193190575,0.3,0.0003,6.398349e-05,300,-2.490201163291931,0.0
8,946,200.0,32,326.875,8192,0.0212823748588562,10238.164855957031,4323.17041015625,-0.0016516374656930567,0.3,0.0003,0.00027479464,310,-2.4893088698387147,0.0
8,947,200.0,33,351.0,8448,0.049649834632873535,13476.918505859376,3049.44580078125,-0.003897600248456001,0.3,0.0003,0.0005976339,320,-2.4946570873260496,0.0
9,947,200.0,34,348.04651162790697,8704,0.02989894151687622,39407.7392578125,16360.2939453125,-0.0005504801403731108,0.3,0.0003,0.00037865783,330,-2.500391888618469,0.0
9,948,200.0,35,350.8181818181818,8960,0.04213368892669678,13787.746166992187,6587.119140625,-0.004573674546554685,0.3,0.0003,0.0010173034,340,-2.501401972770691,0.0
9,948,200.0,36,351.7826086956522,9216,0.07123422622680664,18133.579516601563,4748.55615234375,-0.002395275258459151,0.3,0.0003,0.00085916603,350,-2.493328642845154,0.0
9,948,200.0,37,377.21276595744683,9472,0.007700920104980469,10977.591845703126,1134.3309326171875,-0.000926028995309025,0.3,0.0003,0.00022616447,360,-2.4989386677742003,0.0
10,948,200.0,38,372.25,9728,0.011583268642425537,35820.13486328125,14745.9560546875,-0.0013338363962247968,0.3,0.0003,0.00012062257,370,-2.495762884616852,0.0
10,948,200.0,39,378.0612244897959,9984,0.0509798526763916,14370.96630859375,5492.19970703125,-0.0021695611998438836,0.3,0.0003,0.00034739892,380,-2.4916598558425904,0.0
