rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/value_loss,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/approx_kl
200.0,0,750.0,256,1,932,,,,,,,,,,
200.0,0,80.0,512,2,968,20862.269091796876,13578.6650390625,-0.005460592871531844,10,0.0003,-2.564757239818573,0.0011269450187683105,0.3,0.0,0.00059123104
200.0,0,270.0,768,3,964,25005.227685546874,10191.5966796875,-0.0012651086319237948,20,0.0003,-2.5640458822250367,0.005483806133270264,0.3,0.0,0.00015938794
200.0,1,418.0,1024,4,968,19822.725537109374,7073.58984375,-0.0028272209223359824,30,0.0003,-2.563758075237274,-0.001489877700805664,0.3,0.0,0.00033021974
200.0,1,456.6666666666667,1280,5,974,19981.67043457031,11734.55078125,-0.0027143517974764107,40,0.0003,-2.5634077548980714,0.0042536258697509766,0.3,0.0,0.00047401572
200.0,1,501.42857142857144,1536,6,976,22089.36025390625,15109.3359375,-0.0002354799653403461,50,0.0003,-2.5626569747924806,0.010606586933135986,0.3,0.0,5.98412e-05
200.0,1,492.5,1792,7,979,38629.115234375,24454.716796875,-0.0010833848034963011,60,0.0003,-2.5624639987945557,0.002688288688659668,0.3,0.0,4.6026893e-05
200.0,2,497.0,2048,8,985,19617.264208984376,12083.2265625,-0.0018220129190012813,70,0.0003,-2.5623759984970094,0.0005835294723510742,0.3,0.0,0.00025161076
200.0,2,483.6363636363636,2304,9,992,39393.54599609375,24224.51171875,-0.0009209618205204606,80,0.0003,-2.5610496401786804,0.0015990734100341797,0.3,0.0,0.00012836396
200.0,2,472.5,2560,10,995,20105.2296875,6552.5615234375,-0.004379179165698588,90,0.0003,-2.560135746002197,0.0033495426177978516,0.3,0.0,0.00045599183
200.0,2,468.57142857142856,2816,11,996,20142.2185546875,10325.8896484375,-0.004184245225042104,100,0.0003,-2.559540367126465,0.0009480714797973633,0.3,0.0,0.00046852487
200.0,3,462.0,3072,12,1000,20994.36875,11855.287109375,-0.00048553404631093147,110,0.0003,-2.5568413853645326,-0.021414637565612793,0.3,0.0,0.00018262235
200.0,3,463.75,3328,13,1004,37269.36015625,20848.5078125,-0.001426425646059215,120,0.0003,-2.554860973358154,0.0062517523765563965,0.3,0.0,0.00012348779
200.0,3,397.6470588235294,3584,14,1006,1286.488299560547,613.7765502929688,-0.002509001875296235,130,0.0003,-2.5534627199172975,-0.04627692699432373,0.3,0.0,0.00030313735
200.0,3,423.1578947368421,3840,15,1008,20088.13330078125,5936.75634765625,-0.00374407097697258,140,0.0003,-2.5550472140312195,-0.007814764976501465,0.3,0.0,0.00042108865
200.0,4,442.0,4096,16,1009,39271.84267578125,17164.611328125,-0.0006511708954349161,150,0.0003,-2.5561087250709535,0.0040283203125,0.3,0.0,0.00012395368
200.0,4,440.95238095238096,4352,17,1008,19130.557250976562,13266.8115234375,-0.00326566775329411,160,0.0003,-2.555699074268341,0.0003681778907775879,0.3,0.0,0.0003740741
200.0,4,450.4347826086956,4608,18,1010,20486.567138671875,11091.3046875,-0.0019723949721083046,170,0.0003,-2.555130660533905,0.0023062825202941895,0.3,0.0,0.00027170428
200.0,4,445.4166666666667,4864,19,1011,21102.7787109375,6638.60546875,-0.002884537260979414,180,0.0003,-2.5557591676712037,0.0005857944488525391,0.3,0.0,0.00041683973
200.0,5,446.0,5120,20,1010,36639.241796875,14740.2431640625,0.0004405824467539787,190,0.0003,-2.550779712200165,0.008944332599639893,0.3,0.0,0.00024373294
200.0,5,457.6923076923077,5376,21,1008,19646.199780273437,11462.5078125,-0.0009212743723765015,200,0.0003,-2.55345379114151,0.010211408138275146,0.3,0.0,6.982591e-05
200.0,5,459.2857142857143,5632,22,1008,20186.48125,11771.794921875,-0.0010797032387927174,210,0.0003,-2.554708254337311,0.014617681503295898,0.3,0.0,0.00011136243
200.0,5,457.58620689655174,5888,23,1009,19712.52587890625,8702.1826171875,-0.0008590589044615626,220,0.0003,-2.553048050403595,0.026285290718078613,0.3,0.0,0.0001026087
200.0,6,457.0,6144,24,1009,34333.8263671875,18521.48046875,-0.0020923556992784144,230,0.0003,-2.5535578966140746,0.030230224132537842,0.3,0.0,0.00015160465
200.0,6,466.875,6400,25,1009,1280.4832977294923,345.4405212402344,-0.0028532920754514635,240,0.0003,-2.5545082688331604,0.02994745969772339,0.3,0.0,0.0002859137
200.0,6,462.72727272727275,6656,26,1010,35719.91533203125,9847.857421875,-0.000386352464556694,250,0.0003,-2.555461883544922,0.025697767734527588,0.3,0.0,0.000113446265
200.0,6,466.47058823529414,6912,27,1011,37812.04375,21311.03125,-0.0011891408124938608,260,0.0003,-2.5539665699005125,0.0023322105407714844,0.3,0.0,8.22884e-05
200.0,7,473.7142857142857,7168,28,1009,20196.981884765624,8073.94873046875,-0.0023087249137461185,270,0.0003,-2.5538573384284975,0.04242485761642456,0.3,0.0,0.00023384672
200.0,7,477.02702702702703,7424,29,1010,19830.203857421875,8395.0537109375,-0.0025207460043020547,280,0.0003,-2.5504081726074217,0.051589131355285645,0.3,0.0,0.00038744905
200.0,7,484.7368421052632,7680,30,1011,37989.83466796875,16099.4755859375,-0.0016784072387963534,290,0.0003,-2.549105179309845,0.017548680305480957,0.3,0.0,0.00019937009
200.0,7,484.61538461538464,7936,31,1012,19908.129638671875,10512.9052734375,-0.0008958049118518829,300,0.0003,-2.5475008964538572,0.04311990737915039,0.3,0.0,0.00010104035
200.0,8,486.5,8192,32,1012,20103.907373046874,7178.36669921875,-0.0011033495422452689,310,0.0003,-2.550667905807495,-0.03295588493347168,0.3,0.0,8.555385e-05
200.0,8,484.2857142857143,8448,33,1013,18571.440515136717,9725.587890625,-0.0009702990762889385,320,0.0003,-2.5510793566703795,0.012891650199890137,0.3,0.0,0.00011087814
200.0,8,485.1162790697674,8704,34,1013,38280.80234375,15232.1689453125,-0.0018890418577939272,330,0.0003,-2.547303652763367,0.02404022216796875,0.3,0.0,0.0001829525
200.0,8,484.54545454545456,8960,35,1014,19855.278454589843,9033.494140625,-0.003736891527660191,340,0.0003,-2.54393984079361,0.054798662662506104,0.3,0.0,0.000776096
200.0,9,484.3478260869565,9216,36,1015,19744.02995605469,10940.583984375,-0.003784265136346221,350,0.0003,-2.5396689772605896,0.015874147415161133,0.3,0.0,0.00074626436
200.0,9,487.2340425531915,9472,37,1016,18964.65439453125,8535.416015625,-0.0016036519315093755,360,0.0003,-2.5412670373916626,0.0707707405090332,0.3,0.0,0.00025496958
200.0,9,486.875,9728,38,1016,34883.7888671875,16986.28515625,-0.0007189255440607667,370,0.0003,-2.5395415663719176,0.04026311635971069,0.3,0.0,0.00010850257
200.0,9,493.0612244897959,9984,39,1016,19335.240625,5494.8125,-0.0020025444217026235,380,0.0003,-2.539500427246094,0.0766904354095459,0.3,0.0,0.0003079956
200.0,10,503.1372549019608,10240,40,1016,19791.54736328125,11621.1875,-0.00030877210665494206,390,0.0003,-2.5391831278800963,0.06188809871673584,0.3,0.0,8.568424e-05
200.0,0,330.0,256,1,1331,40273.65107421875,21756.00390625,-0.0010483318474143744,400,0.0003,-2.540545201301575,0.018652796745300293,0.3,0.0,0.00012396579
200.0,0,645.0,512,2,1153,37518.338671875,17344.03515625,-0.005100939329713583,10,0.0003,-2.564728856086731,-0.00042998790740966797,0.3,0.0,0.0005960667
200.0,0,650.0,768,3,1071,15985.751538085937,13374.3759765625,-0.005621118424460292,20,0.0003,-2.5634438157081605,-0.00038743019104003906,0.3,0.0,0.0009250096
200.0,0,586.0,1024,4,1063,20868.382421875,17359.201171875,-0.002803632349241525,30,0.0003,-2.5614121198654174,0.0005593299865722656,0.3,0.0,0.00062527414
200.0,1,553.3333333333334,1280,5,1055,16217.969506835938,6862.7548828125,-0.0013705546967685222,40,0.0003,-2.5589879631996153,0.0008151531219482422,0.3,0.0,0.00027580652
200.0,1,528.5714285714286,1536,6,1053,19213.980834960938,10105.2900390625,-0.003343112941365689,50,0.0003,-2.558119833469391,0.003731667995452881,0.3,0.0,0.00043875282
200.0,1,500.0,1792,7,1052,29984.6123046875,18935.3125,-0.0019395713577978313,60,0.0003,-2.5557531237602236,-0.0023099184036254883,0.3,0.0,0.00031492254
200.0,1,484.0,2048,8,1045,20179.5791015625,11813.125,-0.0034306720597669484,70,0.0003,-2.5542394280433656,-0.00341188907623291,0.3,0.0,0.0007059714
200.0,2,487.27272727272725,2304,9,1043,30813.81875,17145.666015625,-0.005315992934629321,80,0.0003,-2.5514747977256773,0.0007807016372680664,0.3,0.0,0.0017283242
200.0,2,488.3333333333333,2560,10,1040,18911.896069335937,10110.001953125,-0.0023275597719475626,90,0.0003,-2.544429624080658,0.006733119487762451,0.3,0.0,0.0008182472
200.0,2,490.7142857142857,2816,11,1039,18854.9994140625,4745.89111328125,-0.002069669449701905,100,0.0003,-2.5393234491348267,0.016690850257873535,0.3,0.0,0.00036004395
200.0,2,484.6666666666667,3072,12,1038,19831.68076171875,7458.82666015625,-0.001960230292752385,110,0.0003,-2.540812599658966,0.023016691207885742,0.3,0.0,0.00025729416
200.0,3,483.125,3328,13,1037,13487.431298828125,9994.99609375,-0.000470526865683496,120,0.0003,-2.538840091228485,0.014912843704223633,0.3,0.0,9.91174e-05
200.0,3,420.0,3584,14,1036,19345.55869140625,10936.1630859375,-0.001008763234131038,130,0.0003,-2.535455346107483,0.02528083324432373,0.3,0.0,0.00014388212
200.0,3,430.0,3840,15,1034,17727.41123046875,10071.142578125,-0.00317108603194356,140,0.0003,-2.5312205076217653,0.041814446449279785,0.3,0.0,0.0005376518
200.0,3,427.5,4096,16,1033,26840.722314453124,11811.4130859375,-0.0009314369410276413,150,0.0003,-2.521434855461121,0.027397513389587402,0.3,0.0,0.00024404307
200.0,4,422.85714285714283,4352,17,1032,18013.732373046874,6932.47998046875,-0.0009797802893444895,160,0.0003,-2.5267912983894347,0.039774537086486816,0.3,0.0,0.00010660151
200.0,4,421.7391304347826,4608,18,1031,18873.52099609375,9410.16796875,-0.000761251023504883,170,0.0003,-2.524618315696716,0.006777465343475342,0.3,0.0,8.856389e-05
200.0,4,418.75,4864,19,1030,17607.53615722656,5941.02587890625,-0.0013972856104373932,180,0.0003,-2.5178616046905518,0.029801905155181885,0.3,0.0,0.00014135591
200.0,4,433.6,5120,20,1029,29549.293896484374,10868.3642578125,-0.0023332281038165093,190,0.0003,-2.5175427198410034,-0.0035254955291748047,0.3,0.0,0.00044499338
200.0,5,436.53846153846155,5376,21,1029,20682.504248046876,11744.7158203125,-0.002411449374631047,200,0.0003,-2.5129183292388917,-0.002414107322692871,0.3,0.0,0.0003844835
200.0,5,450.35714285714283,5632,22,1028,19603.81904296875,10992.732421875,-0.0016725603956729174,210,0.0003,-2.4994274854660032,0.029130876064300537,0.3,0.0,0.00027533434
200.0,5,456.2068965517241,5888,23,1027,38009.62978515625,24071.380859375,-0.0019295625854283572,220,0.0003,-2.49812251329422,0.04088640213012695,0.3,0.0,0.00034697866
200.0,5,456.0,6144,24,1026,20770.548681640626,15373.2470703125,-0.0008739799959585071,230,0.0003,-2.5012027621269226,0.013062000274658203,0.3,0.0,0.00017544464
200.0,6,455.9375,6400,25,1023,17554.331274414064,6046.39599609375,-0.0034105659229680895,240,0.0003,-2.5007465720176696,0.017388343811035156,0.3,0.0,0.0007926272
200.0,6,453.6363636363636,6656,26,1023,11724.552780151367,7603.5458984375,-0.004133995017036795,250,0.0003,-2.490807795524597,0.02440333366394043,0.3,0.0,0.0010347567
200.0,6,453.8235294117647,6912,27,1023,13485.307647705078,2051.05029296875,-0.005035241926088929,260,0.0003,-2.4659610629081725,0.03804135322570801,0.3,0.0,0.0014765305
200.0,7,434.0,7168,28,1023,18419.39921875,9803.5556640625,-0.001789789437316358,270,0.0003,-2.446533405780792,0.013490736484527588,0.3,0.0,0.0006774084
200.0,7,443.5135135135135,7424,29,1022,16885.68796386719,7197.0693359375,-0.0019755450077354906,280,0.0003,-2.4300992012023928,0.03752791881561279,0.3,0.0,0.0005385054
200.0,7,442.10526315789474,7680,30,1016,20370.737939453124,14130.0029296875,-0.0016309814294800163,290,0.0003,-2.4107715249061585,0.0003218650817871094,0.3,0.0,0.0003886593
200.0,7,442.3076923076923,7936,31,1015,28164.35234375,15530.857421875,-0.0024341212352737784,300,0.0003,-2.4102970242500303,0.00989389419555664,0.3,0.0,0.0002814748
200.0,8,442.25,8192,32,1012,19728.768298339844,9580.94921875,-0.003835594584234059,310,0.0003,-2.370862102508545,0.015708208084106445,0.3,0.0,0.0012275872
200.0,8,445.4761904761905,8448,33,1008,18355.917895507813,9110.1826171875,-0.00290505476295948,320,0.0003,-2.372255563735962,0.06921780109405518,0.3,0.0,0.00096969283
200.0,8,444.4186046511628,8704,34,1007,32141.71083984375,14565.818359375,0.00014243465848267077,330,0.0003,-2.345216929912567,0.05198383331298828,0.3,0.0,0.000167917
200.0,8,443.40909090909093,8960,35,1006,17246.00114746094,11091.1806640625,-0.0005825223168358206,340,0.0003,-2.348430168628693,0.04007613658905029,0.3,0.0,0.00012389058
200.0,9,441.5217391304348,9216,36,1002,17193.73759765625,7679.166015625,-0.0007763357833027839,350,0.0003,-2.3333196878433227,0.04115325212478638,0.3,0.0,0.00010694633
200.0,9,445.3191489361702,9472,37,1002,17188.190185546875,7367.39013671875,-0.0015441433526575566,360,0.0003,-2.365992534160614,0.04666483402252197,0.3,0.0,0.00029717153
200.0,9,444.375,9728,38,1001,37926.42978515625,15132.845703125,-0.004853075323626399,370,0.0003,-2.3777413368225098,0.017994165420532227,0.3,0.0,0.0015888563
200.0,9,447.55102040816325,9984,39,1000,13228.503759765625,2705.140869140625,-0.0014109305804595352,380,0.0003,-2.3711477518081665,0.05287748575210571,0.3,0.0,0.00040700845
200.0,10,455.0980392156863,10240,40,1001,9616.45765991211,6380.90087890625,-0.006004218105226755,390,0.0003,-2.358537125587463,0.06363534927368164,0.3,0.0,0.0021574816
200.0,0,540.0,256,1,1300,18390.937768554686,6783.06494140625,-0.0007355460547842085,400,0.0003,-2.3693381905555726,0.05605381727218628,0.3,0.0,0.00077768345
200.0,0,570.0,512,2,1145,38455.49345703125,12556.41015625,-0.0009463862050324678,410,0.0003,-2.5377498507499694,0.05064624547958374,0.3,0.0,0.00010041427
200.0,0,566.6666666666666,768,3,1101,20127.21982421875,10111.47265625,-0.0019050671486184,420,0.0003,-2.532054901123047,0.05719035863876343,0.3,0.0,0.00035552564
200.0,0,626.0,1024,4,1073,22786.20146484375,11234.263671875,-0.0020410641795024277,430,0.0003,-2.5269027590751647,-0.10134899616241455,0.3,0.0,0.0002995655
200.0,1,593.3333333333334,1280,5,1062,38517.2416015625,16223.578125,-0.0018249662593007089,440,0.0003,-2.5247475862503053,0.05703401565551758,0.3,0.0,0.0002153553
200.0,1,590.0,1536,6,1054,18891.552294921876,8554.8076171875,-0.0034244286362081766,450,0.0003,-2.524566948413849,0.012283384799957275,0.3,0.0,0.00025303452
200.0,1,603.75,1792,7,1048,19566.041455078124,5357.57666015625,-0.0020826306659728288,460,0.0003,-2.52838671207428,0.07062464952468872,0.3,0.0,0.0002616467
200.0,1,602.0,2048,8,1047,18643.132568359375,7007.376953125,-0.0008092391886748374,470,0.0003,-2.5209807991981505,0.0512431263923645,0.3,0.0,0.00027137133
200.0,2,623.6363636363636,2304,9,1041,19539.479370117188,10089.349609375,-0.004187174048274756,480,0.0003,-2.5094770908355715,0.022691071033477783,0.3,0.0,0.0009248236
200.0,2,663.3333333333334,2560,10,1040,38371.83017578125,22354.796875,-0.0011919638374820352,490,0.0003,-2.5032481074333193,0.019300520420074463,0.3,0.0,0.0004909851
200.0,2,640.0,2816,11,1037,20257.14375,7580.158203125,-0.0008342878660187125,500,0.0003,-2.500779378414154,0.011773824691772461,0.3,0.0,7.0902286e-05
200.0,2,626.6666666666666,3072,12,1037,19455.459814453126,13280.9150390625,-0.003776267496868968,510,0.0003,-2.4883904457092285,0.019508719444274902,0.3,0.0,0.0005955009
200.0,3,624.375,3328,13,1036,37433.05400390625,14627.2666015625,-0.0011752069462090732,520,0.0003,-2.480294907093048,0.06005614995956421,0.3,0.0,0.00023459177
200.0,3,604.1176470588235,3584,14,1035,17453.231298828126,11400.9140625,-0.002418675133958459,530,0.0003,-2.479496657848358,0.08164715766906738,0.3,0.0,0.00046747923
200.0,3,616.8421052631579,3840,15,1035,19424.04147949219,3727.073486328125,-0.0015302151441574097,540,0.0003,-2.490999662876129,0.07302701473236084,0.3,0.0,0.00039134757
200.0,3,616.0,4096,16,1033,17698.648828125,11390.2353515625,-0.0015076340874657034,550,0.0003,-2.4979691743850707,0.04374605417251587,0.3,0.0,0.00029835897
200.0,4,621.9047619047619,4352,17,1033,38507.5107421875,23782.978515625,-0.0016951517900452018,560,0.0003,-2.4835591554641723,0.030579745769500732,0.3,0.0,0.00039210706
200.0,4,643.9130434782609,4608,18,1034,19025.74326171875,10422.2333984375,-0.0021187605801969767,570,0.0003,-2.4712543368339537,0.06986618041992188,0.3,0.0,0.00038580596
200.0,4,632.0833333333334,4864,19,1031,20339.2287109375,11414.2021484375,-0.0010575604857876897,580,0.0003,-2.477744626998901,0.01434314250946045,0.3,0.0,0.0002535137
200.0,4,626.4,5120,20,1025,36597.3880859375,22028.619140625,-0.002346839802339673,590,0.0003,-2.4554600358009337,0.062489986419677734,0.3,0.0,0.00040412415
200.0,5,624.2307692307693,5376,21,1026,18460.71845703125,9934.8037109375,-0.002023046207614243,600,0.0003,-2.4614956617355346,0.08487915992736816,0.3,0.0,0.00044888444
200.0,5,616.4285714285714,5632,22,1024,18712.01237792969,5495.39111328125,-0.00032851016148924825,610,0.0003,-2.47180722951889,0.02184736728668213,0.3,0.0,0.00012544077
200.0,5,612.4137931034483,5888,23,1022,17408.396240234375,7198.21533203125,-0.0027440247824415563,620,0.0003,-2.4551477670669555,0.07429343461990356,0.3,0.0,0.00047616032
200.0,6,616.6666666666666,6144,24,1021,31924.344677734374,14798.5537109375,-0.0018153837067075075,630,0.0003,-2.457380676269531,0.07606464624404907,0.3,0.0,0.0004492863
200.0,6,610.0,6400,25,1022,18513.791162109374,10365.9267578125,-0.0009896360337734223,640,0.0003,-2.446026074886322,0.10918682813644409,0.3,0.0,0.00022080308
200.0,6,614.5454545454545,6656,26,1021,18504.0484375,4143.931640625,-0.002381373755633831,650,0.0003,-2.437845778465271,0.0896003246307373,0.3,0.0,0.00036316714
200.0,6,618.2352941176471,6912,27,1020,37332.46499023437,13581.9189453125,-0.0009735323721542955,660,0.0003,-2.429902136325836,0.08803665637969971,0.3,0.0,0.00015972112
200.0,7,616.5714285714286,7168,28,1020,19654.36455078125,9292.5546875,-0.00023083016276359558,670,0.0003,-2.4278080821037293,0.024652183055877686,0.3,0.0,8.717575e-05
200.0,7,610.2702702702703,7424,29,1020,20745.69758300781,9966.376953125,-0.004262295085936785,680,0.0003,-2.4366089940071105,-0.04652237892150879,0.3,0.0,0.0009877277
200.0,7,617.6315789473684,7680,30,1020,32288.7095703125,19756.671875,-0.0035028533078730107,690,0.0003,-2.450593364238739,0.11182940006256104,0.3,0.0,0.0007902812
200.0,7,616.9230769230769,7936,31,1020,18932.84699707031,6021.41455078125,-0.005692694569006562,700,0.0003,-2.4591758370399477,0.12302839756011963,0.3,0.0,0.001836801
200.0,8,614.5,8192,32,1019,18976.052197265624,12490.306640625,8.641942404210567e-05,710,0.0003,-2.4775476455688477,0.08843046426773071,0.3,0.0,0.00041002035
200.0,8,604.7619047619048,8448,33,1018,18845.746948242188,11047.650390625,-0.0006873937323689461,720,0.0003,-2.4627939224243165,0.0158575177192688,0.3,0.0,0.0001874133
200.0,8,603.0232558139535,8704,34,1018,34419.08623046875,19778.513671875,-0.0016571080312132835,730,0.0003,-2.453660261631012,0.056001126766204834,0.3,0.0,0.00012657582
200.0,8,601.8181818181819,8960,35,1016,17812.65461425781,13388.2060546875,-0.0029023389564827085,740,0.0003,-2.455738532543182,0.12411373853683472,0.3,0.0,0.000563757
200.0,9,597.6086956521739,9216,36,1016,17037.52490234375,10371.611328125,-0.003308009426109493,750,0.0003,-2.4644326090812685,0.08935892581939697,0.3,0.0,0.0009736258
200.0,9,594.6808510638298,9472,37,1017,16822.647216796875,8430.7998046875,-0.004143135063350201,760,0.0003,-2.4285024642944335,0.10535812377929688,0.3,0.0,0.0011954866
200.0,9,598.75,9728,38,1015,34557.626171875,21460.166015625,-0.000694465171545744,770,0.0003,-2.4178633809089662,0.08980321884155273,0.3,0.0,0.0002018956
200.0,9,594.8979591836735,9984,39,1014,18718.501171875,4185.10888671875,-0.0044266815762966875,780,0.0003,-2.425186848640442,0.11346900463104248,0.3,0.0,0.0009994577
200.0,10,592.156862745098,10240,40,1014,18754.466845703126,8033.5703125,-0.0007677248446270824,790,0.0003,-2.4190150141716003,0.09753614664077759,0.3,0.0,0.00050453003
200.0,0,1040.0,256,1,1296,34272.6134765625,14715.5830078125,-0.0021464372985064983,800,0.0003,-2.4196717619895933,0.12766999006271362,0.3,0.0,0.00040400145
200.0,0,795.0,512,2,1139,30965.416357421876,16233.8037109375,-0.004201201768592,410,0.0003,-2.3658268570899965,0.05484992265701294,0.3,0.0,0.0015325847
200.0,0,720.0,768,3,1095,18411.910998535157,17301.1328125,-0.001471064006909728,420,0.0003,-2.3421923875808717,0.07135045528411865,0.3,0.0,0.0005845316
200.0,0,632.0,1024,4,1048,18238.470068359376,6945.08544921875,-0.0011793447425588965,430,0.0003,-2.358570194244385,0.06691962480545044,0.3,0.0,0.0005461483
