rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss
640.0,200.0,687,0,1,256,,,,,,,,,,
590.0,200.0,716,0,2,512,-0.0037635362008586527,0.3,15366.5703125,0.0,34687.12568359375,0.00040802942,0.0003,0.00012481212615966797,10,-2.564770781993866
330.0,200.0,708,1,3,768,-0.004401857289485634,0.3,1035.1402587890625,0.0,1856.8455383300782,0.0007054345,0.0003,-0.00021827220916748047,20,-2.56431782245636
450.0,200.0,709,1,4,1024,-0.0009742723545059562,0.3,12839.015625,0.0,20563.0775390625,0.00030249776,0.0003,0.003242790699005127,30,-2.563229262828827
651.6666666666666,200.0,711,1,5,1280,-0.0038996445946395397,0.3,10877.6513671875,0.0,19488.70712890625,0.0005778179,0.0003,-0.001173257827758789,40,-2.5624266505241393
644.2857142857143,200.0,716,2,6,1536,-0.0008368214359506965,0.3,17162.7265625,0.0,41581.49609375,0.00017180364,0.0003,0.0002822279930114746,50,-2.55987366437912
621.25,200.0,725,2,7,1792,-0.005187786044552922,0.3,7511.07861328125,0.0,19249.40908203125,0.0010941795,0.0003,0.00010126829147338867,60,-2.559691345691681
578.0,200.0,723,2,8,2048,-0.0027655426412820814,0.3,7792.04345703125,0.0,20225.495190429687,0.000529062,0.0003,0.0008090734481811523,70,-2.5570353388786318
594.5454545454545,200.0,734,3,9,2304,-0.000474875932559371,0.3,22554.853515625,0.0,38437.35830078125,0.00012536137,0.0003,0.0011190176010131836,80,-2.557246685028076
611.6666666666666,200.0,741,3,10,2560,-0.003416507435031235,0.3,7636.4091796875,0.0,19461.63154296875,0.00032343972,0.0003,0.0061157941818237305,90,-2.5581478595733644
602.8571428571429,200.0,746,3,11,2816,-0.0005371065344661474,0.3,9128.6474609375,0.0,19753.208129882812,8.0505386e-05,0.0003,0.013842642307281494,100,-2.5594054222106934
608.6666666666666,200.0,752,4,12,3072,-0.0017614457989111542,0.3,17561.373046875,0.0,26371.180224609376,7.780967e-05,0.0003,0.019717812538146973,110,-2.559604859352112
597.5,200.0,752,4,13,3328,-0.001980483625084162,0.3,11198.8623046875,0.0,20384.368994140626,0.00012965384,0.0003,0.021483302116394043,120,-2.5593515157699587
611.7647058823529,200.0,753,4,14,3584,-0.0010660128900781274,0.3,12591.8076171875,0.0,19179.743041992188,0.00011487468,0.0003,0.005318284034729004,130,-2.558064079284668
634.2105263157895,200.0,758,5,15,3840,-0.0015856491634622216,0.3,9090.3955078125,0.0,17754.105102539062,0.000110054156,0.0003,0.025128424167633057,140,-2.5567319869995115
630.5,200.0,762,5,16,4096,-0.0009150669095106423,0.3,14812.25,0.0,44825.10341796875,7.450697e-05,0.0003,0.049393534660339355,150,-2.556669092178345
648.5714285714286,200.0,764,5,17,4352,-0.0010707054752856493,0.3,11273.0703125,0.0,19277.861206054688,3.763847e-05,0.0003,0.05148923397064209,160,-2.5552221536636353
646.5217391304348,200.0,768,5,18,4608,-0.0011647716164588928,0.3,11594.73046875,0.0,21347.42763671875,0.00010300288,0.0003,0.028804779052734375,170,-2.5549968481063843
649.1666666666666,200.0,772,6,19,4864,-0.004737223358824849,0.3,10176.2119140625,0.0,16566.010662841796,0.0010763286,0.0003,-0.0003921985626220703,180,-2.5517516136169434
674.8,200.0,777,6,20,5120,-0.0006956741213798523,0.3,19456.099609375,0.0,45446.0935546875,0.0001190193,0.0003,0.05315977334976196,190,-2.5470311880111693
666.5384615384615,200.0,780,6,21,5376,-0.0011811941163614391,0.3,8758.3466796875,0.0,14397.948962402344,7.844204e-05,0.0003,0.06264543533325195,200,-2.5452325344085693
665.3571428571429,200.0,780,7,22,5632,-0.0005780974868685007,0.3,9530.3876953125,0.0,19690.476318359375,5.211518e-05,0.0003,0.04869896173477173,210,-2.5466468930244446
664.4827586206897,200.0,782,7,23,5888,-0.0004290289245545864,0.3,13124.517578125,0.0,30410.4291015625,3.648759e-05,0.0003,0.022654175758361816,220,-2.546364450454712
657.3333333333334,200.0,783,7,24,6144,-0.0009523454820737243,0.3,3740.261962890625,0.0,15035.13876953125,5.639065e-05,0.0003,0.03548842668533325,230,-2.545007646083832
639.6875,200.0,784,8,25,6400,-0.000748030561953783,0.3,11780.8173828125,0.0,20582.618603515624,5.8860052e-05,0.0003,-0.018619894981384277,240,-2.544675016403198
632.4242424242424,200.0,786,8,26,6656,-0.0006408032262697816,0.3,3170.548583984375,0.0,14428.608984375,5.8904523e-05,0.0003,0.028696000576019287,250,-2.5425993323326113
638.8235294117648,200.0,788,8,27,6912,-0.0007645511534065009,0.3,9963.1953125,0.0,19446.46650390625,4.573725e-05,0.0003,0.02843034267425537,260,-2.542474067211151
634.0,200.0,787,9,28,7168,-0.0011907476000487804,0.3,17056.12109375,0.0,29240.0994140625,9.032851e-05,0.0003,0.05870896577835083,270,-2.5401727199554442
624.0540540540541,200.0,785,9,29,7424,-0.0007035738730337471,0.3,5741.75341796875,0.0,10119.888153076172,8.985121e-05,0.0003,0.02780282497406006,280,-2.5383418440818786
624.4736842105264,200.0,787,9,30,7680,-0.0011565139051526786,0.3,13603.6396484375,0.0,31569.539990234374,0.00020183274,0.0003,0.027206480503082275,290,-2.5359499216079713
633.5897435897435,200.0,786,10,31,7936,-0.0016394528094679118,0.3,12922.6904296875,0.0,24088.05693359375,0.00013139076,0.0003,0.04904747009277344,300,-2.5313708186149597
626.5,200.0,786,10,32,8192,-0.0010783645324409009,0.3,9116.677734375,0.0,18993.072216796874,0.000102531165,0.0003,0.013360679149627686,310,-2.5284503221511843
