time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/learning_rate,train/n_updates,train/entropy_loss
1,-718.0,985,0,200.0,256,,,,,,,,,,
2,-789.5,1034,0,200.0,512,1779.4730895996095,-0.0018216371536254883,732.7241821289062,-0.007618765300139785,0.3,0.0013291962,0.0,0.0003,10,-2.5645010113716125
3,-783.6666666666666,1049,0,200.0,768,2383.808068847656,0.0020560622215270996,1188.483642578125,-0.002408332994673401,0.3,0.00052518165,0.0,0.0003,20,-2.5623555541038514
4,-645.6,1050,0,200.0,1024,1789.1222778320312,0.005945682525634766,814.8250122070312,-0.0029529788065701724,0.3,0.0003972191,0.0,0.0003,30,-2.561651182174683
5,-628.1666666666666,1058,1,200.0,1280,1731.9357971191407,0.0013172030448913574,851.2686767578125,-0.0037543732672929765,0.3,0.0006919415,0.0,0.0003,40,-2.561430811882019
6,-640.8571428571429,1062,1,200.0,1536,2239.983020019531,0.0062482357025146484,1197.2757568359375,-0.0028411337407305837,0.3,0.0003459046,0.0,0.0003,50,-2.561623787879944
7,-629.125,1058,1,200.0,1792,1133.7679870605468,0.005538582801818848,581.0052490234375,-0.005522821878548712,0.3,0.00067405426,0.0,0.0003,60,-2.560825502872467
8,-581.0,1057,1,200.0,2048,1579.6760314941407,0.0014513134956359863,854.2256469726562,-0.009590140590444208,0.3,0.0023751308,0.0,0.0003,70,-2.556850492954254
9,-544.0909090909091,1061,2,200.0,2304,2938.34296875,0.0007246136665344238,1310.22900390625,-0.005902781384065747,0.3,0.001995955,0.0,0.0003,80,-2.5500388145446777
10,-536.0,1062,2,200.0,2560,2605.5176635742187,-0.00014472007751464844,1172.8028564453125,-0.010218057059682905,0.3,0.004048992,0.0,0.0003,90,-2.5445462822914124
11,-506.7857142857143,1063,2,200.0,2816,2313.8192443847656,0.02937173843383789,1209.6419677734375,-0.003251251857727766,0.3,0.0005983461,0.0,0.0003,100,-2.546596622467041
12,-504.6666666666667,1066,2,200.0,3072,1310.7972106933594,0.14510804414749146,726.6111450195312,-0.0013215397018939256,0.3,9.897165e-05,0.0,0.0003,110,-2.5451298356056213
13,-490.875,1067,3,200.0,3328,2140.5275390625,0.02553659677505493,1142.6512451171875,-0.002692923019640148,0.3,0.0003254863,0.0,0.0003,120,-2.54055517911911
14,-507.47058823529414,1068,3,200.0,3584,1636.7651916503905,0.04821944236755371,695.307861328125,-0.0024850079498719424,0.3,0.00030595064,0.0,0.0003,130,-2.538418102264404
15,-519.9473684210526,1068,3,200.0,3840,1428.4701293945313,0.04248708486557007,711.2003784179688,-0.0014643932227045298,0.3,0.0001926974,0.0,0.0003,140,-2.542560541629791
16,-512.7,1068,3,200.0,4096,1582.3196716308594,-0.03119969367980957,1016.4077758789062,-0.003181736683472991,0.3,0.00032158894,0.0,0.0003,150,-2.546440839767456
17,-521.8571428571429,1066,4,200.0,4352,1367.1038940429687,0.0005998015403747559,494.388671875,-0.0016949217300862075,0.3,0.00024451665,0.0,0.0003,160,-2.5444039583206175
18,-533.0869565217391,1067,4,200.0,4608,2563.784948730469,-5.364418029785156e-06,1259.6905517578125,-0.0013834676472470164,0.3,0.00018905057,0.0,0.0003,170,-2.540336346626282
19,-500.0833333333333,1067,4,200.0,4864,1444.2258361816407,0.00012826919555664062,606.6608276367188,-0.006595270289108157,0.3,0.001297541,0.0,0.0003,180,-2.540792739391327
20,-497.48,1068,4,200.0,5120,3064.3366088867188,0.0006725192070007324,1653.2244873046875,-0.013364111771807075,0.3,0.004880932,0.0,0.0003,190,-2.5430643439292906
21,-494.3076923076923,1069,5,200.0,5376,1638.1606994628905,0.0027408599853515625,970.3236694335938,-0.0007320193108171225,0.3,0.00036901608,0.0,0.0003,200,-2.5468843936920167
22,-486.14285714285717,1067,5,200.0,5632,2023.1469177246095,0.12605637311935425,962.3966064453125,-0.002340392954647541,0.3,0.00019376841,0.0,0.0003,210,-2.5497565269470215
23,-481.3103448275862,1067,5,200.0,5888,956.4049072265625,-0.047628164291381836,409.9832458496094,-0.0013258543564006685,0.3,9.4776275e-05,0.0,0.0003,220,-2.548756742477417
24,-480.8666666666667,1067,5,200.0,6144,989.1552062988281,0.1872704029083252,474.6285095214844,-0.002996274712495506,0.3,0.00024492224,0.0,0.0003,230,-2.546826148033142
25,-481.71875,1067,5,200.0,6400,790.005029296875,0.015057981014251709,341.72186279296875,-0.0015218581538647413,0.3,0.00016966974,0.0,0.0003,240,-2.547021174430847
26,-490.09090909090907,1066,6,200.0,6656,1447.5690856933593,0.012348055839538574,579.2338256835938,-0.00267815085244365,0.3,0.0002356458,0.0,0.0003,250,-2.549643898010254
27,-495.9117647058824,1067,6,200.0,6912,1739.4154846191407,0.001310884952545166,896.2115478515625,-0.002188994747120887,0.3,0.00017358991,0.0,0.0003,260,-2.5463138580322267
28,-501.3142857142857,1067,6,200.0,7168,1165.7878112792969,-0.3217489719390869,396.8388977050781,-0.0015265951748006045,0.3,0.00011588517,0.0,0.0003,270,-2.5460690379142763
29,-504.18918918918916,1068,6,200.0,7424,1101.3261810302733,-0.06292223930358887,487.59515380859375,-0.004086114512756467,0.3,0.00056566694,0.0,0.0003,280,-2.5500107526779177
30,-502.3421052631579,1068,7,200.0,7680,2016.84375,0.0034119486808776855,832.4830322265625,-0.005519089614972472,0.3,0.0024327077,0.0,0.0003,290,-2.534112048149109
31,-501.94871794871796,1068,7,200.0,7936,856.562857055664,-0.259052038192749,310.8409423828125,-0.0016158793587237597,0.3,0.00061326125,0.0,0.0003,300,-2.5192153215408326
