time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/learning_rate
3,200.0,768,-173.33333333333334,713,1,0.0,223.88990783691406,0.0009946888,420,-0.018727898597717285,0.3,-0.0022199124796316028,835.7387649536133,-2.3112407088279725,0.0003
4,200.0,1024,-182.0,660,1,0.0,909.6324462890625,0.00031046593,430,0.023981332778930664,0.3,-0.0032911655260249974,1955.226806640625,-2.3811489582061767,0.0003
5,200.0,1280,-225.0,642,1,0.0,402.7965393066406,0.0001338427,440,0.3435640335083008,0.3,-0.0012595728621818125,710.8193359375,-2.3652524948120117,0.0003
6,200.0,1536,-255.71428571428572,644,2,0.0,121.81182861328125,0.0020756843,450,0.06197077035903931,0.3,-0.006594566605053842,255.04997711181642,-2.3539963245391844,0.0003
7,200.0,1792,-256.25,654,2,0.0,150.2022247314453,0.0005487038,460,0.07150435447692871,0.3,-0.0014908803626894952,278.8721305847168,-2.297023522853851,0.0003
8,200.0,2048,-263.0,657,3,0.0,240.39476013183594,0.0005093927,470,0.3564673662185669,0.3,-0.002336853090673685,700.1402816772461,-2.3119880318641663,0.0003
9,200.0,2304,-292.72727272727275,661,3,0.0,394.115478515625,0.0008137417,480,0.2504881024360657,0.3,-0.004603337799198926,1037.5101959228516,-2.3133460760116575,0.0003
10,200.0,2560,-285.8333333333333,666,3,0.0,87.06118774414062,0.0014880346,490,2.2172927856445312e-05,0.3,-0.003884047584142536,205.39122314453124,-2.3492032527923583,0.0003
11,200.0,2816,-317.85714285714283,668,4,0.0,322.6534118652344,0.00024279277,500,-0.02784132957458496,0.3,0.0002972257090732455,1029.2425903320313,-2.312511885166168,0.0003
12,200.0,3072,-317.3333333333333,670,4,0.0,143.07208251953125,0.00029465673,510,-0.5590735673904419,0.3,-0.0016727143549360335,336.8241683959961,-2.2617011308670043,0.0003
13,200.0,3328,-311.875,674,4,0.0,66.14075469970703,0.003331452,520,-0.5004401206970215,0.3,-0.004852254176512361,151.144580078125,-2.2857987880706787,0.0003
14,200.0,3584,-317.05882352941177,677,5,0.0796875,571.7672119140625,0.021895103,530,1.6689300537109375e-06,0.3,-0.009025705372914672,1116.085385131836,-2.193851184844971,0.0003
15,200.0,3840,-325.7894736842105,679,5,0.00078125,176.88934326171875,0.0034102576,540,5.245208740234375e-06,0.3,-0.002296712901443243,326.74999313354493,-2.2273887515068056,0.0003
16,200.0,4096,-330.0,682,6,0.001953125,110.55237579345703,0.0059713265,550,-0.00045108795166015625,0.3,-0.008036367362365127,218.8772850036621,-2.2631900906562805,0.0003
17,200.0,4352,-332.3809523809524,684,6,0.0,26.105728149414062,0.010982031,560,0.0007458329200744629,0.3,-0.010971465986222029,57.20289211273193,-2.328909933567047,0.0003
18,200.0,4608,-336.95652173913044,685,6,0.094140625,643.56591796875,0.025640227,570,3.4570693969726562e-06,0.3,-0.020825620833784343,1383.6756744384766,-2.361049771308899,0.0003
19,200.0,4864,-325.8333333333333,683,7,0.0,66.84783172607422,0.0031531188,580,5.900859832763672e-06,0.3,-0.005844255280680955,148.4282371520996,-2.307729721069336,0.0003
20,200.0,5120,-309.2,684,7,0.0,588.688232421875,0.001190871,590,-0.00011014938354492188,0.3,-0.0025750662898644805,877.5745819091796,-2.3013965606689455,0.0003
21,200.0,5376,-316.15384615384613,684,7,0.0,796.9393310546875,0.0012096725,600,0.00125962495803833,0.3,-0.004187736893072724,1631.0512939453124,-2.3222774386405947,0.0003
