time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/n_updates,train/entropy_loss,train/loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/clip_range,train/explained_variance
2,891,2048,1,200.0,-747.4,,,,,,,,,,
5,714,4096,2,200.0,-640.75,-0.007423879917041631,4670.208698272705,10,-2.482188367843628,1895.9730224609375,0.0067569492,0.0003,0.0080078125,0.2,0.0018340349197387695
9,663,6144,3,200.0,-638.8666666666667,-0.008283789156848798,4250.512648773193,20,-2.467221535742283,1793.837646484375,0.009893578,0.0003,0.0189453125,0.2,0.027460336685180664
12,633,8192,4,200.0,-624.875,-0.008752987091429531,3789.1095954895018,30,-2.4398522049188616,2160.58984375,0.008567659,0.0003,0.035888671875,0.2,0.15424597263336182
16,618,10240,5,200.0,-591.9019607843137,-0.009468727248895447,3662.8878410339357,40,-2.408544859290123,1832.9769287109375,0.011434773,0.0003,0.043994140625,0.2,0.22001707553863525
2,878,2048,1,200.0,-1258.0,-0.007796942090499215,2898.297986602783,50,-2.3928861297667026,959.2826538085938,0.010208343,0.0003,0.034814453125,0.2,0.25281578302383423
5,708,4096,2,200.0,-1230.5,-0.005222879092616495,10461.846308898927,10,-2.483578500896692,4617.07763671875,0.0032145504,0.0003,0.003173828125,0.2,0.0006501078605651855
9,672,6144,3,200.0,-1150.0,-0.009713668542099185,10644.65161743164,20,-2.4740695990622044,4906.28515625,0.008313136,0.0003,0.024658203125,0.2,-1.537799835205078e-05
12,650,8192,4,200.0,-1141.25,-0.01312327607156476,8038.002619934082,30,-2.4502671800553797,3192.083251953125,0.010410324,0.0003,0.069140625,0.2,-1.049041748046875e-05
15,641,10240,5,200.0,-1099.8039215686274,-0.011835633494774811,7809.205416870117,40,-2.4222779661417007,3362.393310546875,0.0123756025,0.0003,0.0806640625,0.2,-4.5299530029296875e-06
2,922,2048,1,200.0,-416.1,-0.009741753753041848,7072.079986572266,50,-2.3916484035551546,4325.60546875,0.013279574,0.0003,0.0646484375,0.2,-2.384185791015625e-06
5,730,4096,2,200.0,-422.3,-0.00981791240919847,1695.7325790405273,60,-2.373051254451275,715.5957641601562,0.009880731,0.0003,0.077978515625,0.2,0.3465343117713928
9,664,6144,3,200.0,-400.3333333333333,-0.007426563968328992,1505.8451528549194,70,-2.376690194755793,409.1582336425781,0.008765124,0.0003,0.04150390625,0.2,0.2509668469429016
12,643,8192,4,200.0,-402.625,-0.009426693810382858,1747.8974292755126,80,-2.3375929579138757,1796.9481201171875,0.008954313,0.0003,0.0353515625,0.2,0.1824691891670227
