time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/explained_variance,train/loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/learning_rate,train/n_updates,train/entropy_loss
37,-340.468085106383,1000,9,200.0,9472,287.6379505157471,0.1180034875869751,192.89712524414062,-0.0011357462615706026,0.3,0.0003183866,0.0,0.0003,360,-2.2610860109329223
38,-343.7291666666667,1001,9,200.0,9728,1095.134051513672,-0.09551835060119629,663.656982421875,-0.0013867059256881475,0.3,0.00023586256,0.0,0.0003,370,-2.2283185720443726
39,-349.0408163265306,1000,9,200.0,9984,727.6605682373047,-0.004743337631225586,370.91607666015625,0.0003270746674388647,0.3,0.00013520103,0.0,0.0003,380,-2.2593544483184815
40,-353.3921568627451,999,10,200.0,10240,686.6003051757813,0.0021991729736328125,365.3143310546875,-0.0012454435229301453,0.3,0.0001157315,0.0,0.0003,390,-2.2287956714630126
1,-391.0,1336,0,200.0,256,506.38492279052736,0.0015091896057128906,265.7412414550781,-0.0006450195796787739,0.3,7.580686e-05,0.0,0.0003,400,-2.2469377279281617
2,-417.0,1165,0,200.0,512,504.3132781982422,0.001130223274230957,229.168212890625,-0.016145223239436745,0.3,0.01863151,0.021484375,0.0003,410,-2.3728075981140138
3,-374.6666666666667,1134,0,200.0,768,504.3790313720703,0.002536594867706299,255.13958740234375,-0.00816909447312355,0.3,0.006051398,0.0,0.0003,420,-2.320729434490204
4,-341.0,1100,0,200.0,1024,229.12322921752929,0.00072479248046875,105.8232421875,-0.023850266425870358,0.3,0.04415758,0.08046875,0.0003,430,-2.2289023280143736
5,-344.6666666666667,1082,1,200.0,1280,261.88719177246094,-0.30129241943359375,101.2833480834961,-0.005903191049583256,0.3,0.029573826,0.02890625,0.0003,440,-2.2020485401153564
6,-343.57142857142856,1070,1,200.0,1536,499.6178344726562,-0.0007467269897460938,286.57818603515625,-0.013691284880042075,0.3,0.039333984,0.136328125,0.0003,450,-2.214143490791321
7,-336.375,1075,1,200.0,1792,307.03857650756834,-0.0013054609298706055,114.91889953613281,-0.015055014565587044,0.3,0.015881032,0.039453125,0.0003,460,-2.2206228971481323
8,-322.1,1070,1,200.0,2048,353.7685577392578,-0.00660395622253418,189.35169982910156,-0.001540573569945991,0.3,0.0018482956,0.0,0.0003,470,-2.290782392024994
9,-319.3636363636364,1062,2,200.0,2304,1021.8799652099609,0.0008015036582946777,567.1990966796875,-0.009581195982173085,0.3,0.004957841,0.00390625,0.0003,480,-2.3167668700218202
10,-321.5,1059,2,200.0,2560,203.07262802124023,-0.001156449317932129,87.35796356201172,-0.022631620010361075,0.3,0.022162665,0.022265625,0.0003,490,-2.3313387989997865
11,-324.2857142857143,1030,2,200.0,2816,311.76562576293946,-3.516674041748047e-05,170.14463806152344,-0.007690609595738351,0.3,0.006441905,0.011328125,0.0003,500,-2.231101763248444
12,-326.46666666666664,1027,2,200.0,3072,248.9033576965332,-6.783008575439453e-05,110.02864074707031,-0.02156650193501264,0.3,0.030821927,0.06953125,0.0003,510,-2.297662878036499
13,-321.5625,1024,3,200.0,3328,428.40330810546874,1.531839370727539e-05,204.01463317871094,-0.016315137688070535,0.3,0.017286351,0.03671875,0.0003,520,-2.2298091769218447
14,-315.5882352941176,1023,3,200.0,3584,277.32694854736326,-3.5762786865234375e-07,113.27661895751953,-0.005966745456680656,0.3,0.0034761284,0.0,0.0003,530,-2.2795228004455566
15,-318.1578947368421,1020,3,200.0,3840,990.2606536865235,-3.0994415283203125e-06,524.7230224609375,-0.030261547234840692,0.3,0.059670184,0.259375,0.0003,540,-2.3320877075195314
16,-318.7,1017,4,200.0,4096,490.707763671875,-4.8041343688964844e-05,217.17120361328125,-0.020180768566206098,0.3,0.03117568,0.251953125,0.0003,550,-2.255824291706085
17,-321.6190476190476,1012,4,200.0,4352,320.00489273071287,1.6808509826660156e-05,178.37310791015625,0.006859411206096411,0.3,0.0063119894,0.0109375,0.0003,560,-2.2855621457099913
18,-323.6521739130435,1006,4,200.0,4608,268.9834808349609,4.172325134277344e-07,94.0130615234375,-0.006506207119673491,0.3,0.004473286,0.0,0.0003,570,-2.310239624977112
19,-326.375,1005,4,200.0,4864,315.9620765686035,1.0132789611816406e-06,169.65304565429688,-0.0037509850692003964,0.3,0.0024862203,0.0,0.0003,580,-2.2501973628997805
20,-326.88,1003,5,200.0,5120,398.19515533447264,-8.344650268554688e-07,239.09742736816406,-0.008987567527219653,0.3,0.0045456355,0.0,0.0003,590,-2.1696072459220885
21,-319.15384615384613,999,5,200.0,5376,1142.8355712890625,1.5497207641601562e-06,492.2597961425781,-0.006566223036497831,0.3,0.0040077316,0.0,0.0003,600,-2.2484079718589784
22,-311.9642857142857,999,5,200.0,5632,363.3142883300781,6.258487701416016e-06,217.02005004882812,-0.003445477900095284,0.3,0.0020055743,0.0,0.0003,610,-2.227042353153229
23,-306.7586206896552,1000,5,200.0,5888,1187.3088409423829,2.562999725341797e-06,722.03466796875,-0.0018576795235276222,0.3,0.0007150662,0.0,0.0003,620,-2.3001189470291137
24,-300.93333333333334,999,6,200.0,6144,1059.730450439453,1.5556812286376953e-05,445.7001953125,-0.020376855367794634,0.3,0.022557553,0.041015625,0.0003,630,-2.220306360721588
25,-300.625,998,6,200.0,6400,1783.2494812011719,1.3589859008789062e-05,796.7937622070312,-0.0024069013074040414,0.3,0.007858533,0.0,0.0003,640,-2.23578599691391
26,-303.3636363636364,998,6,200.0,6656,450.8983612060547,6.854534149169922e-06,253.8560028076172,-0.0022949296282604335,0.3,0.00036260136,0.0,0.0003,650,-2.260868585109711
27,-306.70588235294116,997,6,200.0,6912,503.145442199707,1.0132789611816406e-06,242.6378173828125,-0.0030598966404795647,0.3,0.0005875062,0.0,0.0003,660,-2.2406994342803954
28,-304.0857142857143,995,7,200.0,7168,1097.035726928711,3.039836883544922e-06,451.0575866699219,-0.005448290146887302,0.3,0.0070881424,0.0,0.0003,670,-2.239802587032318
29,-306.1621621621622,994,7,200.0,7424,515.7110778808594,1.1324882507324219e-06,328.0337829589844,-0.00797622143290937,0.3,0.002461707,0.0,0.0003,680,-2.2370442152023315
30,-306.07894736842104,992,7,200.0,7680,432.33851928710936,1.1444091796875e-05,193.3221893310547,-0.012784023256972431,0.3,0.010633662,0.0125,0.0003,690,-2.2105705380439757
31,-308.35897435897436,991,8,200.0,7936,343.43713607788084,-4.291534423828125e-06,136.96343994140625,-0.010569610912352801,0.3,0.009679983,0.0,0.0003,700,-2.0691306352615357
32,-307.9,990,8,200.0,8192,328.2612060546875,-2.9087066650390625e-05,156.45773315429688,-0.005645569879561663,0.3,0.0075767417,0.0,0.0003,710,-2.0148243248462676
