time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/policy_gradient_loss,train/clip_range,train/loss,train/n_updates,train/value_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/entropy_loss,train/explained_variance
36,9,428.69565217391306,200.0,9216,946,-0.0027753704693168403,0.3,11479.6513671875,350,16795.69150390625,0.001488969,0.0,0.0003,-2.0550362348556517,-0.0024051666259765625
37,10,432.7659574468085,200.0,9472,946,4.113470204174519e-05,0.3,4083.104248046875,360,9362.722680664063,0.0023381507,0.0,0.0003,-2.093535304069519,0.00694960355758667
38,10,433.125,200.0,9728,945,-0.003213398531079292,0.3,9347.5673828125,370,18113.521899414063,0.0017391667,0.0,0.0003,-2.081776475906372,0.010206282138824463
39,10,431.6326530612245,200.0,9984,945,-0.0016726572765037417,0.3,4674.8447265625,380,9017.417028808593,0.00082576694,0.0,0.0003,-2.059166193008423,0.011627256870269775
40,10,436.27450980392155,200.0,10240,945,-0.0013292842078953982,0.3,4663.24609375,390,9245.25821533203,0.00044550514,0.0,0.0003,-2.0606629133224486,0.0347522497177124
1,0,310.0,200.0,256,1172,-0.0004804473137483001,0.3,14769.41796875,400,17925.70915527344,0.00019267318,0.0,0.0003,-2.0392329692840576,0.006974577903747559
2,0,385.0,200.0,512,1045,-0.005416196561418474,0.3,15967.2626953125,10,19285.92009277344,0.0007817077,0.0,0.0003,-2.564714050292969,-4.184246063232422e-05
3,0,390.0,200.0,768,1002,-0.0036151476204395296,0.3,15800.2548828125,20,31457.012890625,0.00073227705,0.0,0.0003,-2.563513481616974,0.0009517669677734375
4,1,288.0,200.0,1024,983,-0.0014176353812217712,0.3,203.4542694091797,30,449.31837005615233,0.00025082962,0.0,0.0003,-2.562563967704773,-0.03513658046722412
5,1,323.3333333333333,200.0,1280,985,-0.0018595113418996335,0.3,14801.8828125,40,19208.2283203125,0.000195269,0.0,0.0003,-2.5623099565505982,0.0037821531295776367
6,1,241.42857142857142,200.0,1536,986,-0.0023093426832929255,0.3,3870.302001953125,50,19140.00048828125,0.00030212663,0.0,0.0003,-2.56045423746109,-0.0008199214935302734
7,1,310.0,200.0,1792,981,-0.0038735489826649426,0.3,450.20208740234375,60,890.0575561523438,0.00068820757,0.0,0.0003,-2.5585877895355225,0.00799405574798584
8,2,388.0,200.0,2048,974,-0.0019196232315152884,0.3,23794.953125,70,44339.3103515625,0.0003276514,0.0,0.0003,-2.5537835240364073,0.006988942623138428
9,2,396.3636363636364,200.0,2304,971,-0.0013942981720902025,0.3,13581.9404296875,80,31470.00791015625,0.00011190632,0.0,0.0003,-2.5540167570114134,0.00472646951675415
10,2,405.8333333333333,200.0,2560,970,-0.0049143627285957335,0.3,10323.7080078125,90,19142.471630859374,0.0013153823,0.0,0.0003,-2.5507084488868714,0.0028854012489318848
11,2,359.2857142857143,200.0,2816,963,-0.006723424745723605,0.3,795.7964477539062,100,1736.501318359375,0.0019158891,0.0,0.0003,-2.545677351951599,-0.01038503646850586
12,3,368.0,200.0,3072,966,-0.004495951347053051,0.3,8200.109375,110,19623.834326171876,0.0010625832,0.0,0.0003,-2.5410507798194883,0.015453219413757324
13,3,316.25,200.0,3328,966,-0.0026773810619488358,0.3,9415.501953125,120,12714.283850097656,0.00062620104,0.0,0.0003,-2.5330449461936952,0.002722620964050293
14,3,271.7647058823529,200.0,3584,967,-0.005988203641027212,0.3,231.47100830078125,130,512.5160339355468,0.0013001002,0.0,0.0003,-2.527599024772644,-0.0414658784866333
15,3,303.1578947368421,200.0,3840,967,-0.003927760850638151,0.3,9644.8916015625,140,16914.9041015625,0.0012451743,0.0,0.0003,-2.520920157432556,0.009466111660003662
16,4,308.0,200.0,4096,965,-0.0011480387271149083,0.3,12605.099609375,150,36445.712890625,0.00048674294,0.0,0.0003,-2.5121374487876893,0.0071942806243896484
17,4,331.9047619047619,200.0,4352,964,-0.0028557109646499155,0.3,7099.033203125,160,18444.563354492188,0.00059186853,0.0,0.0003,-2.506579375267029,0.03170555830001831
18,4,308.69565217391306,200.0,4608,964,-0.005902390717528761,0.3,9374.353515625,170,18776.374267578125,0.0025617143,0.0,0.0003,-2.4956536173820494,-0.0007871389389038086
19,5,275.0,200.0,4864,962,-0.0040310566080734135,0.3,559.6002197265625,180,1411.067575073242,0.0012780868,0.0,0.0003,-2.4897454738616944,0.02809762954711914
20,5,278.4,200.0,5120,961,-0.002061681658960879,0.3,497.0701904296875,190,9746.88815612793,0.00074454956,0.0,0.0003,-2.4869025588035583,0.023068368434906006
21,5,290.7692307692308,200.0,5376,961,-0.0009605404920876026,0.3,5468.7216796875,200,17413.3181640625,0.000398546,0.0,0.0003,-2.4660555958747863,0.030992448329925537
22,5,326.7857142857143,200.0,5632,960,-0.0020602517295628788,0.3,12217.845703125,210,19393.595629882813,0.00043708272,0.0,0.0003,-2.4726771473884583,0.030874133110046387
23,6,331.37931034482756,200.0,5888,960,-0.0025601687375456095,0.3,12025.505859375,220,19734.646826171876,0.0005387736,0.0,0.0003,-2.466194748878479,-0.013871908187866211
24,6,342.3333333333333,200.0,6144,959,-0.002646983345039189,0.3,18852.919921875,230,39123.329296875,0.00083644013,0.0,0.0003,-2.468324899673462,0.004575788974761963
25,6,352.5,200.0,6400,957,-0.0024224573746323584,0.3,12657.927734375,240,20086.93271484375,0.0005238021,0.0,0.0003,-2.4641593217849733,-0.019457459449768066
26,6,366.06060606060606,200.0,6656,956,-0.009020468010567129,0.3,7964.59765625,250,12237.258654785157,0.0041586785,0.000390625,0.0003,-2.449622964859009,0.00045228004455566406
27,7,370.0,200.0,6912,954,-0.009197728428989648,0.3,7742.92822265625,260,21036.93974609375,0.0039613564,0.0,0.0003,-2.435761260986328,0.0007971525192260742
28,7,375.7142857142857,200.0,7168,954,-0.0018955052830278874,0.3,15763.8515625,270,37493.36923828125,0.0012687484,0.0,0.0003,-2.3984285593032837,0.0023796558380126953
29,7,384.3243243243243,200.0,7424,953,-0.0024760363332461564,0.3,9976.1923828125,280,19795.7318359375,0.00071383314,0.0,0.0003,-2.4140360951423645,0.0017131567001342773
30,8,390.0,200.0,7680,952,-0.005541470786556602,0.3,6069.70556640625,290,19864.21640625,0.0029755041,0.0,0.0003,-2.3735244393348696,0.002187073230743408
31,8,395.12820512820514,200.0,7936,951,-0.010209927358664573,0.3,14238.505859375,300,28303.09619140625,0.0061164685,0.0,0.0003,-2.3396875619888307,0.0017625689506530762
32,8,399.0,200.0,8192,950,-0.007312278030440211,0.3,10340.30859375,310,18456.33010253906,0.005240595,0.0,0.0003,-2.2969815492630006,0.009705185890197754
33,8,405.95238095238096,200.0,8448,948,-0.0004583100788295269,0.3,9580.2021484375,320,19830.9974609375,0.0008079163,0.0,0.0003,-2.234322261810303,-0.008938193321228027
34,9,412.5581395348837,200.0,8704,947,-0.0039234385592862965,0.3,15269.0849609375,330,34464.958984375,0.0007749698,0.0,0.0003,-2.2043641448020934,0.015120446681976318
35,9,416.59090909090907,200.0,8960,947,-0.003022707160562277,0.3,10565.3525390625,340,16230.701220703126,0.0013301601,0.0,0.0003,-2.25485520362854,0.035857319831848145
36,9,418.04347826086956,200.0,9216,947,0.0008000021567568183,0.3,11945.1787109375,350,19048.001049804687,0.00053828163,0.0,0.0003,-2.290684163570404,0.05520349740982056
37,9,399.36170212765956,200.0,9472,947,-0.0019437362556345762,0.3,7396.95361328125,360,19557.824853515624,0.0005902671,0.0,0.0003,-2.266507077217102,0.02951812744140625
38,10,401.25,200.0,9728,947,-0.003022939129732549,0.3,142.1880645751953,370,379.2772506713867,0.00089779054,0.0,0.0003,-2.2742544054985045,-0.2711235284805298
39,10,404.2857142857143,200.0,9984,946,-0.0004655525088310242,0.3,9757.01953125,380,31092.007958984374,0.00071641617,0.0,0.0003,-2.214543914794922,0.017179012298583984
40,10,409.80392156862746,200.0,10240,944,-0.0023245960008352997,0.3,11121.2197265625,390,14875.134118652344,0.0005625605,0.0,0.0003,-2.221775531768799,0.06379711627960205
1,0,620.0,200.0,256,1116,0.0003620774019509554,0.3,12916.92578125,400,37189.00703125,0.00023755594,0.0,0.0003,-2.2146492481231688,0.05030238628387451
2,0,560.0,200.0,512,992,-0.0005837360862642526,0.3,14783.8056640625,410,17364.46760253906,0.00014337059,0.0,0.0003,-2.0244216918945312,0.03288227319717407
3,0,663.3333333333334,200.0,768,957,-0.0030894383788108827,0.3,4732.38720703125,420,8886.020025634765,0.0018559278,0.0,0.0003,-2.000105005502701,0.014959752559661865
4,1,634.0,200.0,1024,938,-0.0033465153770521282,0.3,2260.172119140625,430,9369.337609863282,0.0024689052,0.0,0.0003,-1.9588262856006622,5.543231964111328e-06
5,1,630.0,200.0,1280,930,-0.00204989998601377,0.3,8903.513671875,440,17412.70895996094,0.0011729482,0.0,0.0003,-1.9256449460983276,0.027170300483703613
6,1,631.4285714285714,200.0,1536,926,-0.0024242834420874714,0.3,6384.61669921875,450,8723.94155883789,0.0013636921,0.0,0.0003,-1.9516251385211945,0.04975658655166626
7,1,630.0,200.0,1792,925,-0.002537088585086167,0.3,8915.580078125,460,9276.980627441406,0.0010917292,0.0,0.0003,-1.8963307917118073,-0.026694297790527344
