time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/n_updates,train/entropy_loss,train/loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/clip_range,train/explained_variance
2,836,2048,1,200.0,-666.0,,,,,,,,,,
5,686,4096,2,200.0,-558.5,-0.008023962909646798,4101.743224334717,10,-2.4817290298640726,1590.02685546875,0.0077817407,0.0003,0.011328125,0.2,0.0018053650856018066
9,644,6144,3,200.0,-546.3333333333334,-0.008405810853582807,3446.1592308044433,20,-2.464436163753271,1553.0919189453125,0.010334376,0.0003,0.03720703125,0.2,0.1424732804298401
13,623,8192,4,200.0,-553.5,-0.014517480540962423,3577.2507751464846,30,-2.4304000310599805,2089.64501953125,0.013176102,0.0003,0.104443359375,0.2,0.16492938995361328
16,604,10240,5,200.0,-541.1764705882352,-0.007433678176312242,2673.906904220581,40,-2.4089482173323633,1401.8193359375,0.011552475,0.0003,0.046630859375,0.2,0.35909056663513184
2,840,2048,1,200.0,-1176.0,-0.009913944224535953,2477.2241550445556,50,-2.3997579634189607,949.349853515625,0.01163714,0.0003,0.06015625,0.2,0.27596861124038696
5,682,4096,2,200.0,-1192.5,-0.005549224451533519,9518.97127380371,10,-2.4834182344377043,4192.2216796875,0.004316193,0.0003,0.0005859375,0.2,0.0005689263343811035
9,640,6144,3,200.0,-1136.0,-0.006073559301148635,10250.254504394532,20,-2.476889522373676,4713.40478515625,0.005717019,0.0003,0.004345703125,0.2,-3.0279159545898438e-05
13,625,8192,4,200.0,-1137.5,-0.011280379416712094,7715.6643737792965,30,-2.456977166235447,3850.1962890625,0.010980943,0.0003,0.060498046875,0.2,-1.3232231140136719e-05
16,613,10240,5,200.0,-1092.1568627450981,-0.01299460211484984,7773.823822021484,40,-2.436226462572813,3366.31494140625,0.013538913,0.0003,0.06865234375,0.2,-3.5762786865234375e-06
2,905,2048,1,200.0,-232.0,-0.009873935362702469,6030.7755722045895,50,-2.4093927405774593,3076.0166015625,0.009347019,0.0003,0.0720703125,0.2,-1.430511474609375e-06
5,711,4096,2,200.0,-296.5,-0.008027522948395927,1685.573677444458,60,-2.378723432868719,799.429443359375,0.009303701,0.0003,0.034765625,0.2,0.2662091851234436
9,666,6144,3,200.0,-281.3333333333333,-0.010300975247082534,1599.2418975830078,70,-2.3478088185191153,578.629150390625,0.011415947,0.0003,0.0708984375,0.2,0.36073702573776245
12,642,8192,4,200.0,-266.5,-0.0052717165177455175,1413.8648307800293,80,-2.328859083354473,706.1472778320312,0.008571075,0.0003,0.035595703125,0.2,0.25526678562164307
16,628,10240,5,200.0,-282.7450980392157,-0.01291263706953032,1705.5075479507445,90,-2.2762812457978727,912.974365234375,0.012663845,0.0003,0.105126953125,0.2,0.3805837035179138
2,895,2048,1,200.0,-910.0,-0.010102889651898294,1418.2989698410033,100,-2.2866705015301703,684.0857543945312,0.011724786,0.0003,0.0923828125,0.2,0.2553228735923767
5,707,4096,2,200.0,-855.0,-0.011372219299664721,5751.371987915039,60,-2.3976414650678635,3259.531494140625,0.0126925735,0.0003,0.09580078125,0.2,-2.0265579223632812e-06
9,645,6144,3,200.0,-856.3333333333334,-0.011197234032442794,5489.523182678223,70,-2.387790971249342,2433.159423828125,0.011512722,0.0003,0.048046875,0.2,-1.7881393432617188e-06
13,618,8192,4,200.0,-847.75,-0.010736562676902395,5551.08674621582,80,-2.3594754159450533,2851.139892578125,0.009149576,0.0003,0.08017578125,0.2,-1.9073486328125e-06
16,606,10240,5,200.0,-812.3529411764706,-0.014723837457131595,4408.422063446045,90,-2.2667137913405897,2365.464599609375,0.012594035,0.0003,0.113134765625,0.2,-1.0728836059570312e-06
2,838,2048,1,200.0,-201.0,-0.009184089928749018,4027.256201171875,100,-2.242343308776617,1898.7301025390625,0.00981828,0.0003,0.06357421875,0.2,-7.152557373046875e-07
6,650,4096,2,200.0,-179.5,-0.01096077150432393,2154.6485019683837,110,-2.324539256840944,638.6031494140625,0.011469264,0.0003,0.077392578125,0.2,0.24813789129257202
9,617,6144,3,200.0,-194.66666666666666,-0.00896551311161602,2130.701013374329,120,-2.3145282469689845,769.6845092773438,0.009736264,0.0003,0.042041015625,0.2,0.26759326457977295
13,602,8192,4,200.0,-211.5,-0.00815643953392282,1455.5963037490844,130,-2.322576363384724,901.0206298828125,0.009197386,0.0003,0.051025390625,0.2,0.2898724675178528
17,590,10240,5,200.0,-184.11764705882354,-0.005856071900052484,1496.3079513549806,140,-2.311963737010956,655.8040771484375,0.00838244,0.0003,0.033935546875,0.2,0.3026338219642639
2,865,2048,1,200.0,-662.0,-0.0055837024963693695,1566.094744491577,150,-2.277924195677042,898.4395751953125,0.0065039587,0.0003,0.02919921875,0.2,0.41711199283599854
6,675,4096,2,200.0,-644.5,-0.01080086432339158,4181.717375183105,110,-2.1993028335273266,1672.4857177734375,0.01094464,0.0003,0.08916015625,0.2,-5.960464477539062e-07
9,635,6144,3,200.0,-596.3333333333334,-0.012732930778292939,4048.0251335144044,120,-2.1552046865224836,1515.48828125,0.010150633,0.0003,0.10263671875,0.2,-4.76837158203125e-07
13,613,8192,4,200.0,-610.75,-0.0025590267934603615,4039.002114868164,130,-2.170911744236946,2227.5244140625,0.013017023,0.0003,0.18818359375,0.2,-3.5762786865234375e-07
16,606,10240,5,200.0,-632.5490196078431,-0.007797478984866757,3612.073538208008,140,-2.184165828675032,1927.984130859375,0.0062910644,0.0003,0.02158203125,0.2,-1.1920928955078125e-07
2,918,2048,1,200.0,-193.0,-0.007724772763322107,4699.503633880615,150,-2.1658730559051036,2020.353759765625,0.009475725,0.0003,0.02001953125,0.2,-2.384185791015625e-07
5,719,4096,2,200.0,-90.0,-0.005097877455409616,2506.7786670684814,160,-2.2829058609902857,1415.3851318359375,0.008882815,0.0003,0.02236328125,0.2,0.15617084503173828
9,664,6144,3,200.0,-116.0,-0.006776297935721232,2558.6353343963624,170,-2.2938502229750157,1020.1956787109375,0.008297516,0.0003,0.0240234375,0.2,0.43290776014328003
