time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/loss
1,-1420.0,1067,200.0,0,256,,,,,,,,,,
2,-1470.0,1060,200.0,0,512,-0.0055880362400785085,5280.507641601563,0.0,0.3,-0.0007899999618530273,0.0003,0.00073338114,10,-2.56469464302063,2364.865234375
3,-1273.3333333333333,1072,200.0,0,768,-0.0030160191003233195,5085.23505859375,0.0,0.3,0.0022212862968444824,0.0003,0.0004513522,20,-2.5634836077690126,2517.666015625
4,-1222.0,1085,200.0,0,1024,-0.0036445770645514132,3461.5641845703126,0.0,0.3,0.0012990832328796387,0.0003,0.00045257597,30,-2.5629202246665956,1435.41064453125
5,-1230.0,1069,200.0,1,1280,-0.001834371662698686,2958.81328125,0.0,0.3,0.0007104873657226562,0.0003,0.00027034432,40,-2.561275589466095,1587.42919921875
6,-1254.2857142857142,1064,200.0,1,1536,-0.0014136955549474805,5943.23955078125,0.0,0.3,0.0014998912811279297,0.0003,0.00010923343,50,-2.560794270038605,3071.81005859375
7,-1243.75,1064,200.0,1,1792,-0.004330301051959395,3328.2562255859375,0.0,0.3,0.00027942657470703125,0.0003,0.00041314703,60,-2.559764862060547,1724.7540283203125
8,-1226.0,1066,200.0,1,2048,-0.0036960049998015164,3525.0526733398438,0.0,0.3,-0.00020492076873779297,0.0003,0.00055134716,70,-2.5585964918136597,1736.2236328125
9,-1206.3636363636363,1070,200.0,2,2304,-0.002461706334725022,4071.5070678710936,0.0,0.3,-3.314018249511719e-05,0.0003,0.00027421257,80,-2.5566649794578553,1995.7373046875
10,-1154.1666666666667,1073,200.0,2,2560,-0.0034010103903710843,2653.6481323242188,0.0,0.3,-0.0002568960189819336,0.0003,0.0005108069,90,-2.554871141910553,1129.1346435546875
11,-1129.2857142857142,1076,200.0,2,2816,-0.0075099268462508915,4372.8101806640625,0.0,0.3,-8.118152618408203e-05,0.0003,0.0013135129,100,-2.5545492291450502,2475.51904296875
12,-1134.6666666666667,1078,200.0,2,3072,-0.0032498238841071727,3275.0347900390625,0.0,0.3,7.68899917602539e-06,0.0003,0.0008358024,110,-2.551617383956909,1810.29541015625
13,-1135.625,1080,200.0,3,3328,-0.001526698749512434,5915.9854736328125,0.0,0.3,-5.543231964111328e-05,0.0003,0.0001778875,120,-2.5478496313095094,2745.645263671875
14,-1147.0588235294117,1082,200.0,3,3584,-0.0020380923058837654,3772.8660888671875,0.0,0.3,-5.125999450683594e-06,0.0003,0.00015798071,130,-2.547500419616699,1946.2659912109375
15,-1117.3684210526317,1083,200.0,3,3840,-0.005308825802057981,2874.3663330078125,0.0,0.3,-8.022785186767578e-05,0.0003,0.0008762027,140,-2.543149971961975,1406.369873046875
16,-1108.0,1084,200.0,3,4096,-0.004563810594845563,2672.789196777344,0.0,0.3,7.092952728271484e-06,0.0003,0.0010038924,150,-2.5402340292930603,1189.613525390625
17,-1119.047619047619,1084,200.0,4,4352,-0.004032376920804381,3625.8170776367188,0.0,0.3,-4.4345855712890625e-05,0.0003,0.0009934523,160,-2.531891441345215,1778.1376953125
18,-1139.1304347826087,1084,200.0,4,4608,-0.002352752909064293,4734.992431640625,0.0,0.3,2.5510787963867188e-05,0.0003,0.0004699768,170,-2.525542652606964,2415.57861328125
19,-1131.6666666666667,1084,200.0,4,4864,-0.0014886457938700914,3378.8574096679686,0.0,0.3,-3.886222839355469e-05,0.0003,0.0003107579,180,-2.5170262813568116,1587.567626953125
20,-1132.4,1084,200.0,4,5120,-0.002322828001342714,4165.2703125,0.0,0.3,1.1920928955078125e-07,0.0003,0.00034849555,190,-2.5173920154571534,2188.032470703125
21,-1135.3846153846155,1085,200.0,4,5376,-0.003908310597762465,3466.3111206054687,0.0,0.3,-2.002716064453125e-05,0.0003,0.00084189954,200,-2.5140177726745607,1824.073486328125
22,-1117.857142857143,1085,200.0,5,5632,-0.013001938653178512,4061.4238403320314,0.0,0.3,-2.9325485229492188e-05,0.0003,0.0046232156,210,-2.49953852891922,1636.258056640625
23,-1131.0344827586207,1086,200.0,5,5888,-0.00414749844931066,2799.6205078125,0.0,0.3,-8.463859558105469e-06,0.0003,0.0028392319,220,-2.4533957481384276,1316.1629638671875
24,-1120.0,1088,200.0,5,6144,-0.0014867213176330552,4324.4654541015625,0.0,0.3,-1.1801719665527344e-05,0.0003,0.00053239195,230,-2.438909447193146,2025.0211181640625
25,-1102.8125,1089,200.0,5,6400,-0.009337472077459098,2964.608203125,0.0,0.3,-8.404254913330078e-05,0.0003,0.0029533887,240,-2.4337400913238527,1483.63916015625
26,-1098.1818181818182,1090,200.0,6,6656,-0.01192936864681542,2847.8818115234376,0.0,0.3,-7.271766662597656e-06,0.0003,0.014049994,250,-2.3511526465415953,1673.8333740234375
27,-1102.0588235294117,1091,200.0,6,6912,-0.013898063590750099,2725.139501953125,0.0,0.3,-2.2172927856445312e-05,0.0003,0.0124953985,260,-2.2512967944145204,1387.2584228515625
28,-1080.857142857143,1092,200.0,6,7168,-0.0031109348172321917,2757.285290527344,0.0,0.3,-5.125999450683594e-06,0.0003,0.0016531835,270,-2.154464876651764,1294.5751953125
29,-1065.4054054054054,1093,200.0,6,7424,-0.009728655265644193,2020.1420593261719,0.011328125,0.3,-4.1604042053222656e-05,0.0003,0.004302619,280,-2.2222477555274964,1151.0018310546875
30,-1058.9473684210527,1094,200.0,7,7680,-0.00980114322155714,1821.232159423828,0.0,0.3,-3.993511199951172e-05,0.0003,0.0053237043,290,-2.2399516224861147,844.8934936523438
31,-1056.923076923077,1093,200.0,7,7936,-0.01020820434205234,1245.8537658691407,0.0,0.3,-3.170967102050781e-05,0.0003,0.0065449434,300,-2.2222589015960694,603.78173828125
32,-1058.75,1093,200.0,7,8192,-0.011710295826196671,1833.8919616699218,0.0,0.3,-1.728534698486328e-05,0.0003,0.01175198,310,-2.1028552889823913,864.7020874023438
33,-1035.0,1093,200.0,7,8448,-0.010763347300235182,2481.1541015625,0.0,0.3,-1.6570091247558594e-05,0.0003,0.018073918,320,-1.94022798538208,1076.046630859375
34,-1033.7209302325582,1094,200.0,7,8704,-0.005429211095906794,1959.8185485839845,0.0,0.3,-9.059906005859375e-06,0.0003,0.006542071,330,-1.857922726869583,830.9118041992188
35,-1028.6363636363637,1095,200.0,8,8960,-0.005766825564205646,1621.3472717285156,0.000390625,0.3,7.3909759521484375e-06,0.0003,0.005683454,340,-1.8483659625053406,836.5549926757812
36,-1007.1739130434783,1096,200.0,8,9216,-0.01609288846375421,2120.0471252441407,0.12890625,0.3,-1.239776611328125e-05,0.0003,0.038140733,350,-2.0162404060363768,1056.24853515625
37,-1010.6382978723404,1097,200.0,8,9472,-0.010518027399666608,2364.187921142578,0.0,0.3,9.59634780883789e-06,0.0003,0.011107434,360,-2.007121592760086,1359.0245361328125
38,-1002.5,1097,200.0,8,9728,-0.005400305823422968,2697.0645751953125,0.0,0.3,-2.0384788513183594e-05,0.0003,0.002537532,370,-1.9922700643539428,1322.06591796875
39,-999.1836734693877,1098,200.0,9,9984,-0.014262845739722252,1738.6207946777345,0.0,0.3,-8.106231689453125e-06,0.0003,0.014708102,380,-1.9393495202064515,762.6552734375
40,-985.0980392156863,1099,200.0,9,10240,0.0011208144249394536,1844.4580444335938,0.0,0.3,-1.4424324035644531e-05,0.0003,0.001805335,390,-1.8771790564060211,931.0506591796875
1,-706.0,1468,200.0,0,256,-0.003605323052033782,1691.18134765625,0.001953125,0.3,-1.1920928955078125e-07,0.0003,0.002997211,400,-1.9067236840724946,796.7467041015625
2,-617.5,1275,200.0,0,512,-0.0043277536984533075,1522.734912109375,0.0,0.3,-0.0003052949905395508,0.0003,0.0007597152,10,-2.564681601524353,757.0299682617188
3,-530.3333333333334,1207,200.0,0,768,-0.003320500091649592,1172.3728881835937,0.0,0.3,0.001300215721130371,0.0003,0.00028999592,20,-2.5641228318214417,572.2313842773438
4,-432.2,1177,200.0,0,1024,-0.006417512614279986,1621.6041076660156,0.0,0.3,-2.1457672119140625e-06,0.0003,0.0012773809,30,-2.5634625434875487,868.2664184570312
5,-417.0,1167,200.0,1,1280,-0.0024830484297126533,2000.356298828125,0.0,0.3,0.002474367618560791,0.0003,0.00049051014,40,-2.5623292207717894,965.0504150390625
6,-446.42857142857144,1159,200.0,1,1536,-0.0035319158807396887,818.671484375,0.0,0.3,-0.011668562889099121,0.0003,0.00040952,50,-2.5605592012405394,373.4966125488281
7,-440.125,1155,200.0,1,1792,-0.0017703019781038164,1166.2864532470703,0.0,0.3,-0.0002390146255493164,0.0003,0.00028140726,60,-2.5580654621124266,650.293212890625
8,-470.8,1148,200.0,1,2048,-0.002334266435354948,1316.7756103515626,0.0,0.3,-9.238719940185547e-05,0.0003,0.00018092012,70,-2.5592021226882933,777.447021484375
9,-449.6363636363636,1146,200.0,2,2304,-0.0026693254709243774,1091.1434478759766,0.0,0.3,0.0008898377418518066,0.0003,0.00027581793,80,-2.557367980480194,603.211669921875
10,-431.0833333333333,1144,200.0,2,2560,-0.0029287973884493113,1629.4785034179688,0.0,0.3,-0.00013911724090576172,0.0003,0.00056275376,90,-2.5552425622940063,866.186767578125
11,-406.7857142857143,1143,200.0,2,2816,-0.014828260848298669,1787.3639526367188,0.001171875,0.3,0.00010985136032104492,0.0003,0.0085221315,100,-2.550009858608246,884.8079223632812
12,-401.0,1140,200.0,2,3072,0.002292503113858402,1243.133477783203,0.0,0.3,-0.0004743337631225586,0.0003,0.0030974287,110,-2.5378080129623415,615.2886352539062
13,-396.5,1137,200.0,2,3328,-0.0020481180923525243,941.876708984375,0.0,0.3,0.0005065202713012695,0.0003,0.00025620963,120,-2.5366486072540284,371.3059997558594
14,-401.5882352941176,1136,200.0,3,3584,-0.0013016565470024943,1520.9980773925781,0.0,0.3,0.0005118846893310547,0.0003,0.0002065727,130,-2.539014744758606,894.231689453125
15,-400.6842105263158,1134,200.0,3,3840,-0.0026081732707098127,1055.1628662109374,0.0,0.3,0.0011280179023742676,0.0003,0.00031721639,140,-2.536870515346527,397.35406494140625
16,-397.65,1133,200.0,3,4096,-0.00385573273524642,749.9096160888672,0.0,0.3,-2.3245811462402344e-05,0.0003,0.0005807341,150,-2.5369463086128237,304.2069396972656
17,-406.2857142857143,1132,200.0,3,4352,-0.000105072814039886,1477.2376892089844,0.0,0.3,0.0009399056434631348,0.0003,5.765166e-05,160,-2.537368106842041,749.1039428710938
18,-390.2173913043478,1130,200.0,4,4608,-0.0021730972337536516,1151.8846374511718,0.0,0.3,0.0012111067771911621,0.0003,0.00045674876,170,-2.539842402935028,660.5358276367188
19,-383.2083333333333,1130,200.0,4,4864,-0.0023190265987068416,1786.95927734375,0.0,0.3,0.00032585859298706055,0.0003,0.00032276008,180,-2.5289713501930238,647.6864624023438
20,-381.64,1129,200.0,4,5120,-0.003843206074088812,1445.9468872070313,0.0,0.3,0.0008686184883117676,0.0003,0.001178178,190,-2.5336113452911375,812.8704833984375
21,-379.46153846153845,1127,200.0,4,5376,-0.00101921611931175,1246.046240234375,0.0,0.3,0.006361663341522217,0.0003,0.00025131134,200,-2.539005398750305,690.4927978515625
22,-375.39285714285717,1126,200.0,5,5632,-0.0017343741143122315,2220.314306640625,0.0,0.3,0.022389650344848633,0.0003,0.00010265107,210,-2.538357973098755,892.589111328125
23,-379.2068965517241,1125,200.0,5,5888,-0.00317184675950557,1561.3983154296875,0.0,0.3,0.09426164627075195,0.0003,0.00047517428,220,-2.535996901988983,894.18505859375
24,-372.93333333333334,1125,200.0,5,6144,-0.0051894535077735785,597.5897598266602,0.0,0.3,-0.00359952449798584,0.0003,0.0010947229,230,-2.5164303541183473,302.9297790527344
25,-381.5,1124,200.0,5,6400,-0.0014020029688254,1205.4890899658203,0.0,0.3,0.08635908365249634,0.0003,0.00047555123,240,-2.5249514102935793,569.8236083984375
26,-387.2121212121212,1120,200.0,5,6656,-0.0028455291409045457,734.9598754882812,0.0,0.3,-0.022724509239196777,0.0003,0.0002729555,250,-2.520739257335663,364.923828125
27,-389.9117647058824,1118,200.0,6,6912,-0.002765849535353482,820.6969360351562,0.0,0.3,-3.337860107421875e-06,0.0003,0.00045411475,260,-2.5111087918281556,392.067138671875
28,-383.77142857142854,1113,200.0,6,7168,-0.005186485266312957,1209.3437744140624,0.0,0.3,0.004483461380004883,0.0003,0.0014060768,270,-2.5078245282173155,649.709228515625
29,-373.13513513513516,1110,200.0,6,7424,-0.0012048827949911356,1061.8782440185546,0.0,0.3,-0.10238516330718994,0.0003,0.0003225198,280,-2.504644751548767,495.2660827636719
30,-368.2368421052632,1108,200.0,6,7680,-0.0013477325439453125,713.9529022216797,0.0,0.3,-0.04291045665740967,0.0003,0.0002491728,290,-2.5075117468833925,339.6301574707031
31,-365.43589743589746,1104,200.0,7,7936,-0.01869176309555769,1154.0710723876953,0.043359375,0.3,2.6881694793701172e-05,0.0003,0.02945857,300,-2.4820170760154725,847.2000122070312
32,-371.95,1101,200.0,7,8192,-0.0067937798798084256,585.3751571655273,0.0,0.3,0.0011780261993408203,0.0003,0.0033924133,310,-2.463652992248535,276.1126708984375
33,-369.7142857142857,1098,200.0,7,8448,-0.002310381573624909,1231.6205108642578,0.0,0.3,-0.004647374153137207,0.0003,0.00073509174,320,-2.453377604484558,703.5458984375
34,-371.69767441860466,1096,200.0,7,8704,-0.0017694977344945074,466.8235321044922,0.0,0.3,-8.630752563476562e-05,0.0003,0.0002776396,330,-2.4746639728546143,162.10960388183594
35,-369.29545454545456,1095,200.0,8,8960,-0.002132122963666916,735.1308563232421,0.0,0.3,-3.421306610107422e-05,0.0003,0.0006186846,340,-2.458169901371002,324.6741638183594
36,-370.6521739130435,1094,200.0,8,9216,-0.0018690633121877908,1099.7263885498046,0.0,0.3,5.459785461425781e-05,0.0003,0.00016866345,350,-2.433620238304138,362.00750732421875
37,-370.78723404255317,1091,200.0,8,9472,-0.007684843393508345,546.2546401977539,0.0,0.3,-0.00024437904357910156,0.0003,0.004539732,360,-2.4808470368385316,232.57003784179688
38,-372.875,1089,200.0,8,9728,-0.00229255601298064,541.2938415527344,0.0,0.3,4.172325134277344e-07,0.0003,0.005307122,370,-2.34277458190918,312.947265625
39,-369.2448979591837,1087,200.0,9,9984,-0.0025567156029865147,429.5719192504883,0.0,0.3,-0.00024449825286865234,0.0003,0.00089143333,380,-2.3854331493377687,253.944091796875
40,-368.84313725490193,1087,200.0,9,10240,-0.005966041493229568,1228.257504272461,0.000390625,0.3,5.1081180572509766e-05,0.0003,0.0073282076,390,-2.289013683795929,405.9596252441406
1,-470.0,1401,200.0,0,256,-0.015382719784975052,1694.0260528564454,0.03671875,0.3,0.00013130903244018555,0.0003,0.026108373,400,-2.2629716992378235,1243.9105224609375
2,-590.0,1209,200.0,0,512,-0.009456718154251576,1371.0604675292968,0.0,0.3,-9.655952453613281e-06,0.0003,0.011462769,410,-1.9529870092868804,711.9824829101562
3,-603.3333333333334,1146,200.0,0,768,-0.0036255729384720324,676.8842010498047,0.0,0.3,-1.5139579772949219e-05,0.0003,0.0056904913,420,-2.0030388832092285,334.53216552734375
4,-676.0,1126,200.0,0,1024,-0.011490304791368543,2390.0566650390624,0.0,0.3,-8.58306884765625e-06,0.0003,0.0077708857,430,-2.0042099595069884,1100.4915771484375
