time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/approx_kl,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/clip_range
1,1106,0,200.0,256,-640.0,,,,,,,,,,
2,1097,0,200.0,512,-715.0,537.2745407104492,0.0003,0.0020042686,198.4638671875,-2.5642863273620606,-0.009546264610253274,0.0,-0.0033888816833496094,10,0.3
3,1098,0,200.0,768,-706.6666666666666,682.2118133544922,0.0003,0.001029972,310.16253662109375,-2.560780096054077,-0.003997699916362762,0.0,0.0008546113967895508,20,0.3
4,1091,0,200.0,1024,-568.0,690.552621459961,0.0003,0.004739106,338.9596862792969,-2.5573880314826964,-0.009896855731494725,0.0,0.0013307929039001465,30,0.3
5,1096,1,200.0,1280,-581.6666666666666,380.4098754882813,0.0003,0.0017763434,204.6529541015625,-2.5494360446929933,-0.001776048610918224,0.0,0.0015957951545715332,40,0.3
6,1104,1,200.0,1536,-554.2857142857143,389.11607666015624,0.0003,0.0007024403,189.2718048095703,-2.5427006483078003,-0.003675547614693642,0.0,-0.005913972854614258,50,0.3
7,1109,1,200.0,1792,-498.75,1517.3799102783203,0.0003,0.00074544386,745.64453125,-2.537824046611786,-0.0025748337619006635,0.0,0.002626776695251465,60,0.3
8,1109,1,200.0,2048,-472.0,669.3029342651367,0.0003,0.0021023147,241.01820373535156,-2.5351962804794312,-0.006437148037366569,0.0,0.015197038650512695,70,0.3
9,1115,2,200.0,2304,-456.3636363636364,321.1462600708008,0.0003,0.0006669322,156.1418914794922,-2.533086061477661,-0.0017704578815028072,0.0,0.004609286785125732,80,0.3
10,1111,2,200.0,2560,-414.1666666666667,575.3238052368164,0.0003,0.0039033103,258.1296081542969,-2.5387081623077394,-0.011142991646192969,0.0,0.022117316722869873,90,0.3
11,1113,2,200.0,2816,-387.85714285714283,1709.81630859375,0.0003,0.0005600513,947.836181640625,-2.548902440071106,3.4772325307130814e-05,0.0,0.08040416240692139,100,0.3
12,1114,2,200.0,3072,-378.0,630.5215057373047,0.0003,0.0002961955,432.2545166015625,-2.547808587551117,-0.0025173170724883676,0.0,0.1235877275466919,110,0.3
13,1113,2,200.0,3328,-388.75,725.3467910766601,0.0003,0.0006110363,374.2441711425781,-2.5439596652984617,-0.0025688808411359785,0.0,0.007955551147460938,120,0.3
14,1106,3,200.0,3584,-401.7647058823529,318.4995712280273,0.0003,0.0009412784,154.3751678466797,-2.536085057258606,-0.004341570963151753,0.0,0.04100435972213745,130,0.3
15,1105,3,200.0,3840,-376.8421052631579,683.2998107910156,0.0003,0.0013802475,360.9344177246094,-2.529981517791748,-0.004224579175934195,0.0,0.04892396926879883,140,0.3
16,1107,3,200.0,4096,-360.5,571.0728363037109,0.0003,0.0006547312,310.3585205078125,-2.5230043530464172,-0.0017623946769163013,0.0,0.0609285831451416,150,0.3
17,1106,3,200.0,4352,-376.6666666666667,818.2655670166016,0.0003,0.00066371076,556.5260620117188,-2.519656944274902,-0.0018106803530827166,0.0,0.07787740230560303,160,0.3
18,1107,4,200.0,4608,-409.5652173913044,963.1567352294921,0.0003,0.0009226673,448.5043640136719,-2.525515818595886,-0.003133985330350697,0.0,-0.00044918060302734375,170,0.3
19,1108,4,200.0,4864,-403.75,492.317333984375,0.0003,0.0070105176,230.5071258544922,-2.5100580215454102,-0.010973349260166288,0.000390625,-6.35385513305664e-05,180,0.3
20,1102,4,200.0,5120,-389.2,499.67444229125977,0.0003,0.0063255546,257.996337890625,-2.4794693112373354,-0.007927610608749091,0.0,0.22842276096343994,190,0.3
21,1103,4,200.0,5376,-394.61538461538464,1015.9439056396484,0.0003,0.003056771,618.0025634765625,-2.477940261363983,-0.006899116653949022,0.0,0.11072278022766113,200,0.3
22,1103,5,200.0,5632,-385.35714285714283,551.4214019775391,0.0003,0.0048169177,158.24549865722656,-2.4802675604820252,-0.006700298935174942,0.0,0.20241767168045044,210,0.3
23,1103,5,200.0,5888,-378.9655172413793,702.4365547180175,0.0003,0.0333495,195.6594696044922,-2.4925033926963804,-0.027167411940172314,0.07890625,0.0009515285491943359,220,0.3
24,1104,5,200.0,6144,-368.3333333333333,732.8037384033203,0.0003,0.009303134,239.50035095214844,-2.4339141249656677,0.00014718149323016404,0.0,0.007729232311248779,230,0.3
25,1106,5,200.0,6400,-370.3125,606.200358581543,0.0003,0.008315803,390.95703125,-2.4191627979278563,-0.018007683102041483,0.005078125,0.20624679327011108,240,0.3
26,1108,6,200.0,6656,-373.93939393939394,425.33168640136716,0.0003,0.0019411519,226.3798370361328,-2.3920541763305665,-0.0004984445869922638,0.0,0.15417128801345825,250,0.3
27,1106,6,200.0,6912,-378.52941176470586,310.3932929992676,0.0003,0.009195702,177.26370239257812,-2.3895560026168825,-0.013683825102634727,0.0,0.0002785325050354004,260,0.3
28,1106,6,200.0,7168,-374.0,272.70067672729493,0.0003,0.033054814,140.57655334472656,-2.367954730987549,-0.019969412265345453,0.053125,-0.003452301025390625,270,0.3
29,1108,6,200.0,7424,-365.6756756756757,681.5860198974609,0.0003,0.0059495894,349.320068359375,-2.2873013854026794,0.0033048206940293314,0.0,0.15348565578460693,280,0.3
30,1109,6,200.0,7680,-366.3157894736842,886.3557960510254,0.0003,0.0013296471,713.174560546875,-2.2564502358436584,-0.003408597502857447,0.0,-0.003260493278503418,290,0.3
31,1110,7,200.0,7936,-352.3076923076923,310.25312423706055,0.0003,0.0046520047,146.81239318847656,-2.2463806748390196,-0.004460902442224324,0.0,-0.0415266752243042,300,0.3
32,1111,7,200.0,8192,-358.0,740.205963897705,0.0003,0.002201239,189.25167846679688,-2.318401050567627,-0.0023005157709121704,0.0,0.24042606353759766,310,0.3
33,1110,7,200.0,8448,-358.3333333333333,404.28445892333986,0.0003,0.0015595653,161.0087127685547,-2.308636200428009,-0.004171930905431509,0.0,-0.09735739231109619,320,0.3
34,1110,7,200.0,8704,-364.8837209302326,545.7561019897461,0.0003,0.0035642069,389.9093933105469,-2.2860698223114015,-0.0056556255090981725,0.003125,0.17824959754943848,330,0.3
35,1111,8,200.0,8960,-368.8636363636364,359.3450698852539,0.0003,0.0055332347,155.5253143310547,-2.200155532360077,-0.005175343691371381,0.0,9.47713851928711e-06,340,0.3
36,1114,8,200.0,9216,-362.82608695652175,549.1249359130859,0.0003,0.024377737,260.839599609375,-2.3204968929290772,-0.010440086759626866,0.026171875,0.2397303581237793,350,0.3
37,1112,8,200.0,9472,-358.51063829787233,321.1221412658691,0.0003,0.00092148245,138.59674072265625,-2.374055290222168,0.0013842539861798286,0.0,-0.037020325660705566,360,0.3
38,1112,8,200.0,9728,-355.4166666666667,1080.5331787109376,0.0003,0.00083316397,557.9315795898438,-2.363087034225464,-0.002255034865811467,0.0,0.016928493976593018,370,0.3
39,1112,8,200.0,9984,-361.2244897959184,628.2715942382813,0.0003,0.00068137655,276.8970031738281,-2.3555774092674255,-0.002444058522814885,0.0,0.17516249418258667,380,0.3
40,1112,9,200.0,10240,-363.52941176470586,319.64208297729493,0.0003,0.013542632,162.07943725585938,-2.2771949887275698,-0.008560850284993649,0.0109375,-0.00034105777740478516,390,0.3
1,1448,0,200.0,256,-150.0,364.9667289733887,0.0003,0.0054701637,291.17303466796875,-2.2236982941627503,-0.006338564329780638,0.0015625,-0.00602567195892334,400,0.3
2,1244,0,200.0,512,-190.0,1401.6088317871095,0.0003,0.0010277915,797.7714233398438,-2.5646453619003298,-0.007174549112096429,0.0,0.0015856623649597168,10,0.3
3,1191,0,200.0,768,-246.66666666666666,693.6120254516602,0.0003,0.0009986686,373.2649841308594,-2.562681424617767,-0.0037543739890679717,0.0,0.006823301315307617,20,0.3
