rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,train/approx_kl,train/value_loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/learning_rate,train/loss,train/explained_variance
-200.0,0,200.0,1,778,256,,,,,,,,,,
-195.0,0,200.0,2,722,512,0.0011785415,723.984994506836,0.0,10,-0.006777363317087293,0.3,-2.5645702362060545,0.0003,311.37664794921875,0.0027652978897094727
-263.3333333333333,1,200.0,3,687,768,0.00065692025,31.828440999984743,0.0,20,-0.0024360893527045845,0.3,-2.5631023168563845,0.0003,7.030449867248535,-0.06440198421478271
-322.0,1,200.0,4,681,1024,0.00086467946,38.31194305419922,0.0,30,-0.003309395187534392,0.3,-2.5620872378349304,0.0003,9.98423957824707,-0.006813764572143555
-335.0,1,200.0,5,696,1280,0.0026834805,9.443017482757568,0.0,40,-0.006559148896485567,0.3,-2.559976637363434,0.0003,3.982041358947754,-0.0024880170822143555
-344.2857142857143,2,200.0,6,698,1536,0.005011256,2.94859659075737,0.0,50,-0.007154430449008942,0.3,-2.550837826728821,0.0003,1.1074984073638916,0.003496825695037842
-351.25,2,200.0,7,703,1792,0.0061032204,1.8278750121593474,0.0,60,-0.005076886352617294,0.3,-2.541315829753876,0.0003,0.44084757566452026,-0.045928239822387695
-360.0,2,200.0,8,695,2048,0.027582671,1.7600396990776062,0.048046875,70,-0.015013919700868428,0.3,-2.497424817085266,0.0003,0.43956223130226135,-0.022022247314453125
-337.27272727272725,3,200.0,9,696,2304,0.008455241,406.2033916473389,0.0,80,-0.007469123462215066,0.3,-2.436535656452179,0.0003,244.71527099609375,0.006559312343597412
-342.5,3,200.0,10,701,2560,0.030895688,1.0504744440317153,0.066796875,90,-0.016557365492917597,0.3,-2.381995141506195,0.0003,0.28966251015663147,-0.007352352142333984
-356.42857142857144,4,200.0,11,698,2816,0.013877805,50.59889841079712,0.0078125,100,-0.01249987818300724,0.3,-2.2894531011581423,0.0003,11.263055801391602,0.00468820333480835
-356.0,4,200.0,12,699,3072,0.069888316,1.1182014703750611,0.326953125,110,-0.03844703054055572,0.3,-2.19344562292099,0.0003,0.21880614757537842,-0.021374106407165527
-358.75,4,200.0,13,696,3328,0.0087734135,10.162975668907166,0.0078125,120,-0.004020109889097512,0.3,-2.218094027042389,0.0003,5.953996181488037,-0.006444454193115234
-360.0,5,200.0,14,699,3584,0.04337001,3.6200532376766206,0.077734375,130,-0.0265125545905903,0.3,-2.156394600868225,0.0003,2.0879878997802734,-0.0034972429275512695
-363.6842105263158,5,200.0,15,704,3840,0.013267645,0.627073523402214,0.01484375,140,-0.005103874090127647,0.3,-2.1251262784004212,0.0003,-0.0017476193606853485,-0.003992438316345215
-365.5,5,200.0,16,710,4096,0.021578155,1.9498003423213959,0.0265625,150,-0.011238003987818957,0.3,-2.2603994488716124,0.0003,0.8957936763763428,0.00838536024093628
-367.14285714285717,6,200.0,17,707,4352,0.01662523,0.5911153525114059,0.04765625,160,-0.014063367852941155,0.3,-2.210619056224823,0.0003,0.018182121217250824,-0.0005578994750976562
-370.0,6,200.0,18,711,4608,0.042271014,0.5765471898019314,0.2171875,170,-0.022329253144562244,0.3,-2.294368529319763,0.0003,0.40961113572120667,-0.014305710792541504
-370.0,6,200.0,19,714,4864,0.021224968,1.1137965619564056,0.03046875,180,-0.009790452080778778,0.3,-2.1779288172721865,0.0003,0.6565756797790527,-0.006436824798583984
-370.0,7,200.0,20,717,5120,0.016324254,13.26503529548645,0.016796875,190,-0.005684618139639497,0.3,-2.2433167695999146,0.0003,6.4944634437561035,0.0013289451599121094
-370.7692307692308,7,200.0,21,714,5376,0.0029083278,1.4586511373519897,0.0,200,-0.003816244169138372,0.3,-2.2346903681755066,0.0003,0.5073003768920898,-0.005300045013427734
-302.5,7,200.0,22,716,5632,0.037481382,0.5807471297681331,0.056640625,210,-0.016164941852912305,0.3,-2.1372194409370424,0.0003,0.22219926118850708,0.0011927485466003418
-305.86206896551727,8,200.0,23,712,5888,0.0059371497,3210.8344970703124,0.0,220,-0.0021966409403830767,0.3,-2.1458434581756594,0.0003,1597.0838623046875,0.0009858012199401855
-300.0,8,200.0,24,710,6144,8.078711e-05,404.9065586090088,0.0,230,0.00010351643431931734,0.3,-2.0103670358657837,0.0003,308.51995849609375,0.0047951340675354
-304.6875,9,200.0,25,707,6400,0.0062793507,12.91519238948822,0.000390625,240,-0.0035024386830627917,0.3,-2.012645560503006,0.0003,7.138968467712402,-0.17279815673828125
-307.57575757575756,9,200.0,26,710,6656,0.001484979,1.373444241285324,0.0,250,-0.004160620179027319,0.3,-2.00571813583374,0.0003,0.6537945866584778,-0.01715695858001709
-295.29411764705884,9,200.0,27,710,6912,0.0036318267,793.4130111694336,0.0,260,0.0032524710055440663,0.3,-2.1847715973854065,0.0003,544.2855834960938,0.0003457069396972656
-298.2857142857143,10,200.0,28,706,7168,0.005169313,3.6863641262054445,0.00234375,270,-0.011624337430112064,0.3,-2.1148537397384644,0.0003,1.5249512195587158,-0.007008671760559082
-302.43243243243245,10,200.0,29,706,7424,0.0036807156,0.6560087576508522,0.002734375,280,-0.004830226046033203,0.3,-2.089993107318878,0.0003,0.2737544775009155,0.0065811872482299805
-305.0,10,200.0,30,706,7680,0.0047948044,9.46992552280426,0.0,290,-0.003818736900575459,0.3,-2.078173589706421,0.0003,4.722404956817627,-0.008204460144042969
-307.43589743589746,11,200.0,31,705,7936,0.0060552107,0.6109788689762354,0.01640625,300,-0.008160821977071464,0.3,-2.1947392225265503,0.0003,0.25956982374191284,0.0021827220916748047
-309.0,11,200.0,32,707,8192,0.0070035974,6.839136654138565,0.0,310,-0.008789984276518226,0.3,-2.163262629508972,0.0003,4.546689987182617,0.011664509773254395
-311.6666666666667,11,200.0,33,707,8448,0.022275493,5.711262464523315,0.0,320,-0.009776597726158798,0.3,-2.0651561975479127,0.0003,4.1489410400390625,-0.014787435531616211
