time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/explained_variance,train/value_loss,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction
9,963,200.0,35,-313.40909090909093,8960,3.9577484130859375e-05,809.8973556518555,522.9981689453125,-0.01633846606127918,0.3,0.0003,0.044606972,340,-1.97132248878479,0.06796875
9,964,200.0,36,-314.5652173913044,9216,-0.0016601085662841797,82.84244079589844,42.35607147216797,0.0005703030386939645,0.3,0.0003,0.0053969687,350,-1.8623641908168793,0.0
9,963,200.0,37,-306.17021276595744,9472,3.135204315185547e-05,103.75838966369629,47.285152435302734,-0.0037004768848419188,0.3,0.0003,0.0026058292,360,-1.8659773230552674,0.0
10,964,200.0,38,-306.6666666666667,9728,0.00030857324600219727,1617.7982604980468,686.8470458984375,-0.007424726500175893,0.3,0.0003,0.0042469464,370,-1.8589510083198548,0.0
10,964,200.0,39,-304.0816326530612,9984,-0.0004557371139526367,93.84982452392578,44.34335708618164,-0.0067232389934360984,0.3,0.0003,0.006395166,380,-1.9250855624675751,0.0
10,964,200.0,40,-307.05882352941177,10240,1.806020736694336e-05,950.3531280517578,402.1730651855469,-0.041669660992920396,0.3,0.0003,0.06931458,390,-1.9242123663425446,0.34453125
10,964,200.0,41,-308.84615384615387,10496,0.00032573938369750977,249.36073303222656,103.86556243896484,-0.0001506731961853802,0.3,0.0003,0.0014519319,400,-1.916319227218628,0.0
11,965,200.0,42,-309.24528301886795,10752,-0.001593470573425293,200.207772064209,111.50533294677734,-0.001612139819189906,0.3,0.0003,0.00029191235,410,-1.981838721036911,0.0
11,965,200.0,43,-310.1818181818182,11008,-0.003618955612182617,168.28955154418946,77.43932342529297,-0.004118818230926991,0.3,0.0003,0.00064163445,420,-1.9164942145347594,0.0
11,965,200.0,44,-311.07142857142856,11264,-0.0006463527679443359,77.11355552673339,40.476924896240234,-0.0056212128605693575,0.3,0.0003,0.002045576,430,-1.8952559649944305,0.0
11,965,200.0,45,-320.17543859649123,11520,0.0002709031105041504,210.66062240600587,108.95594024658203,-0.002568119904026389,0.3,0.0003,0.000942379,440,-1.8814246594905852,0.0
12,965,200.0,46,-321.8965517241379,11776,-0.0005638599395751953,1073.6707153320312,531.335693359375,-0.0019564507063478233,0.3,0.0003,0.0005366986,450,-1.8645317494869231,0.0
12,966,200.0,47,-318.8333333333333,12032,0.00012236833572387695,2032.330059814453,1041.288818359375,-0.008995993388816714,0.3,0.0003,0.021810673,460,-1.9807085573673249,0.020703125
12,966,200.0,48,-318.6885245901639,12288,4.1484832763671875e-05,222.37153854370118,131.69088745117188,-0.0035997342434711753,0.3,0.0003,0.004918943,470,-2.0892500996589662,0.0
12,966,200.0,49,-320.0,12544,0.003315269947052002,71.94749393463135,33.48678207397461,-0.0038916520308703182,0.3,0.0003,0.0042325836,480,-2.16375390291214,0.0
13,966,200.0,50,-321.40625,12800,0.00014412403106689453,232.3246208190918,141.83404541015625,-0.003646046994253993,0.3,0.0003,0.0030113957,490,-2.1609161853790284,0.0
13,966,200.0,51,-322.61538461538464,13056,0.0019475221633911133,61.5019510269165,30.655427932739258,-0.006438931543380022,0.3,0.0003,0.0051064827,500,-2.2239956617355348,0.00078125
13,967,200.0,52,-322.72727272727275,13312,-0.0013486146926879883,149.1028621673584,101.71186828613281,-0.0026881816331297157,0.3,0.0003,0.001294615,510,-2.3001277089118957,0.0
14,967,200.0,53,-317.76119402985074,13568,6.240606307983398e-05,70.46852416992188,33.45280838012695,-0.005423786537721753,0.3,0.0003,0.0016198063,520,-2.260440194606781,0.0
14,967,200.0,54,-318.40579710144925,13824,0.00013589859008789062,1669.5809143066406,736.317626953125,-0.002067254949361086,0.3,0.0003,0.00052404753,530,-2.294004464149475,0.0
14,967,200.0,55,-318.85714285714283,14080,0.00018662214279174805,65.73774528503418,32.92719650268555,-0.0075536952819675205,0.3,0.0003,0.0030018298,540,-2.248428761959076,0.0
14,967,200.0,56,-320.98591549295776,14336,0.00011724233627319336,128.44976921081542,53.64912796020508,-0.0020778896287083626,0.3,0.0003,0.0009354558,550,-2.171832823753357,0.0
15,967,200.0,57,-317.22222222222223,14592,0.0003857612609863281,1634.207470703125,638.0167236328125,-0.005178796942345798,0.3,0.0003,0.0032560776,560,-2.2058336973190307,0.0015625
15,968,200.0,58,-311.7567567567568,14848,-0.004000544548034668,128.01527709960936,60.09621047973633,-0.004328656219877302,0.3,0.0003,0.0021361741,570,-2.2748167634010317,0.0
15,968,200.0,59,-304.1333333333333,15104,0.00013363361358642578,2974.4814208984376,1341.2603759765625,-0.0010521188843995333,0.3,0.0003,0.00036444166,580,-2.2737608671188356,0.0
15,968,200.0,60,-288.6842105263158,15360,8.058547973632812e-05,2647.4936462402343,1119.3165283203125,-0.0015059058088809252,0.3,0.0003,0.00015111547,590,-2.2809294939041136,0.0
16,968,200.0,61,-277.43589743589746,15616,0.003972470760345459,3334.992565917969,2000.215087890625,-0.0010620001121424139,0.3,0.0003,0.00022589858,600,-2.2685625553131104,0.0
16,967,200.0,62,-278.73417721518985,15872,0.038475632667541504,2989.773156738281,1615.21435546875,-0.0018622724572196602,0.3,0.0003,0.00050578173,610,-2.2603494763374328,0.0
16,966,200.0,63,-280.25,16128,-0.14753174781799316,213.26503925323487,19.31004524230957,-0.0018338526366278528,0.3,0.0003,0.00038181618,620,-2.2451280474662783,0.0
16,965,200.0,64,-278.14814814814815,16384,-0.312313437461853,147.2357955932617,40.94733810424805,-0.0026808391558006406,0.3,0.0003,0.004721417,630,-2.28964387178421,0.0
17,964,200.0,65,-278.1927710843373,16640,0.014730691909790039,915.4248565673828,388.1490173339844,-0.02044846978969872,0.3,0.0003,0.033628467,640,-2.4469478130340576,0.08515625
17,963,200.0,66,-276.3095238095238,16896,0.017698168754577637,1061.2066329956056,472.8611755371094,-0.0062839540652930735,0.3,0.0003,0.0016658325,650,-2.4527055978775025,0.0
17,963,200.0,67,-276.94117647058823,17152,0.021068453788757324,787.4085754394531,216.30267333984375,-0.007493150676600635,0.3,0.0003,0.00545233,660,-2.398622488975525,0.00078125
18,963,200.0,68,-278.9655172413793,17408,-0.02290821075439453,76.55964508056641,35.86492156982422,-0.0024318408919498324,0.3,0.0003,0.0028092538,670,-2.427889323234558,0.001953125
18,963,200.0,69,-285.45454545454544,17664,-0.009458422660827637,137.8939224243164,54.025943756103516,-0.006639522453770042,0.3,0.0003,0.008219078,680,-2.36182781457901,0.0
18,963,200.0,70,-285.7303370786517,17920,0.0005609393119812012,1135.7344604492187,519.8311157226562,-0.002584563032723963,0.3,0.0003,0.0053524794,690,-2.2918482065200805,0.0
18,964,200.0,71,-281.44444444444446,18176,-0.006123781204223633,1827.5173828125,993.1881713867188,-0.004543194500729442,0.3,0.0003,0.001533486,700,-2.27013738155365,0.0
